,adenine,hypoxanthine,xanthine,guanine,urate
adenine,0.9999999999731436,0.8798077942858328,-0.3122863895689939,-0.05029653544661211,0.1946280281719313
hypoxanthine,0.8798077942858328,0.9999999999824114,-0.21256451357168527,-0.0019605731004129715,-0.13019928469575073
xanthine,-0.3122863895689939,-0.21256451357168527,0.9999999999833573,0.9022618631847213,-0.2165515936312225
guanine,-0.05029653544661211,-0.0019605731004129715,0.9022618631847213,0.9999999999751084,-0.2608787978357876
urate,0.1946280281719313,-0.13019928469575073,-0.2165515936312225,-0.2608787978357876,0.9999999999618507
