experiment,analyte,component,effect_rank,theme,theme_class,theme_confidence,rho,effect_size,direction,theme_matches_analyte,analyte_loads_this_component
adenine::cAu@785nm,adenine,22,4,protein,protein/peptide,moderate,-0.9648351648351648,-13.382404736446754,down,False,False
adenine::cAu@785nm,adenine,12,5,saccharide,carbohydrate,high,-0.9780219780219781,-11.695805603524693,down,False,False
adenine::cAu@785nm,adenine,6,6,protein,protein/peptide,moderate,-0.9912087912087912,-11.670858505789939,down,False,False
adenine::cAu@785nm,adenine,14,7,organic_acid,protein/peptide,high,-0.9692307692307693,-10.911626292050782,down,False,False
adenine::cAu@785nm,adenine,17,8,pyrimidine,nucleic,high,-0.9868131868131869,-10.731569621420828,down,True,False
adenine::cAu@785nm,adenine,9,9,amino_acid,protein/peptide,moderate,-0.9604395604395607,-10.373508196703296,down,False,False
adenine::cAu@785nm,adenine,11,10,amino_acid,protein/peptide,high,-0.9956043956043955,-8.580298149204268,down,False,False
adenine::cAu@785nm,adenine,8,11,protein,protein/peptide,moderate,-0.9736263736263736,-8.395617843998007,down,False,False
adenine::cAu@785nm,adenine,16,12,triglyceride,lipid,high,0.832967032967033,8.246978690819649,up,False,False
adenine::cAu@785nm,adenine,5,13,amino_acid,protein/peptide,moderate,-0.9956043956043955,-7.2688213418629815,down,False,False
adenine::cAu@785nm,adenine,21,14,saccharide,carbohydrate,moderate,-0.9428571428571428,-6.597793311185471,down,False,False
adenine::cAu@785nm,adenine,0,15,protein,protein/peptide,moderate,0.8593406593406594,6.049774363610003,up,False,False
adenine::cAu@785nm,adenine,18,16,saccharide,carbohydrate,high,-0.7439900305455985,-4.791917656070482,down,False,False
adenine::cAu@785nm,adenine,4,17,saccharide,carbohydrate,high,-0.7934065934065934,-4.507698061720172,down,False,False
adenine::sAg@532nm,adenine,3,0,sterol,lipid,moderate,0.9868131868131869,25.32886836653187,up,False,True
adenine::sAg@532nm,adenine,19,1,protein,cofactor/small-molecule,moderate,-0.9780219780219781,-20.471515860082324,down,False,False
adenine::sAg@532nm,adenine,0,2,protein,protein/peptide,moderate,0.9780219780219781,19.646319276479865,up,False,False
adenine::sAg@532nm,adenine,20,3,saccharide,carbohydrate,high,-0.9604395604395607,-17.372803182604613,down,False,False
adenine::sAg@532nm,adenine,13,4,pyrimidine,nucleic,moderate,0.9296703296703297,16.898571367808344,up,True,False
adenine::sAg@532nm,adenine,4,5,saccharide,carbohydrate,high,-0.9736263736263736,-16.631996191690643,down,False,False
adenine::sAg@532nm,adenine,15,6,purine,protein/peptide,high,-0.9472527472527472,-15.295410793296433,down,True,False
adenine::sAg@532nm,adenine,14,7,organic_acid,protein/peptide,high,-0.956043956043956,-14.373988117614653,down,False,False
adenine::sAg@532nm,adenine,8,8,protein,protein/peptide,moderate,-0.956043956043956,-11.495450666230859,down,False,False
adenine::sAg@532nm,adenine,5,9,amino_acid,protein/peptide,moderate,-0.9428571428571428,-10.357497420931438,down,False,False
adenine::sAg@532nm,adenine,22,10,protein,protein/peptide,moderate,-0.8637362637362638,-9.615090816836606,down,False,False
adenine::sAg@532nm,adenine,12,11,saccharide,carbohydrate,high,-0.9548960673768103,-7.8899202711738585,down,False,False
adenine::sAg@532nm,adenine,23,12,organic_acid,cofactor/small-molecule,high,-0.8373626373626375,-5.340061958940469,down,False,False
adenine::sAg@532nm,adenine,21,13,saccharide,carbohydrate,moderate,-0.9120879120879121,-5.166489078772695,down,False,False
adenine::sAg@532nm,adenine,9,14,amino_acid,protein/peptide,moderate,0.8901098901098902,4.288965653183593,up,False,False
adenine::sAg@785nm,adenine,14,0,organic_acid,protein/peptide,high,-0.9736263736263736,-30.88609540312688,down,False,False
adenine::sAg@785nm,adenine,11,1,amino_acid,protein/peptide,high,-0.9472527472527472,-27.677305867542586,down,False,False
adenine::sAg@785nm,adenine,13,2,pyrimidine,nucleic,moderate,0.9208791208791209,25.06931860704293,up,True,False
adenine::sAg@785nm,adenine,8,3,protein,protein/peptide,moderate,-0.9592965100836159,-24.01412468452714,down,False,False
adenine::sAg@785nm,adenine,4,4,saccharide,carbohydrate,high,-0.9604395604395607,-22.155713446868713,down,False,False
adenine::sAg@785nm,adenine,3,5,sterol,lipid,moderate,0.9824175824175824,19.170357273440356,up,False,True
adenine::sAg@785nm,adenine,0,6,protein,protein/peptide,moderate,0.8549450549450549,18.01427325258071,up,False,False
adenine::sAg@785nm,adenine,5,7,amino_acid,protein/peptide,moderate,-0.8901098901098902,-17.440664585156313,down,False,False
adenine::sAg@785nm,adenine,2,8,protein,protein/peptide,high,-0.8463916701126035,-15.870585077909615,down,False,False
adenine::sAg@785nm,adenine,21,9,saccharide,carbohydrate,moderate,-0.9604395604395607,-15.506891909718085,down,False,False
adenine::sAg@785nm,adenine,18,10,saccharide,carbohydrate,high,-0.9076923076923077,-14.71852492060712,down,False,False
adenine::sAg@785nm,adenine,10,11,saccharide,carbohydrate,high,-0.8461538461538461,-13.111946059029886,down,False,False
adenine::sAg@785nm,adenine,17,12,pyrimidine,nucleic,high,-0.7350170710485938,-11.764270008866356,down,True,False
adenine::sAg@785nm,adenine,22,13,protein,protein/peptide,moderate,-0.896855692196908,-11.331420303544963,down,False,False
adenine::sAg@785nm,adenine,19,14,protein,cofactor/small-molecule,moderate,-0.8637362637362638,-10.339127096364274,down,False,False
adenine::sAg@785nm,adenine,9,15,amino_acid,protein/peptide,moderate,-0.9296703296703297,-9.766101024410442,down,False,False
adenine::sAg@785nm,adenine,16,16,triglyceride,lipid,high,-0.8417582417582418,-8.90769856794404,down,False,False
adenine::sAg@785nm,adenine,12,17,saccharide,carbohydrate,high,-0.9218927470757684,-8.073591134151185,down,False,False
adenine::sAg@785nm,adenine,15,18,purine,protein/peptide,high,-0.7362637362637363,-6.69040656009562,down,True,False
adenine::sAg@785nm,adenine,23,19,organic_acid,cofactor/small-molecule,high,-0.7494505494505495,-5.84849719801578,down,False,False
adenine::sAu@785nm,adenine,3,0,sterol,lipid,moderate,0.9285714285714284,23.099510828700463,up,False,True
adenine::sAu@785nm,adenine,11,1,amino_acid,protein/peptide,high,-0.9785714285714284,-18.379909660265444,down,False,False
adenine::sAu@785nm,adenine,4,2,saccharide,carbohydrate,high,-0.9214285714285713,-17.95429123786189,down,False,False
adenine::sAu@785nm,adenine,1,3,triglyceride,lipid,high,0.8999999999999999,17.489324676384072,up,False,False
adenine::sAu@785nm,adenine,14,4,organic_acid,protein/peptide,high,-0.9571428571428571,-17.474037311606676,down,False,False
adenine::sAu@785nm,adenine,13,5,pyrimidine,nucleic,moderate,0.9535714285714283,17.001606122605626,up,True,False
adenine::sAu@785nm,adenine,0,6,protein,protein/peptide,moderate,0.9249999999999998,14.873014031339908,up,False,False
adenine::sAu@785nm,adenine,5,7,amino_acid,protein/peptide,moderate,-0.95,-12.285221994595428,down,False,False
adenine::sAu@785nm,adenine,8,8,protein,protein/peptide,moderate,-0.9107142857142855,-12.153158588550545,down,False,False
adenine::sAu@785nm,adenine,2,9,protein,protein/peptide,high,-0.95,-11.430551815860435,down,False,False
adenine::sAu@785nm,adenine,10,10,saccharide,carbohydrate,high,-0.8035714285714284,-11.382738027698554,down,False,False
adenine::sAu@785nm,adenine,9,11,amino_acid,protein/peptide,moderate,-0.8749999999999999,-9.0614849342102,down,False,False
adenine::sAu@785nm,adenine,18,12,saccharide,carbohydrate,high,-0.8178571428571428,-7.827842117514774,down,False,False
