window_id,start_cm1,end_cm1,central_cm1,source_count,condition_count,direction_distribution,matrix_distribution,substrate_distribution,candidate_axes,primary_axis,ambiguity_score,locality_score,classification,supporting_source_ids,priority_tags,notes
nucleic_acid_backbone:1575-1585,1575.0,1585.0,1580.0,3,1,—,biofluid=1; extracellular_vesicles=3,—,nucleic_acid_backbone; aromatic_amino_acid,nucleic_acid_backbone,0.5,0.25,ambiguous,src_001; src_005; src_paper_0370_phaseB,nucleic_bb; aromatic_aa; lipid,
protein_backbone:0474-0490,474.0,490.0,482.0,2,0,—,biofluid=3,Raman=2,protein_backbone; redox_metabolite,protein_backbone,0.571,0.667,ambiguous,src_001; src_005,protein,
protein_backbone:0884-0894,884.0,894.0,889.0,4,1,—,biofluid=4; serum=1,—,protein_backbone; glycan_carbohydrate,protein_backbone,0.5,0.2,ambiguous,src_002; src_003; src_005; src_paper_0055_phaseB,protein; aromatic_aa,
protein_backbone:1200-1328,1200.0,1328.0,1264.0,9,1,—,biofluid=11; extracellular_vesicles=4,Raman=3,protein_backbone; purine_nucleotide; membrane_lipid,protein_backbone,0.516,0.733,ambiguous,src_001; src_005; src_paper_0003_phaseB2; src_paper_0055_phaseB; src_paper_0187_phaseB; src_paper_0270_phaseB2; src_paper_0352_phaseB; src_paper_0370_phaseB; src_paper_0394_phaseB2,protein; lipid; aromatic_aa,
protein_backbone:1505-1515,1505.0,1515.0,1510.0,3,1,—,biofluid=1; extracellular_vesicles=3,—,protein_backbone; redox_metabolite,protein_backbone,0.667,0.25,ambiguous,src_001; src_005; src_paper_0394_phaseB2,protein; aromatic_aa; lipid,
protein_backbone:1540-1561,1540.0,1561.0,1550.5,3,1,—,biofluid=3; extracellular_vesicles=3,Raman=1,protein_backbone; aromatic_amino_acid,protein_backbone,0.5,0.5,ambiguous,src_001; src_005; src_paper_0055_phaseB,protein; aromatic_aa; lipid,
purine_nucleotide:0884-0894,884.0,894.0,889.0,4,1,—,biofluid=4; serum=1,—,purine_nucleotide; glycan_carbohydrate,purine_nucleotide,0.5,0.2,ambiguous,src_002; src_003; src_005; src_paper_0076_phaseB,purine; aromatic_aa,
purine_nucleotide:1200-1210,1200.0,1210.0,1205.0,3,1,—,biofluid=1; extracellular_vesicles=2,—,purine_nucleotide; membrane_lipid; protein_backbone,purine_nucleotide,0.667,0.333,ambiguous,src_001; src_005; src_paper_0076_phaseB,purine; aromatic_aa,
purine_nucleotide:1260-1270,1260.0,1270.0,1265.0,3,1,—,extracellular_vesicles=4,Raman=1,purine_nucleotide; protein_backbone,purine_nucleotide,0.75,0.25,ambiguous,src_001; src_002; src_005,lipid; purine; aromatic_aa,
purine_nucleotide:1652-1662,1652.0,1662.0,1657.0,3,1,—,biofluid=1; extracellular_vesicles=2; serum=1,—,purine_nucleotide,purine_nucleotide,0.571,0.25,ambiguous,src_001; src_005; src_paper_0076_phaseB,purine; protein; lipid,
purine_nucleotide:3010-3020,3010.0,3020.0,3015.0,1,0,—,biofluid=1,—,purine_nucleotide,purine_nucleotide,0.0,1.0,ambiguous,src_paper_0081_phaseB2,purine; lipid,
redox_metabolite:0555-0565,555.0,565.0,560.0,2,0,—,biofluid=2,—,redox_metabolite,redox_metabolite,0.5,0.5,ambiguous,src_005; src_paper_0003_phaseB2,redox_sulfur,
redox_metabolite:1153-1163,1153.0,1163.0,1158.0,2,0,—,biofluid=1; extracellular_vesicles=1,—,redox_metabolite; membrane_lipid,redox_metabolite,0.75,0.5,ambiguous,src_001; src_paper_0003_phaseB2,redox_sulfur; aromatic_aa,
redox_metabolite:1440-1450,1440.0,1450.0,1445.0,4,1,—,biofluid=1; extracellular_vesicles=5,—,redox_metabolite; membrane_lipid; protein_backbone,redox_metabolite,0.615,0.167,ambiguous,src_001; src_002; src_005; src_paper_0076_phaseB,lipid; redox_sulfur; aromatic_aa,
redox_metabolite:1502-1536,1502.0,1536.0,1519.0,4,2,—,biofluid=2; extracellular_vesicles=3,—,redox_metabolite; aromatic_amino_acid; protein_backbone,redox_metabolite,0.667,0.4,ambiguous,src_001; src_005; src_paper_0254_phaseB; src_paper_0270_phaseB2,redox_sulfur; aromatic_aa; lipid,
