representation,clean_top1,clean_top3,mean_perturbed_top1,mean_perturbed_top3,top1_retention,top3_retention,mean_vector_cosine,mean_rank_stability,auc_robustness
raw_spectrum,0.592,0.768,0.5316363636363637,0.7230545454545455,0.8980343980328812,0.9414772727260469,,,0.5316363636363637
csm_49,0.8453333333333334,0.9706666666666667,0.7967515151515152,0.9472969696969697,0.9425293948942105,0.9759240759230706,,,0.7967515151515152
chemistry_evidence_16,0.8346666666666667,0.976,0.7822545454545456,0.9479272727272727,0.9372059250642274,0.9712369597605548,0.9364084105333415,0.8847515151515151,0.7822545454545456
legacy_theme_bsv,0.49066666666666664,0.7973333333333333,0.43292121212121215,0.7455030303030302,0.8823122529626288,0.9349954393420927,,,0.43292121212121215
legacy_11_axis,0.664,0.8533333333333334,0.6091151515151514,0.8145454545454545,0.917342095653967,0.9545454545443358,,,0.6091151515151514
