method,log_loss,brier,ece,classwise_ece,sharpness,discrimination,top1
dirichlet,1.9913792958213024,0.6618868074686488,0.2171121195073329,0.05615371109138351,0.17704718911731837,0.7755639707135674,0.5115497076023392
isotonic,3.6040868780753166,0.36547818860160236,0.11550819897608647,0.030477931304156648,0.17644177859233837,0.7802922171525176,0.7656315789473684
platt,1.511494589226867,0.5857616449768097,0.3438201261142549,0.0687047675748082,0.13552287717553285,0.8838590216386585,0.6728713450292398
temperature,0.826020326202898,0.32021380363620067,0.17865950605829356,0.03796553168375684,0.1839122689834543,0.7354917296855638,0.8343801169590643
uncalibrated,1.0496182201785367,0.45533729788935584,0.36926572321224266,0.06112636394545641,0.14236970790700554,0.6980953012978098,0.8343801169590643
vector_scaling,2.409829381353256,0.7204656746498671,0.29642136724595514,0.05644592109009914,0.17321015243739948,0.762671736367655,0.5089941520467837
