bin_center,empirical_accuracy,count
0.05,,0
0.15000000000000002,,0
0.25,0.7333333333333333,15
0.35000000000000003,0.7083333333333334,24
0.45,0.7666666666666667,30
0.55,0.7962962962962963,54
0.6500000000000001,0.75,40
0.75,0.7692307692307693,26
0.8500000000000001,0.8571428571428571,56
0.95,0.9307692307692308,130
