excitation,n,accuracy,mean_ev
1064.0,55,0.8727272727272727,0.925671545810797
457.9,1,1.0,0.7755133705580248
488.0,29,0.7931034482758621,0.9270616890728411
514.5,3,1.0,0.8896289016636416
532.0,50,0.84,0.9408148214161516
632.8,1,0.0,0.7775133405441665
633.0,1,1.0,0.9848575601207564
785.0,234,0.8290598290598291,0.7562514844176021
850.0,1,1.0,0.9309886655954966
