fold,selected,inner_score,n_test,outer_top1,outer_macro_f1
0,D:A_max_idf:lam0.5,0.785136592791349,76,0.881578947368421,0.8816516748166995
1,A:logsumexp:idf,0.7918905524925194,76,0.868421052631579,0.8575207860922146
2,D:A_max_idf:lam2.0,0.7911023522313125,75,0.7866666666666666,0.7338322884012538
3,D:A_max_idf:lam0.5,0.8464464734412493,72,0.8194444444444444,0.7881700427761956
4,A:topk_mean:none,0.8189645073441126,76,0.8157894736842105,0.7532967032967033
