representation,dim,top1,top3,macro_f1,balanced_accuracy,replicate_consistency,effective_rank
raw_spectrum,676,0.592,0.768,0.47939852720100357,0.5038423244606797,0.994858419986675,5.158807275125212
lsm_50,50,0.848,0.96,0.8146724547153469,0.8094448434886359,0.9499343507700313,11.039267484246686
csm_49,49,0.8453333333333334,0.9706666666666667,0.8067832265276851,0.79661202673088,0.9570909775169021,10.364654556588125
legacy_theme_bsv,5,0.49066666666666664,0.7973333333333333,0.3609177369510035,0.41253452422770803,0.9964235579393317,4.7593166255345976
legacy_11_axis,11,0.664,0.8533333333333334,0.5755473725333757,0.5702544190922696,0.9992216500884797,5.304143294466124
phase05_hard_chemistry,49,0.8453333333333334,0.9706666666666667,0.8067832265276851,0.79661202673088,0.9570909775169021,10.364654556588125
PHASE06_chemistry_evidence_16,16,0.8346666666666667,0.976,0.7927049686920258,0.8297952123885832,0.9467137535453293,12.122881778672351
