source,n,accuracy,mean_ev
RamanBioLib,202,0.8415841584158416,0.8901461468995214
amino_acid_raman_grounding,20,0.65,0.6746804917438445
gobbato_raman_metabolites,153,0.8496732026143791,0.7492479775193587
