normalisation,top1,top3,macro_f1,replicate_consistency,mean_entropy,effective_rank,spread_of_total_mass,corr_total_mass_with_EV,within_class_cosine,between_class_cosine,separation
raw,0.8346666666666667,0.976,0.7927049686920258,0.9467137535453293,0.6029558993079223,12.122881778672351,0.864275851189606,-0.09410875238511059,0.7602443160780011,0.2634938768511016,0.49675043922689954
l1,0.8346666666666667,0.976,0.7927049686920258,0.9467137535442848,0.6029558993078099,10.919437097924872,6.320986835823021e-13,-0.14913678652489898,0.7602443160770526,0.2634938768506762,0.49675043922637635
calibrated,0.8346666666666667,0.976,0.7927049686920258,0.9202045034123245,0.28934767937259825,11.337401793053473,2.2498406968458827e-13,-0.08462206916336533,0.7450709139187724,0.09433147500832129,0.6507394389104512
