threshold,coverage,accuracy
0.21519611640767397,1.0,0.8346666666666667
0.31938498447429375,0.96,0.8388888888888889
0.37536857625910397,0.92,0.8463768115942029
0.4267377591179284,0.88,0.8575757575757575
0.47552434335748256,0.84,0.8539682539682539
0.506708123388089,0.8,0.8566666666666667
0.533852968154061,0.7626666666666667,0.8566433566433567
0.559642049704767,0.7226666666666667,0.8597785977859779
0.5946425821630685,0.6826666666666666,0.87109375
0.6269088561530145,0.6426666666666667,0.8672199170124482
0.6588752942484108,0.6026666666666667,0.8716814159292036
0.7050041807770696,0.5653333333333334,0.8915094339622641
0.7719017794010621,0.5253333333333333,0.9086294416243654
0.8071860184997388,0.48533333333333334,0.9065934065934066
0.8401563383119707,0.44533333333333336,0.9041916167664671
0.8612011072969175,0.4053333333333333,0.9276315789473685
0.8846567488448464,0.368,0.9202898550724637
0.9124938173001258,0.328,0.943089430894309
0.9261122151973028,0.288,0.9444444444444444
0.9440489168860183,0.248,0.989247311827957
0.9538976853183766,0.208,0.9871794871794872
0.9677244642371045,0.17066666666666666,0.984375
0.975712838783204,0.13066666666666665,0.9795918367346939
0.987746691206317,0.09066666666666667,1.0
0.9959064089369886,0.050666666666666665,1.0
