semantic_layer,n_classes,top1,top3,chance,chance_adjusted_top1,labels_fitted_out_of_fold,interpretable,human_nameable,accuracy_comparable_to_curated
curated_fine_16,16,0.8453333333333334,0.9706666666666667,0.0625,0.8350222222222222,False,True,True,True
unsupervised_16,16,0.9066666666666666,0.9973333333333333,0.0625,0.9004444444444444,True,False,False,False
frozen_broad_6,6,0.8746666666666667,0.9866666666666667,0.16666666666666666,0.8496,False,True,True,True
