variant,axis,axis_short,mean_OWD,mean_NWD,cohens_d
rawB_plain,G01_purine_nucleotide,Purine-nuc,0.005221191256678724,0.0036102124903808056,1.452593886401828
rawB_plain,G02_purine_metabolite,Purine-met,0.039602884464100464,0.040167737555794926,-0.04714455221030842
rawB_plain,G03_pyrimidine_nucleotide,Pyrimidine,0.0043352372343310654,0.003671696632875755,0.2523145770910675
rawB_plain,G04_nucleic_acid_phosphate,Nuc-phosphate,0.007737783130556299,0.005283837862143626,0.27076969483515667
rawB_plain,G05_glycan_carbohydrate,Glycan,0.0468996122096161,0.05161950402804714,-0.15379566560612384
rawB_plain,G06_protein_peptide_backbone,Protein,0.04724989506143091,0.05627940590136273,-0.4332255061658505
rawB_plain,G07_aromatic_residue,Aromatic,0.04429264573971825,0.018478304424233354,1.3994225842382833
rawB_plain,G08_lipid_acyl_membrane,Lipid,0.012552859008757281,0.0116192071090742,0.18890814712689274
rawB_plain,G09_sterol_neutral_lipid,Sterol,0.016117380529370992,0.006782016080560816,1.2228762754757012
rawB_plain,G10_sulfur_thiol_redox,Redox,0.13742829799406153,0.0739977555538628,2.221407340712335
rawB_plain,G11_metabolic_small_molecule,Metabolite,0.059765463768590495,0.06842705848743731,-0.5780952948774137
rawA_diabetes,G01_purine_nucleotide,Purine-nuc,0.005221191256678724,0.0036102124903808056,1.452593886401828
rawA_diabetes,G02_purine_metabolite,Purine-met,0.039602884464100464,0.040167737555794926,-0.04714455221030842
rawA_diabetes,G03_pyrimidine_nucleotide,Pyrimidine,0.0043352372343310654,0.003671696632875755,0.2523145770910675
rawA_diabetes,G04_nucleic_acid_phosphate,Nuc-phosphate,0.007737783130556299,0.005283837862143626,0.27076969483515667
rawA_diabetes,G05_glycan_carbohydrate,Glycan,0.0468996122096161,0.05161950402804714,-0.15379566560612384
rawA_diabetes,G06_protein_peptide_backbone,Protein,0.04724989506143091,0.05627940590136273,-0.4332255061658505
rawA_diabetes,G07_aromatic_residue,Aromatic,0.04429264573971825,0.018478304424233354,1.3994225842382833
rawA_diabetes,G08_lipid_acyl_membrane,Lipid,0.012552859008757281,0.0116192071090742,0.18890814712689274
rawA_diabetes,G09_sterol_neutral_lipid,Sterol,0.016117380529370992,0.006782016080560816,1.2228762754757012
rawA_diabetes,G10_sulfur_thiol_redox,Redox,0.11752075310057655,0.06388878422918513,2.207051978135303
rawA_diabetes,G11_metabolic_small_molecule,Metabolite,0.059765463768590495,0.06842705848743731,-0.5780952948774137
historical_1322,G01_purine_nucleotide,Purine-nuc,0.01153440149147916,0.010492834151980747,0.30463209816042075
historical_1322,G02_purine_metabolite,Purine-met,0.029684775630161243,0.029876363048772572,-0.03288692442669857
historical_1322,G03_pyrimidine_nucleotide,Pyrimidine,0.011120232527689464,0.019028684684637896,-1.4061874587266296
historical_1322,G04_nucleic_acid_phosphate,Nuc-phosphate,0.014905472420789243,0.012442374645401719,0.27600488398807044
historical_1322,G05_glycan_carbohydrate,Glycan,0.041755850624643105,0.0450543731639012,-0.21431572229266446
historical_1322,G06_protein_peptide_backbone,Protein,0.03648002534550175,0.03417978668136386,0.2669479338663714
historical_1322,G07_aromatic_residue,Aromatic,0.03599203433513338,0.023528089741978314,1.3225874083393174
historical_1322,G08_lipid_acyl_membrane,Lipid,0.021657015247964016,0.022615884288622462,-0.27667617652699694
historical_1322,G09_sterol_neutral_lipid,Sterol,0.027674162365949464,0.012124936627335497,2.449898520803378
historical_1322,G10_sulfur_thiol_redox,Redox,0.10840130804813877,0.07281154505817494,1.4387425623698578
historical_1322,G11_metabolic_small_molecule,Metabolite,0.034781074316876735,0.04417648285416775,-1.4491132588218654
historical_1304,G01_purine_nucleotide,Purine-nuc,0.01153440149147916,0.010492834151980747,0.30463209816042075
historical_1304,G02_purine_metabolite,Purine-met,0.029684775630161243,0.029876363048772572,-0.03288692442669857
historical_1304,G03_pyrimidine_nucleotide,Pyrimidine,0.011120232527689464,0.019028684684637896,-1.4061874587266296
historical_1304,G04_nucleic_acid_phosphate,Nuc-phosphate,0.014905472420789243,0.012442374645401719,0.27600488398807044
historical_1304,G05_glycan_carbohydrate,Glycan,0.041755850624643105,0.0450543731639012,-0.21431572229266446
historical_1304,G06_protein_peptide_backbone,Protein,0.03648002534550175,0.03417978668136386,0.2669479338663714
historical_1304,G07_aromatic_residue,Aromatic,0.03599203433513338,0.023528089741978314,1.3225874083393174
historical_1304,G08_lipid_acyl_membrane,Lipid,0.021657015247964016,0.022615884288622462,-0.27667617652699694
historical_1304,G09_sterol_neutral_lipid,Sterol,0.027674162365949464,0.012124936627335497,2.449898520803378
historical_1304,G10_sulfur_thiol_redox,Redox,0.11240681111946653,0.10090955685793279,0.436937470750732
historical_1304,G11_metabolic_small_molecule,Metabolite,0.034781074316876735,0.04417648285416775,-1.4491132588218654
