variant,cohort,axis,axis_short,value
v3_frozen_global,NWD,G03_pyrimidine_nucleotide,Pyrimidine,-0.0423895190126145
v3_frozen_global,NWD,G04_nucleic_acid_phosphate,Nuc-phosphate,0.06596707422148305
v3_frozen_global,NWD,G05_glycan_carbohydrate,Glycan,-0.5998851481255398
v3_frozen_global,NWD,G06_protein_peptide_backbone,Protein,0.6447425673913056
v3_frozen_global,NWD,G07_aromatic_residue,Aromatic,-4.099640787453384
v3_frozen_global,NWD,G08_lipid_acyl_membrane,Lipid,-1.9208962213402752
v3_frozen_global,NWD,G09_sterol_neutral_lipid,Sterol,-1.630995518912936
v3_frozen_global,NWD,G10_sulfur_thiol_redox,Redox,0.6155648816033009
v3_frozen_global,NWD,G11_metabolic_small_molecule,Metabolite,-0.11928514456391931
v3_frozen_global,OWD,G01_purine_nucleotide,Purine-nuc,-0.033282721955589296
v3_frozen_global,OWD,G02_purine_metabolite,Purine-met,1.0224987531064218
v3_frozen_global,OWD,G03_pyrimidine_nucleotide,Pyrimidine,-0.00921248893984899
v3_frozen_global,OWD,G04_nucleic_acid_phosphate,Nuc-phosphate,0.1886643376421168
v3_frozen_global,OWD,G05_glycan_carbohydrate,Glycan,-0.7657987103831685
v3_frozen_global,OWD,G06_protein_peptide_backbone,Protein,0.21453374265299452
v3_frozen_global,OWD,G07_aromatic_residue,Aromatic,-3.6726146668920503
v3_frozen_global,OWD,G08_lipid_acyl_membrane,Lipid,-1.8742136263561213
v3_frozen_global,OWD,G09_sterol_neutral_lipid,Sterol,-1.3658117634157643
v3_frozen_global,OWD,G10_sulfur_thiol_redox,Redox,3.2121916843883227
v3_frozen_global,OWD,G11_metabolic_small_molecule,Metabolite,-0.5523648805062603
cohort_standardized_global,NWD,G01_purine_nucleotide,Purine-nuc,-0.7367972741153467
cohort_standardized_global,NWD,G02_purine_metabolite,Purine-met,0.02941500873155512
cohort_standardized_global,NWD,G03_pyrimidine_nucleotide,Pyrimidine,-0.15626299842283117
cohort_standardized_global,NWD,G04_nucleic_acid_phosphate,Nuc-phosphate,-0.16749879309802926
cohort_standardized_global,NWD,G05_glycan_carbohydrate,Glycan,0.09570876171186146
cohort_standardized_global,NWD,G06_protein_peptide_backbone,Protein,0.2644008732120352
cohort_standardized_global,NWD,G07_aromatic_residue,Aromatic,-0.7186477383815427
cohort_standardized_global,NWD,G08_lipid_acyl_membrane,Lipid,-0.11738873981267559
cohort_standardized_global,NWD,G09_sterol_neutral_lipid,Sterol,-0.6534229771800801
cohort_standardized_global,NWD,G10_sulfur_thiol_redox,Redox,-0.9315429562463471
cohort_standardized_global,NWD,G11_metabolic_small_molecule,Metabolite,0.34694608584302833
cohort_standardized_global,OWD,G01_purine_nucleotide,Purine-nuc,0.45341370714790574
cohort_standardized_global,OWD,G02_purine_metabolite,Purine-met,-0.018101543834803238
cohort_standardized_global,OWD,G03_pyrimidine_nucleotide,Pyrimidine,0.0961618451832807
cohort_standardized_global,OWD,G04_nucleic_acid_phosphate,Nuc-phosphate,0.10307618036801801
cohort_standardized_global,OWD,G05_glycan_carbohydrate,Glycan,-0.05889769951499167
cohort_standardized_global,OWD,G06_protein_peptide_backbone,Protein,-0.16270822966894471
cohort_standardized_global,OWD,G07_aromatic_residue,Aromatic,0.44224476208094865
cohort_standardized_global,OWD,G08_lipid_acyl_membrane,Lipid,0.07223922450011104
cohort_standardized_global,OWD,G09_sterol_neutral_lipid,Sterol,0.40210644749543223
cohort_standardized_global,OWD,G10_sulfur_thiol_redox,Redox,0.573257203843906
cohort_standardized_global,OWD,G11_metabolic_small_molecule,Metabolite,-0.21350528359570978
historical_cohort_z_exact,NWD,G01_purine_nucleotide,Purine-nuc,-0.18800838465550795
historical_cohort_z_exact,NWD,G02_purine_metabolite,Purine-met,0.02052206464503568
historical_cohort_z_exact,NWD,G03_pyrimidine_nucleotide,Pyrimidine,0.7209943118915474
historical_cohort_z_exact,NWD,G04_nucleic_acid_phosphate,Nuc-phosphate,-0.17067885055619117
historical_cohort_z_exact,NWD,G05_glycan_carbohydrate,Glycan,0.13301275195751014
historical_cohort_z_exact,NWD,G06_protein_peptide_backbone,Protein,-0.16517525917793593
historical_cohort_z_exact,NWD,G07_aromatic_residue,Aromatic,-0.6912146572347336
historical_cohort_z_exact,NWD,G08_lipid_acyl_membrane,Lipid,0.17108638262897796
historical_cohort_z_exact,NWD,G09_sterol_neutral_lipid,Sterol,-0.974479325983994
historical_cohort_z_exact,NWD,G10_sulfur_thiol_redox,Redox,-0.7321338926415712
historical_cohort_z_exact,NWD,G11_metabolic_small_molecule,Metabolite,0.7356296882254891
historical_cohort_z_exact,OWD,G01_purine_nucleotide,Purine-nuc,0.11569746748031212
historical_cohort_z_exact,OWD,G02_purine_metabolite,Purine-met,-0.012628962858483405
historical_cohort_z_exact,OWD,G03_pyrimidine_nucleotide,Pyrimidine,-0.44368880731787547
historical_cohort_z_exact,OWD,G04_nucleic_acid_phosphate,Nuc-phosphate,0.10503313880380916
historical_cohort_z_exact,OWD,G05_glycan_carbohydrate,Glycan,-0.08185400120462266
historical_cohort_z_exact,OWD,G06_protein_peptide_backbone,Protein,0.10164631334026628
historical_cohort_z_exact,OWD,G07_aromatic_residue,Aromatic,0.42536286599060535
historical_cohort_z_exact,OWD,G08_lipid_acyl_membrane,Lipid,-0.1052839277716812
historical_cohort_z_exact,OWD,G09_sterol_neutral_lipid,Sterol,0.5996795852209195
historical_cohort_z_exact,OWD,G10_sulfur_thiol_redox,Redox,0.45054393393327447
historical_cohort_z_exact,OWD,G11_metabolic_small_molecule,Metabolite,-0.4526951927541448
