analyte,family,expected_theme,n_raman,n_sers,L1_latent_fingerprint,L2_mss_motif,L3a_theme_raw,L3b_theme_identity,L3b_identity_null,L3b_identity_separation,L4_theme_rank_rho,L4_rank_null,L4_rank_separation,L5_top2_overlap,L5_top3_overlap,L6_argmax_agreement,raman_dominant,sers_dominant,expected_rank_sers,expected_retained_top3,purine_share_raman,purine_share_sers,delta_purine,ood_sers,confidence_sers
isoleucine,amino_acid,aromatic_amino_acid|protein_peptide,3,5,0.5932,0.8301,0.9379,-0.9043,-0.8225,-0.0818,0.8727,0.8798,-0.0071,1.0,0.667,False,saccharide_glycan,nucleic_purine,4,False,0.1347,0.2152,0.0804,0.1672,0.1963
phosphoenolpyruvate,organic_acid,organic_acid_metabolism,4,5,0.6177,0.8211,0.9331,0.8668,0.6833,0.1835,0.8727,0.7995,0.0733,0.5,0.667,True,nucleic_purine,nucleic_purine,3,True,0.2202,0.2047,-0.0154,0.1414,0.1983
tyrosine,amino_acid,aromatic_amino_acid|protein_peptide,4,5,0.236,0.6292,0.9473,0.1874,0.1409,0.0465,0.8727,0.8529,0.0198,1.0,0.667,True,nucleic_purine,nucleic_purine,4,False,0.1802,0.2008,0.0205,0.1573,0.1962
adenine,purine,nucleic_purine,4,5,0.3592,0.7405,0.9466,0.733,0.7069,0.0261,0.8636,0.8305,0.0331,1.0,0.667,True,nucleic_purine,nucleic_purine,1,True,0.3206,0.205,-0.1157,0.1388,0.2195
stearate,lipid,lipid_acyl|sterol_membrane,5,5,0.3209,0.3722,0.5662,0.0776,-0.2541,0.3318,0.8545,0.7718,0.0827,0.5,0.667,False,lipid_acyl,nucleic_purine,5,False,0.1328,0.202,0.0692,0.168,0.2096
glucose,saccharide,saccharide_glycan,4,5,0.2555,0.5358,0.8458,-0.4605,-0.4806,0.0201,0.8545,0.8642,-0.0096,1.0,0.667,False,saccharide_glycan,nucleic_purine,2,True,0.1717,0.1958,0.024,0.124,0.2052
ergothioneine,cofactor,sulfur_antioxidant,3,5,0.2852,0.7263,0.9582,0.2507,0.3447,-0.0941,0.8545,0.944,-0.0895,1.0,0.667,True,nucleic_purine,nucleic_purine,5,False,0.1709,0.1456,-0.0252,0.307,0.2571
alanine,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.2553,0.6624,0.8867,-0.4841,-0.4569,-0.0272,0.8364,0.8275,0.0089,1.0,0.667,False,saccharide_glycan,nucleic_purine,4,False,0.136,0.2005,0.0645,0.1256,0.1993
fructose-6-phosphate,saccharide,saccharide_glycan,4,5,0.3473,0.6931,0.8287,-0.7297,-0.7217,-0.008,0.8364,0.8198,0.0165,0.5,0.667,False,saccharide_glycan,nucleic_purine,2,True,0.0773,0.202,0.1247,0.1113,0.2071
lactate,organic_acid,organic_acid_metabolism,3,5,0.402,0.5653,0.7821,-0.6338,-0.538,-0.0958,0.8364,0.842,-0.0056,0.5,0.333,False,saccharide_glycan,nucleic_purine,3,True,0.0858,0.2072,0.1214,0.1239,0.2115
hydroxyproline,amino_acid,aromatic_amino_acid|protein_peptide,3,5,0.241,0.6319,0.8238,-0.5354,-0.5228,-0.0126,0.8273,0.8029,0.0244,0.5,0.333,False,saccharide_glycan,nucleic_purine,4,False,0.0918,0.2035,0.1117,0.1242,0.2034
urate,purine,nucleic_purine,3,5,0.644,0.7488,0.9127,-0.5662,-0.1396,-0.4266,0.8273,0.8847,-0.0575,1.0,0.667,False,saccharide_glycan,nucleic_purine,1,True,0.127,0.2638,0.1368,0.2944,0.2378
albumin,protein,protein_peptide,6,5,0.6025,0.879,0.9286,-0.1934,-0.1117,-0.0817,0.8182,0.7444,0.0738,0.0,0.333,False,lipid_acyl,nucleic_purine,4,False,0.1352,0.2109,0.0757,0.1286,0.2398
fructose,saccharide,saccharide_glycan,3,5,0.3411,0.5823,0.7526,-0.6003,-0.6484,0.0481,0.8182,0.8184,-0.0002,0.5,0.667,False,saccharide_glycan,nucleic_purine,2,True,0.0762,0.1958,0.1196,0.1429,0.1941
citrate,organic_acid,organic_acid_metabolism,4,5,0.6183,0.6956,0.8426,0.8517,0.7608,0.0908,0.8091,0.8018,0.0073,0.5,0.667,False,organic_acid_metabolism,nucleic_purine,3,True,0.2798,0.1865,-0.0933,0.1465,0.1899
serine,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.3536,0.6897,0.8496,-0.6139,-0.5968,-0.0171,0.8,0.7816,0.0184,0.5,0.333,False,saccharide_glycan,nucleic_purine,4,False,0.0726,0.2058,0.1332,0.1701,0.1917
acetoacetate,organic_acid,organic_acid_metabolism,4,5,0.423,0.7716,0.9169,0.446,0.4032,0.0428,0.7636,0.8504,-0.0867,0.5,0.667,False,organic_acid_metabolism,nucleic_purine,3,True,0.1624,0.2007,0.0383,0.2081,0.2019
