analyte,concentration_top3,n_components_for_90pct,dominant_components,dominant_weights,entropy,signature_uniqueness,nearest_neighbours,nn_similarity,assignment_confidence
(+)-arabinose,0.6173940897540369,9,"[10, 11, 14]","[0.2836, 0.2682, 0.0656]",0.7611867782938896,0.07667598587767077,"['(-)-arabinose', 'glycerol', '(+)-sucrose']","[0.9233, 0.8226, 0.7556]",low
(+)-dextrose,0.9844906883862992,2,"[12, 10, 15]","[0.5744, 0.3466, 0.0635]",0.5769464437006921,0.005945737869033074,"['β-d-glucose', 'glucose', '(+)-glucose']","[0.9941, 0.9418, 0.9367]",low
(+)-fucose,0.4880682586035841,9,"[4, 12, 1]","[0.1871, 0.1587, 0.1423]",0.8525893988713199,0.27236519957910377,"['phosphatidylinositol', '2-deoxy-d-ribose', 'mannose']","[0.7276, 0.7124, 0.7066]",moderate
(+)-galactosamine,0.7899158187377613,6,"[4, 12, 14]","[0.3635, 0.2899, 0.1364]",0.7398496549561071,0.035489843063250204,"['galactose', '(-)-ribose', '(+)-fucose']","[0.9645, 0.8093, 0.6727]",low
(+)-galactose,0.4242436810158967,11,"[15, 17, 16]","[0.1506, 0.1391, 0.1345]",0.9370475091633794,0.389429445782995,"['2-deoxy-d-ribose', 'a-dna', 'phosphatidylinositol']","[0.6106, 0.5918, 0.5633]",high
(+)-glucose,0.7916318375399389,5,"[12, 10, 18]","[0.3724, 0.2878, 0.1315]",0.7693414890967375,0.014884014842932336,"['glucose', 'β-d-glucose', '(+)-dextrose']","[0.9851, 0.9683, 0.9367]",low
(+)-lactose,0.7852474335030211,6,"[18, 11, 4]","[0.5041, 0.1608, 0.1204]",0.6476763100275752,0.00696787351763084,"['lactate', 'lactose', 'cellulose']","[0.993, 0.9582, 0.9198]",low
(+)-maltose,0.6123424114639395,9,"[12, 18, 10]","[0.2568, 0.2291, 0.1264]",0.7944445972636931,0.09593509913950204,"['(+)-trehalose', 'glucose', '(+)-glucose']","[0.9041, 0.8902, 0.8534]",low
(+)-mannose,0.6132938449823483,8,"[18, 4, 19]","[0.3182, 0.1559, 0.1392]",0.7923328649664622,0.07242293560842472,"['mannose', '(+)-lactose', 'lactate']","[0.9276, 0.8435, 0.8398]",low
(+)-raffinose pentahydrate,0.5148607117977333,9,"[10, 5, 4]","[0.2159, 0.177, 0.1219]",0.8725839106213285,0.34242658868688114,"['(+)-glucose', 'glycerol', 'glucose']","[0.6576, 0.6499, 0.6456]",moderate
(+)-sucrose,0.5420113467131374,9,"[11, 12, 10]","[0.2287, 0.1866, 0.1268]",0.8582038846200363,0.18310208917292448,"['alanine', 'leucine', '(+)-arabinose']","[0.8169, 0.8029, 0.7556]",moderate
(+)-trehalose,0.6526173354314818,7,"[12, 10, 18]","[0.3022, 0.1804, 0.17]",0.7618696646305616,0.08576420617067404,"['glucose', '(+)-maltose', '(+)-glucose']","[0.9142, 0.9041, 0.8935]",low
(+)-xylose,0.6233224560735455,6,"[9, 18, 12]","[0.2859, 0.2222, 0.1152]",0.7717410222282602,0.14829539483962395,"['chitin', 'glucosamine', '(+)-maltose']","[0.8517, 0.7535, 0.7499]",low
(-)-arabinose,0.7058060765846349,6,"[10, 11, 19]","[0.3533, 0.1771, 0.1754]",0.7446381914506761,0.07667598587767077,"['(+)-arabinose', 'glycerol', 'proline']","[0.9233, 0.6831, 0.6674]",low
(-)-fructose,0.9065118272555328,3,"[20, 4, 21]","[0.5761, 0.2024, 0.1279]",0.5508874106775856,0.0023087324275017362,"['fructose', 'urate', '2-deoxy-d-ribose']","[0.9977, 0.7494, 0.66]",low
(-)-ribose,0.6336786630000764,7,"[12, 9, 4]","[0.3329, 0.1541, 0.1467]",0.7758636801019446,0.19072841370754356,"['(+)-galactosamine', 'galactose', 'glucose']","[0.8093, 0.7794, 0.7579]",moderate
12-methyltetradecanoic acid,0.793659729216806,6,"[1, 16, 21]","[0.4754, 0.2672, 0.0511]",0.5885746574534029,0.018389286745037925,"['trierucin', 'tricaprin', 'tripetroselinin']","[0.9816, 0.9759, 0.9651]",low
13-methylmyristicacid,0.7609069125885544,7,"[1, 16, 2]","[0.4887, 0.1668, 0.1054]",0.670840532809339,0.04509712812405564,"['trielaidin', 'trierucin', 'cholesteryl stearate']","[0.9549, 0.95, 0.9472]",low
14-methylhexadecanoic acid,0.697096660883336,5,"[1, 16, 10]","[0.4068, 0.1535, 0.1369]",0.7501084061989179,0.06704149636995216,"['13-methylmyristicacid', '12-methyltetradecanoic acid', 'trierucin']","[0.933, 0.9264, 0.8993]",low
14-methylpentadecanoic acid,0.8891158830835273,4,"[16, 1, 14]","[0.4243, 0.4237, 0.0411]",0.5114137531635494,0.004139249281828961,"['trimyristin', 'tripalmitin', 'trilaurin']","[0.9959, 0.9956, 0.9952]",low
15-methylpalmiticacid,0.8966397262712207,4,"[1, 16, 20]","[0.4428, 0.4087, 0.0452]",0.5350752040615654,0.004832725493545298,"['14-methylpentadecanoic acid', 'trimyristin', 'tripalmitin']","[0.9952, 0.9941, 0.9924]",low
2-deoxy-d-ribose,0.3948804815624517,10,"[20, 16, 12]","[0.1895, 0.106, 0.0995]",0.9231448072447743,0.28759206227226886,"['(+)-fucose', 'hypoxanthine', 'fructose']","[0.7124, 0.6773, 0.6642]",moderate
a-dna,0.45841789583167214,12,"[23, 17, 13]","[0.1967, 0.1582, 0.1035]",0.87404972470576,0.07090326283476578,"['b-dna', 't-rna', 'phosphoenolpyruvate']","[0.9291, 0.898, 0.7557]",low
acetoacetate,0.6135380810927482,8,"[22, 5, 14]","[0.3232, 0.1543, 0.1361]",0.8450902192931499,0.17383453759189693,"['aspartate', 'glutamate', 'asparagine']","[0.8262, 0.7853, 0.7636]",moderate
acetyl coenzyme a,0.6318440624170064,9,"[3, 20, 16]","[0.3341, 0.1908, 0.107]",0.7402599372590811,0.08136394246489376,"['acetyl-coa', 'coenzyme a', 'adenine']","[0.9186, 0.8303, 0.8299]",low
acetyl-coa,0.3937159989398857,12,"[3, 20, 22]","[0.2001, 0.1055, 0.0881]",0.8304724283064815,0.08074920471742031,"['coenzyme a', 'acetyl coenzyme a', 'estrone']","[0.9193, 0.9186, 0.6982]",low
adenine,0.743195111352946,6,"[3, 14, 12]","[0.4715, 0.148, 0.1237]",0.6416389777322525,0.14487822238227566,"['estrone', 'acetyl coenzyme a', 'coenzyme a']","[0.8551, 0.8299, 0.7409]",low
alanine,0.7681678012431605,6,"[11, 12, 13]","[0.4822, 0.2216, 0.0644]",0.6213924310740135,0.11094778367004754,"['hydroxyproline', 'serine', '(+)-sucrose']","[0.8891, 0.848, 0.8169]",low
alb,0.4859403614500102,10,"[1, 14, 6]","[0.1887, 0.1616, 0.1356]",0.8783788855200407,0.08450948942189251,"['albumin', 'glutathione transferase', 'keratin']","[0.9155, 0.7177, 0.7106]",low
albumin,0.3577232741978537,16,"[1, 2, 14]","[0.1255, 0.1175, 0.1148]",0.8995949074639734,0.08450948942189251,"['alb', 'ferritin', 'glutathione transferase']","[0.9155, 0.8487, 0.8345]",low
amylopectin,0.8336199751273897,6,"[18, 14, 11]","[0.4942, 0.2514, 0.0881]",0.5745147903557282,0.003209583318696585,"['amylose', 'xylanase', 'glycogen']","[0.9968, 0.9968, 0.9266]",low
amylose,0.8163653243400149,6,"[18, 14, 11]","[0.4674, 0.2389, 0.1101]",0.5977888254434663,0.003209583318696585,"['amylopectin', 'xylanase', 'glycogen']","[0.9968, 0.996, 0.9322]",low
arachidic acid,0.9625434315299548,3,"[16, 1, 22]","[0.525, 0.332, 0.1056]",0.5372605005465457,0.0069770756674850665,"['palmitic acid', 'lauric acid', 'tribehenin']","[0.993, 0.9798, 0.9728]",low
arachidonic acid,0.8149862760770881,4,"[7, 1, 8]","[0.5546, 0.1641, 0.0963]",0.6261395817516543,0.038643593638088336,"['trilinolenin', 'α-linolenic acid', 'linoleic acid']","[0.9614, 0.9524, 0.8678]",low
arginine,0.6926164859200039,8,"[21, 1, 22]","[0.4801, 0.1223, 0.0902]",0.6190931225298911,0.09316408864228054,"['fructose-6-phosphate', 'histidine', 'n-acetyl- d-glucosamine']","[0.9068, 0.8261, 0.7675]",low
ascorbate,0.664537764709911,6,"[20, 7, 18]","[0.2682, 0.2189, 0.1774]",0.8031280087424851,0.31228647949372235,"['urate', 'fructose', '(-)-fructose']","[0.6877, 0.5938, 0.5871]",moderate
asparagine,0.7679626796430343,6,"[22, 14, 12]","[0.3384, 0.3035, 0.126]",0.7323311134520524,0.10944311993414657,"['glutamate', 'aspartate', 'aspartic acid']","[0.8906, 0.815, 0.7989]",low
aspartate,0.5117829150519023,11,"[22, 18, 12]","[0.3083, 0.1089, 0.0945]",0.8412538097163679,0.1433320651108444,"['glutamate', 'acetoacetate', 'asparagine']","[0.8567, 0.8262, 0.815]",low
aspartic acid,0.8472640951872065,4,"[14, 23, 22]","[0.483, 0.1864, 0.1779]",0.6693213627033087,0.11162043643203079,"['succinic acid', 'phosphate', 'asparagine']","[0.8884, 0.8505, 0.7989]",low
b-dna,0.4746258388881684,10,"[23, 17, 13]","[0.1701, 0.1683, 0.1363]",0.8482761812601042,0.07090326283476578,"['a-dna', 't-rna', 'phosphoenolpyruvate']","[0.9291, 0.8323, 0.6586]",low
carbonic anhydrase,0.633567519702614,8,"[2, 6, 1]","[0.3482, 0.1736, 0.1119]",0.7002966232448941,0.021358312255741363,"['lectin', 'pepsinogen', 'thaumatin']","[0.9786, 0.9733, 0.9673]",low
carotene,0.639306231534801,7,"[18, 6, 14]","[0.2939, 0.2225, 0.1229]",0.8251569403068678,0.03194688527916634,"['β-carotene', 'amylopectin', 'amylose']","[0.9681, 0.7577, 0.7504]",low
cellulose,0.7512916543246865,6,"[18, 21, 9]","[0.6046, 0.0852, 0.0614]",0.6251195084626502,0.040497575519281126,"['lactose', 'lactate', '(+)-lactose']","[0.9595, 0.9427, 0.9198]",low
ceramide,0.8442017428829582,4,"[1, 16, 22]","[0.413, 0.2529, 0.1782]",0.664091393376973,0.026578502653659908,"['sphingomyelin', 'tripetroselinin', 'stearate']","[0.9734, 0.9636, 0.9506]",low
chitin,0.6295941383875131,9,"[18, 9, 14]","[0.3665, 0.1883, 0.0748]",0.7665697924546699,0.11965269689995672,"['cellulose', '(+)-xylose', 'lactose']","[0.8803, 0.8517, 0.8461]",low
cholesterol,0.4577440535091696,15,"[1, 13, 19]","[0.2664, 0.1134, 0.0779]",0.8467885396788054,0.09595630128695087,"['cholesteryl palmitate', 'cholesteryl oleate', 'cholesteryl stearate']","[0.904, 0.8964, 0.883]",low
cholesteryl linoleate,0.6438644769987625,7,"[1, 2, 7]","[0.3497, 0.1586, 0.1356]",0.7174965350226189,0.09023704296856605,"['cholesteryl oleate', 'cholesteryl palmitate', 'α-phosphatidylethanolamine']","[0.9098, 0.8765, 0.8758]",low
