analyte,concentration_top3,n_components_for_90pct,dominant_components,dominant_weights,entropy,signature_uniqueness,nearest_neighbours,nn_similarity,assignment_confidence
glutamate,0.5826529619537799,10,"[22, 14, 11]","[0.3131, 0.1644, 0.1051]",0.7264448152133205,0.10944311993414657,"['asparagine', 'aspartate', 'acetoacetate']","[0.8906, 0.8567, 0.7853]",low
glutathione,0.4348531149528444,13,"[22, 9, 19]","[0.1693, 0.152, 0.1136]",0.8514332089526214,0.10655207906848596,"['gluth', 'aspartate', 'glutamate']","[0.8934, 0.7189, 0.6911]",low
glutathione transferase,0.5065569601742524,10,"[2, 1, 7]","[0.2894, 0.1138, 0.1034]",0.7899523488461201,0.05897670214005102,"['ubiquitin', 'lactalbumin', 'major proteinase']","[0.941, 0.9381, 0.9355]",low
gluth,0.6486826691106998,8,"[22, 19, 9]","[0.2716, 0.2155, 0.1616]",0.7938430187193959,0.10655207906848596,"['glutathione', 'aspartate', 'methionine']","[0.8934, 0.68, 0.6682]",low
glycerol,0.5843689582547473,9,"[11, 18, 10]","[0.213, 0.1928, 0.1786]",0.8740444806859747,0.17741400796350704,"['(+)-arabinose', '(+)-lactose', 'lactate']","[0.8226, 0.75, 0.7033]",moderate
glycine,0.8400038097041791,5,"[9, 18, 22]","[0.7108, 0.074, 0.0552]",0.4202302879668603,0.2529937886410133,"['(+)-xylose', 'proline', 'glutathione']","[0.747, 0.6369, 0.5754]",moderate
glycogen,0.468385664383257,15,"[18, 14, 11]","[0.2633, 0.1295, 0.0756]",0.8452363773995193,0.06779207206497995,"['amylose', 'xylanase', 'amylopectin']","[0.9322, 0.9317, 0.9266]",low
guanine,0.8839945997011923,4,"[15, 14, 17]","[0.6622, 0.1371, 0.0847]",0.5041152607671927,0.07078587270270231,"['xanthine', '(+)-galactose', 'cysteine']","[0.9292, 0.5458, 0.5407]",low
hemoglobin,0.5962570845947918,8,"[8, 13, 16]","[0.3186, 0.1631, 0.1146]",0.7728631204991124,0.017319836838835978,"['myoglobin', 'cytochrome c', 'horseradish peroxidase']","[0.9827, 0.9453, 0.8421]",low
histidine,0.5356514481217111,11,"[21, 11, 0]","[0.3057, 0.1374, 0.0925]",0.7735703632977925,0.17394645533592845,"['arginine', 'fructose-6-phosphate', 'ergothioneine']","[0.8261, 0.7931, 0.7038]",moderate
horseradish peroxidase,0.4858965426622981,10,"[8, 13, 2]","[0.2769, 0.1075, 0.1014]",0.7893742320564335,0.13039445184171772,"['myoglobin', 'hemoglobin', 'melanin']","[0.8696, 0.8421, 0.7857]",low
hydroxyproline,0.7864760086550113,5,"[11, 10, 22]","[0.6139, 0.1021, 0.0705]",0.5378186987357172,0.07735387502893343,"['serine', 'alanine', '(+)-arabinose']","[0.9226, 0.8891, 0.7435]",low
hypoxanthine,0.36428358278964124,14,"[3, 19, 1]","[0.1359, 0.1224, 0.1059]",0.8907159769638244,0.19269696470167808,"['phosphatidylinositol', 'ethinylestradiol', 'methionine']","[0.8073, 0.7767, 0.7597]",moderate
insulin,0.41077499566957565,12,"[2, 11, 6]","[0.1739, 0.1333, 0.1036]",0.8659933141834611,0.13226414550844523,"['ferritin', 'glutathione transferase', 'papain']","[0.8677, 0.8395, 0.8384]",low
isoleucine,0.36781227062679045,13,"[12, 1, 11]","[0.1587, 0.115, 0.094]",0.8966096177438242,0.252232190206114,"['valine', 'leucine', 'glucosamine']","[0.7478, 0.7022, 0.6748]",moderate
keratin,0.638158848264964,10,"[2, 1, 7]","[0.2694, 0.234, 0.1347]",0.7820600116867563,0.08491124468016087,"['lactalbumin', 'glutathione transferase', 'elastin']","[0.9151, 0.9133, 0.8935]",low
lactalbumin,0.503462642765397,11,"[2, 22, 1]","[0.2654, 0.1212, 0.1169]",0.7996874250559682,0.038677468873899,"['triosephosphate isomerase', 'α-chymotrypsinogen a (type ii)', 'pepsin']","[0.9613, 0.9576, 0.9461]",low
lactate,0.7489059091862995,7,"[18, 11, 4]","[0.5289, 0.1142, 0.1058]",0.6750889853383001,0.00696787351763084,"['(+)-lactose', 'lactose', 'cellulose']","[0.993, 0.9796, 0.9427]",low
lactose,0.7251519490533858,7,"[18, 10, 20]","[0.5484, 0.1004, 0.0764]",0.6599266340733493,0.020443065448065734,"['lactate', 'cellulose', '(+)-lactose']","[0.9796, 0.9595, 0.9582]",low
lauric acid,0.9161556057781987,3,"[16, 1, 2]","[0.5049, 0.3673, 0.0439]",0.5143424010312783,0.006905564006081111,"['tribehenin', 'tristearin', 'tripalmitin']","[0.9931, 0.9923, 0.9904]",low
lectin,0.658376187311062,10,"[2, 6, 7]","[0.38, 0.1916, 0.0868]",0.69519365446835,0.015664369843156445,"['pepsinogen', 'thaumatin', 'carbonic anhydrase']","[0.9843, 0.9814, 0.9786]",low
leucine,0.47208441376614096,9,"[12, 11, 10]","[0.1704, 0.1563, 0.1454]",0.8037969288145566,0.19712077836234987,"['(+)-sucrose', 'valine', 'isoleucine']","[0.8029, 0.7607, 0.7022]",moderate
linoleic acid,0.797780695800882,5,"[7, 1, 22]","[0.3761, 0.3561, 0.0656]",0.6571202794829347,0.01268955391499782,"['trilinolein', 'trilinolenin', 'α-linolenic acid']","[0.9873, 0.9444, 0.9438]",low
major proteinase,0.6026163209491707,11,"[2, 7, 11]","[0.3962, 0.1319, 0.0746]",0.7381628938492696,0.015147534668478513,"['trypsin', 'trypsinogen', 'elastase']","[0.9849, 0.9844, 0.9528]",low
malic acid,0.4249853103305349,10,"[21, 23, 22]","[0.1531, 0.1416, 0.1303]",0.8666427110616657,0.29388528658490676,"['pyruvate', 'histidine', 'phosphoenolpyruvate']","[0.7061, 0.6332, 0.6262]",moderate
