analyte,concentration_top3,n_components_for_90pct,dominant_components,dominant_weights,entropy,signature_uniqueness,nearest_neighbours,nn_similarity,assignment_confidence,nn1,nn1_sim,nn_relation
(+)-arabinose,0.6173940897540369,9,"[10, 11, 14]","[0.2836, 0.2682, 0.0656]",0.7611867782938896,0.0766759858776707,"['(-)-arabinose', 'glycerol', '(+)-sucrose']","[0.9233, 0.8226, 0.7556]",low,(-)-arabinose,0.9233,duplicate
(+)-dextrose,0.9844906883862992,2,"[12, 10, 15]","[0.5744, 0.3466, 0.0635]",0.5769464437006921,0.005945737869033,"['β-d-glucose', 'glucose', '(+)-glucose']","[0.9941, 0.9418, 0.9367]",low,β-d-glucose,0.9941,homolog
(+)-fucose,0.4880682586035841,9,"[4, 12, 1]","[0.1871, 0.1587, 0.1423]",0.8525893988713199,0.2723651995791037,"['phosphatidylinositol', '2-deoxy-d-ribose', 'mannose']","[0.7276, 0.7124, 0.7066]",moderate,phosphatidylinositol,0.7276,distinct
(+)-galactosamine,0.7899158187377613,6,"[4, 12, 14]","[0.3635, 0.2899, 0.1364]",0.7398496549561071,0.0354898430632502,"['galactose', '(-)-ribose', '(+)-fucose']","[0.9645, 0.8093, 0.6727]",low,galactose,0.9645,family
(+)-galactose,0.4242436810158967,11,"[15, 17, 16]","[0.1506, 0.1391, 0.1345]",0.9370475091633794,0.389429445782995,"['2-deoxy-d-ribose', 'a-dna', 'phosphatidylinositol']","[0.6106, 0.5918, 0.5633]",high,2-deoxy-d-ribose,0.6106,family
(+)-glucose,0.7916318375399389,5,"[12, 10, 18]","[0.3724, 0.2878, 0.1315]",0.7693414890967375,0.0148840148429323,"['glucose', 'β-d-glucose', '(+)-dextrose']","[0.9851, 0.9683, 0.9367]",low,glucose,0.9851,duplicate
(+)-lactose,0.7852474335030211,6,"[18, 11, 4]","[0.5041, 0.1608, 0.1204]",0.6476763100275752,0.0069678735176308,"['lactate', 'lactose', 'cellulose']","[0.993, 0.9582, 0.9198]",low,lactate,0.993,distinct
(+)-maltose,0.6123424114639395,9,"[12, 18, 10]","[0.2568, 0.2291, 0.1264]",0.7944445972636931,0.095935099139502,"['(+)-trehalose', 'glucose', '(+)-glucose']","[0.9041, 0.8902, 0.8534]",low,(+)-trehalose,0.9041,homolog
(+)-mannose,0.6132938449823483,8,"[18, 4, 19]","[0.3182, 0.1559, 0.1392]",0.7923328649664622,0.0724229356084247,"['mannose', '(+)-lactose', 'lactate']","[0.9276, 0.8435, 0.8398]",low,mannose,0.9276,duplicate
(+)-raffinose pentahydrate,0.5148607117977333,9,"[10, 5, 4]","[0.2159, 0.177, 0.1219]",0.8725839106213285,0.3424265886868811,"['(+)-glucose', 'glycerol', 'glucose']","[0.6576, 0.6499, 0.6456]",moderate,(+)-glucose,0.6576,family
(+)-sucrose,0.5420113467131374,9,"[11, 12, 10]","[0.2287, 0.1866, 0.1268]",0.8582038846200363,0.1831020891729244,"['alanine', 'leucine', '(+)-arabinose']","[0.8169, 0.8029, 0.7556]",moderate,alanine,0.8169,distinct
(+)-trehalose,0.6526173354314818,7,"[12, 10, 18]","[0.3022, 0.1804, 0.17]",0.7618696646305616,0.085764206170674,"['glucose', '(+)-maltose', '(+)-glucose']","[0.9142, 0.9041, 0.8935]",low,glucose,0.9142,family
(+)-xylose,0.6233224560735455,6,"[9, 18, 12]","[0.2859, 0.2222, 0.1152]",0.7717410222282602,0.1482953948396239,"['chitin', 'glucosamine', '(+)-maltose']","[0.8517, 0.7535, 0.7499]",low,chitin,0.8517,same_class
(-)-arabinose,0.7058060765846349,6,"[10, 11, 19]","[0.3533, 0.1771, 0.1754]",0.7446381914506761,0.0766759858776707,"['(+)-arabinose', 'glycerol', 'proline']","[0.9233, 0.6831, 0.6674]",low,(+)-arabinose,0.9233,duplicate
(-)-fructose,0.9065118272555328,3,"[20, 4, 21]","[0.5761, 0.2024, 0.1279]",0.5508874106775856,0.0023087324275017,"['fructose', 'urate', '2-deoxy-d-ribose']","[0.9977, 0.7494, 0.66]",low,fructose,0.9977,duplicate
(-)-ribose,0.6336786630000764,7,"[12, 9, 4]","[0.3329, 0.1541, 0.1467]",0.7758636801019446,0.1907284137075435,"['(+)-galactosamine', 'galactose', 'glucose']","[0.8093, 0.7794, 0.7579]",moderate,(+)-galactosamine,0.8093,homolog
12-methyltetradecanoic acid,0.793659729216806,6,"[1, 16, 21]","[0.4754, 0.2672, 0.0511]",0.5885746574534029,0.0183892867450379,"['trierucin', 'tricaprin', 'tripetroselinin']","[0.9816, 0.9759, 0.9651]",low,trierucin,0.9816,same_class
13-methylmyristicacid,0.7609069125885544,7,"[1, 16, 2]","[0.4887, 0.1668, 0.1054]",0.670840532809339,0.0450971281240556,"['trielaidin', 'trierucin', 'cholesteryl stearate']","[0.9549, 0.95, 0.9472]",low,trielaidin,0.9549,same_class
14-methylhexadecanoic acid,0.697096660883336,5,"[1, 16, 10]","[0.4068, 0.1535, 0.1369]",0.7501084061989179,0.0670414963699521,"['13-methylmyristicacid', '12-methyltetradecanoic acid', 'trierucin']","[0.933, 0.9264, 0.8993]",low,13-methylmyristicacid,0.933,homolog
14-methylpentadecanoic acid,0.8891158830835273,4,"[16, 1, 14]","[0.4243, 0.4237, 0.0411]",0.5114137531635494,0.0041392492818289,"['trimyristin', 'tripalmitin', 'trilaurin']","[0.9959, 0.9956, 0.9952]",low,trimyristin,0.9959,same_class
15-methylpalmiticacid,0.8966397262712207,4,"[1, 16, 20]","[0.4428, 0.4087, 0.0452]",0.5350752040615654,0.0048327254935452,"['14-methylpentadecanoic acid', 'trimyristin', 'tripalmitin']","[0.9952, 0.9941, 0.9924]",low,14-methylpentadecanoic acid,0.9952,homolog
2-deoxy-d-ribose,0.3948804815624517,10,"[20, 16, 12]","[0.1895, 0.106, 0.0995]",0.9231448072447744,0.2875920622722688,"['(+)-fucose', 'hypoxanthine', 'fructose']","[0.7124, 0.6773, 0.6642]",moderate,(+)-fucose,0.7124,homolog
a-dna,0.4584178958316721,12,"[23, 17, 13]","[0.1967, 0.1582, 0.1035]",0.87404972470576,0.0709032628347657,"['b-dna', 't-rna', 'phosphoenolpyruvate']","[0.9291, 0.898, 0.7557]",low,b-dna,0.9291,family
acetoacetate,0.6135380810927482,8,"[22, 5, 14]","[0.3232, 0.1543, 0.1361]",0.8450902192931499,0.1738345375918969,"['aspartate', 'glutamate', 'asparagine']","[0.8262, 0.7853, 0.7636]",moderate,aspartate,0.8262,family
acetyl coenzyme a,0.6318440624170064,9,"[3, 20, 16]","[0.3341, 0.1908, 0.107]",0.7402599372590811,0.0813639424648937,"['acetyl-coa', 'coenzyme a', 'adenine']","[0.9186, 0.8303, 0.8299]",low,acetyl-coa,0.9186,distinct
acetyl-coa,0.3937159989398857,12,"[3, 20, 22]","[0.2001, 0.1055, 0.0881]",0.8304724283064815,0.0807492047174203,"['coenzyme a', 'acetyl coenzyme a', 'estrone']","[0.9193, 0.9186, 0.6982]",low,coenzyme a,0.9193,family
