n_groups,silhouette,bootstrap_reproducibility,chemical_coherence,spectral_coherence,interpretable_group_fraction,singleton_groups,r_silhouette,r_bootstrap_reproducibility,r_chemical_coherence,r_interpretable_group_fraction,composite
14,0.09488494334589333,0.96875,0.3079921557050169,0.23140825419901148,0.21428571428571427,7,1.0,0.9240631163708095,0.919283148171666,1.0,0.9530038793627427
16,0.08305205258502732,0.9757246376811594,0.31228121257149366,0.23918702661924426,0.1875,9,0.6669231579191219,1.0,1.0,0.875,0.9083846315838244
12,0.09369145442709659,0.9603260869565219,0.30759919226350213,0.22117524423912738,0.16666666666666666,4,0.9664052066257522,0.8323471400394502,0.9118878692396901,0.7777777777777778,0.8721070996644481
10,0.07861108257512031,0.9383152173913043,0.2806031859283743,0.20987924778361144,0.1,2,0.5419169953026545,0.5927021696252472,0.40384316124325476,0.46666666666666673,0.5006803316544148
8,0.0775635771264536,0.8999094202898551,0.2603383666534504,0.207447052374691,0.0,1,0.5124314018026866,0.17455621301775343,0.02247437419668358,0.0,0.16159545652486842
6,0.05935893473196293,0.8838768115942027,0.2591441442973424,0.16769629641900533,0.0,1,0.0,0.0,0.0,0.0,0.0
