component,analyte,loading,normalized_loading,contribution_pct,molecular_class,chemical_family,subfamily,molecular_weight,biochemical_role
0,cholesterol,0.02294549790849537,0.059160677764286525,0.6778897464211638,lipid,lipid,unavailable,unavailable,unavailable
0,pepsin,0.022770063972383032,0.058708354149229126,0.6727068182956064,protein/peptide,protein,unavailable,unavailable,unavailable
0,thaumatin,0.022577232121610516,0.05821117326295078,0.6670098953112633,protein/peptide,protein,unavailable,unavailable,unavailable
0,amylopectin,0.021825217652534357,0.05627224450853818,0.6447927745592947,carbohydrate,polysaccharide,unavailable,unavailable,unavailable
0,2-deoxy-d-ribose,0.02135608829199896,0.05506268213429462,0.6309330629714142,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
0,lactose,0.020621536567576402,0.05316877780312408,0.6092318523815287,carbohydrate,saccharide,disaccharide,unavailable,unavailable
0,β-d-glucose,0.020346327587489003,0.05245920288547714,0.6011012227273689,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
0,coenzyme a,0.02017769215246734,0.05202440793481874,0.5961191459495914,cofactor/small-molecule,cofactor,unavailable,unavailable,unavailable
0,insulin,0.019844215467377323,0.05116460063025775,0.5862670858027794,protein/peptide,protein,unavailable,unavailable,unavailable
0,serine,0.017081746440161114,0.04404209055857821,0.5046541508460451,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
0,elastin,0.01682649837986747,0.043383981141854655,0.49711323612905006,protein/peptide,protein,unavailable,unavailable,unavailable
0,phosphoenolpyruvate,0.015436383379237636,0.03979982943002303,0.45604440820336273,cofactor/small-molecule,organic_acid,unavailable,unavailable,unavailable
0,glucose oxidase,0.015003699343660075,0.0386842345144262,0.443261418166369,protein/peptide,protein,unavailable,unavailable,unavailable
0,mannose,0.013851623277201956,0.035713821704057826,0.40922508756837245,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
0,(-)-fructose,0.012370672027803668,0.03189546570238521,0.36547264118781175,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
0,methionine,0.012223669584726201,0.03151644737817404,0.3611296781691631,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
0,aspartate,0.011448611082079018,0.029518103890207988,0.3382317565848797,cofactor/small-molecule,organic_acid,unavailable,unavailable,unavailable
0,phosphatidylinositol,0.010693735241755502,0.02757179762483425,0.31593010098267504,lipid,lipid,unavailable,unavailable,unavailable
0,glycine,0.010578926926741153,0.027275785842640152,0.3125382643852524,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
0,fructose,0.010382402607151535,0.026769084615652073,0.3067322530403047,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
0,cholesteryl oleate,0.00856162058624191,0.0220745384851818,0.2529400247188764,lipid,sterol,unavailable,unavailable,unavailable
0,hypoxanthine,0.00760401535050043,0.019605532364546683,0.22464903826841331,nucleic,purine,purine base/derivative,unavailable,unavailable
0,n-acetylglucosamine,0.007157982476869197,0.01845551996497237,0.2114716771665898,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
0,glutathione,0.005826345649568421,0.015022143293297258,0.17213049769931885,cofactor/small-molecule,cofactor,unavailable,unavailable,unavailable
0,(+)-mannose,0.004965571158246065,0.012802797149146453,0.14670022793680138,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
0,acetyl coenzyme a,0.004139059887973769,0.010671792316558935,0.1222822127926767,protein/peptide,protein,unavailable,unavailable,unavailable
0,cholesteryl palmitate,0.004081959677203326,0.010524570095313856,0.12059527413681781,lipid,sterol,unavailable,unavailable,unavailable
0,cholesteryl linoleate,0.003222109859553214,0.008307608049402232,0.09519232244792414,lipid,sterol,unavailable,unavailable,unavailable
0,superoxide dismutases,0.0031754272673244622,0.008187245710478033,0.09381315644619119,protein/peptide,protein,unavailable,unavailable,unavailable
0,12-methyltetradecanoic acid,0.002984811927964014,0.007695779684602065,0.08818171691158876,lipid,fatty_acid,saturated fatty acid,unavailable,unavailable
0,phosphate,0.002857283530832457,0.007366971548096006,0.0844140848846977,cofactor/small-molecule,organic_acid,unavailable,unavailable,unavailable
0,cholesteryl stearate,0.0026176921299054276,0.006749229901265583,0.07733572229405712,lipid,sterol,unavailable,unavailable,unavailable
0,arginine,0.00245840219655059,0.006338530579948561,0.07262974411219446,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
0,proline,0.0023255701655537572,0.005996048014788367,0.06870542431019475,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
0,α-phosphatidylethanolamine,0.0018118614544376545,0.004671546117106967,0.05352868378786746,lipid,phospholipid,unavailable,unavailable,unavailable
0,triolein,0.001301092795643072,0.003354624594830679,0.03843880262813271,lipid,lipid,unavailable,unavailable,unavailable
0,oleate,0.001227641813395334,0.0031652449653470274,0.036268805362051605,lipid,lipid,unavailable,unavailable,unavailable
0,alanine,0.0012220425933873365,0.0031508084230699542,0.03610338494509162,protein/peptide,amino_acid,aliphatic/polar amino acid,unavailable,unavailable
0,tri-11-eicosenoin,0.0009226962754246487,0.002378999891063358,0.027259654450112702,lipid,triglyceride,triacylglycerol,unavailable,unavailable
0,(+)-dextrose,0.0008241102408556629,0.002124814226997416,0.024347080391308142,carbohydrate,saccharide,monosaccharide,unavailable,unavailable
0,tripalmitolein,0.0007063364528276172,0.0018211565268946475,0.020867633415706337,lipid,triglyceride,triacylglycerol,unavailable,unavailable
0,tyrosine,0.0005244953511031492,0.0013523132328277492,0.015495415352340376,protein/peptide,amino_acid,aromatic amino acid,unavailable,unavailable
0,tripalmitin,0.0004714634225775173,0.0012155803169749191,0.013928667891734789,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,elaidic acid,0.6320960940113007,0.999999999998418,2.6839233734820445,lipid,fatty_acid,saturated fatty acid,unavailable,unavailable
1,tripalmitolein,0.6101211230756203,0.9652347623330626,2.590616139527191,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,tricaprylin,0.5581191695464129,0.8829656990975676,2.3698122777946242,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,tri-11-eicosenoin,0.5571733359414954,0.8814693544533321,2.36579620342917,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,tricaproin,0.5541740279336089,0.8767243354027506,2.3530609358916763,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,trierucin,0.5404251335667013,0.8549730629346122,2.2946821873113707,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,vaccenic acid,0.5222471666400446,0.8262148296551276,2.2174972928323906,lipid,fatty_acid,saturated fatty acid,unavailable,unavailable
1,trielaidin,0.49401974179984065,0.7815579727189818,2.0976417107150356,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,palmitoleic acid,0.49339547284127055,0.7805703555441824,2.0949910218955354,lipid,fatty_acid,unsaturated fatty acid,unavailable,unavailable
1,13-methylmyristicacid,0.48873513038532207,0.7731975169835668,2.0752028881537576,lipid,fatty_acid,saturated fatty acid,unavailable,unavailable
1,α-phosphatidylcholine,0.48435213203049354,0.7662634473122816,2.056592376489613,lipid,phospholipid,unavailable,unavailable,unavailable
1,cholesteryl oleate,0.4833339310324033,0.7646526147067086,2.0522690252087425,lipid,sterol,unavailable,unavailable,unavailable
1,triolein,0.4818009676656868,0.7622274085058828,2.0457599576008216,lipid,lipid,unavailable,unavailable,unavailable
1,12-methyltetradecanoic acid,0.4754409282322109,0.7521655848469121,2.018754793902613,lipid,fatty_acid,saturated fatty acid,unavailable,unavailable
1,α-phosphatidylethanolamine,0.4713324453599967,0.7456658090831747,2.0013098938078984,lipid,phospholipid,unavailable,unavailable,unavailable
1,cholesteryl stearate,0.4710781975252814,0.7452635793634791,2.0002303400616968,lipid,sterol,unavailable,unavailable,unavailable
1,tricaprin,0.47084163147047503,0.7448893228903775,1.9992258643658605,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,oleate,0.46114212843354235,0.72954434112445,1.9580411091385672,lipid,lipid,unavailable,unavailable,unavailable
1,cholesteryl palmitate,0.45548241662227923,0.7205904623315319,1.9340095845628908,lipid,sterol,unavailable,unavailable,unavailable
1,trimyristin,0.4543136032003856,0.7187413551578513,1.9290467225993684,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,triarachidin,0.45422839795999714,0.7186065572352006,1.9286849353040687,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,15-methylpalmiticacid,0.44276295060260745,0.7004677845612367,1.8800018593580623,lipid,fatty_acid,saturated fatty acid,unavailable,unavailable
1,trilaurin,0.4418585299761567,0.6990369568199832,1.8761616273398796,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,tripetroselinin,0.4402588868163676,0.6965062606569439,1.869369432756706,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,tristearin,0.43649544965063913,0.6905523602905619,1.853389620399965,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,tribehenin,0.4328732748323151,0.6848219423167188,1.8380096176601217,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,tripalmitin,0.4310072062777438,0.6818697510719887,1.8300861625753888,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,14-methylpentadecanoic acid,0.4237154565555958,0.6703339263908664,1.799124893081285,lipid,fatty_acid,saturated fatty acid,unavailable,unavailable
1,trilinolein,0.4231856844744061,0.6694958068609277,1.796875444485107,lipid,triglyceride,triacylglycerol,unavailable,unavailable
1,ceramide,0.4130406956855526,0.6534460497354612,1.7537991261972892,lipid,phospholipid,unavailable,unavailable,unavailable
1,14-methylhexadecanoic acid,0.4067851521527605,0.6435495425555412,1.7272376592612273,lipid,fatty_acid,saturated fatty acid,unavailable,unavailable
1,stearate,0.38786324991946375,0.6136143753989339,1.6468939644403897,lipid,lipid,unavailable,unavailable,unavailable
1,sphingomyelin,0.38581189651646525,0.6103690564950038,1.638183777179715,lipid,phospholipid,unavailable,unavailable,unavailable
1,lauric acid,0.36734053876307116,0.5811466677975116,1.5597531251254138,lipid,fatty_acid,saturated fatty acid,unavailable,unavailable
1,linoleic acid,0.35610508383330974,0.5633717518690756,1.5120466128033305,lipid,fatty_acid,unsaturated fatty acid,unavailable,unavailable
1,cholesteryl linoleate,0.3496762166646664,0.5532010401220129,1.4847492018203976,lipid,sterol,unavailable,unavailable,unavailable
