analyte,family,n_replicates,coord_total_var,mss_total_var,theme_total_var,coord_to_mss_ratio,mss_to_theme_ratio,theme_entropy,theme_confidence,theme_margin,dominant_theme
trilinolein,triglyceride,2,0.006119,0.000524,0.000794,0.0856,1.5148,0.6315,0.2439,0.5362,Lipid chemistry
trilinolenin,triglyceride,2,0.010639,0.00152,0.002333,0.1429,1.5346,0.6981,0.1815,0.4245,Lipid chemistry
triolein,lipid,5,0.012281,0.001704,0.003475,0.1388,2.0388,0.7151,0.167,0.448,Lipid chemistry
triosephosphate isomerase,protein,3,0.009396,0.000882,0.001435,0.0938,1.6273,0.9581,0.0116,0.0637,Protein chemistry
trypsin,protein,3,0.006254,0.000622,0.001241,0.0994,1.9957,0.9519,0.013,0.0493,Protein chemistry
trypsin inhibitor,protein,3,0.00358,0.000368,0.000564,0.1028,1.5334,0.978,0.0053,0.044,Protein chemistry
trypsinogen,protein,3,0.019745,0.001644,0.003742,0.0833,2.2758,0.9501,0.0137,0.0554,Protein chemistry
tryptophan,amino_acid,5,0.007126,0.000828,0.000661,0.1162,0.7981,0.8427,0.0552,0.008,Redox / pigments
tyrosine,amino_acid,4,0.011308,0.001175,0.00114,0.1039,0.9705,0.7959,0.0911,0.2234,Protein chemistry
ubiquitin,protein,3,0.014583,0.001454,0.002993,0.0997,2.0583,0.9403,0.0165,0.0441,Protein chemistry
uracil,pyrimidine,4,0.000124,2.8e-05,2.2e-05,0.2273,0.7814,0.7333,0.1492,0.3945,Nucleic chemistry
urate,purine,3,2e-06,0.0,0.0,0.1316,1.5031,0.9702,0.0071,0.0269,Nucleic chemistry
urea,small_nitrogenous,3,1.9e-05,2e-06,3e-06,0.1037,1.3744,0.5552,0.2893,0.4298,Protein chemistry
valine,amino_acid,5,0.015191,0.001255,0.000521,0.0826,0.415,0.9523,0.0153,0.1438,Protein chemistry
xanthine,purine,3,7e-06,1e-06,1e-06,0.0913,1.1961,0.8584,0.0574,0.1844,Nucleic chemistry
xylanase,protein,3,0.003016,0.000338,0.000452,0.112,1.3393,0.8382,0.0599,0.0729,Carbohydrate chemistry
α-chymotrypsinogen a (type ii),protein,3,0.013556,0.001415,0.002773,0.1044,1.9597,0.9377,0.0167,0.0175,Protein chemistry
