method,K,n_scored,chemically_admissible,top1,top3,null_top1,null_p95,kappa,above_null_p95,macro_f1,balanced_acc,mean_expected_rank,median_expected_rank,ece,mean_confidence,chem_coherence,spec_coherence,resolution,interpretability,score_kappa_x_interp,theme_overlap,theme_usage_entropy,max_theme_size,min_theme_size,theme_names,pareto
B_activation,9,163,False,0.6258,0.8773,0.1724,0.2147,0.5478,True,0.4875,0.5485,1.847,1,0.2579,0.3776,0.216,0.7987,0.7755,0.5587,0.306,0.5388,0.886,3,1,Phosphate + Purine + Pyrimidine | Oxopurine + Sulfur | Aromatic + Carotenoid | Polysaccharide + Protein | Free + Organic | Acyl lipid | Sterol | Monosaccharide | Flavin + Porphyrin,False
B_activation,10,163,False,0.5215,0.8773,0.1495,0.1902,0.4373,True,0.4288,0.5025,2.012,1,0.1751,0.3604,0.3621,0.8399,0.8127,0.6406,0.2802,0.5448,0.816,3,1,Phosphate + Purine + Pyrimidine | Oxopurine + Sulfur | Aromatic + Carotenoid | Protein backbone | Free + Organic | Acyl lipid | Sterol | Monosaccharide | Polysaccharide | Flavin + Porphyrin,False
B_activation,11,163,False,0.5337,0.865,0.1446,0.184,0.4549,True,0.4056,0.5086,2.061,1,0.1857,0.3481,0.3383,0.8559,0.8464,0.646,0.2939,0.5379,0.8186,2,1,Purine + Pyrimidine | Oxopurine + Sulfur | Phosphate ester | Aromatic + Carotenoid | Protein backbone | Free + Organic | Acyl lipid | Sterol | Monosaccharide | Polysaccharide | Flavin + Porphyrin,False
B_activation,12,163,False,0.5153,0.8528,0.136,0.1718,0.439,True,0.3839,0.4984,2.092,1,0.1769,0.3384,0.44,0.8975,0.8771,0.7084,0.311,0.5393,0.7994,2,1,Purine + Pyrimidine | Oxopurine + Sulfur | Phosphate ester | Aromatic + Carotenoid | Protein backbone | Free amino acid | Acyl lipid | Sterol | Monosaccharide | Polysaccharide | Organic acid | Flavin + Porphyrin,False
B_activation,13,163,False,0.5399,0.865,0.1439,0.184,0.4625,True,0.4212,0.5273,1.975,1,0.2083,0.3316,0.5495,0.9239,0.9053,0.7686,0.3555,0.5349,0.7694,2,1,Purine + Pyrimidine | Oxopurine + Sulfur | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Acyl lipid | Sterol | Monosaccharide | Polysaccharide | Organic acid | Flavin + Porphyrin | Carotenoid,False
B_activation,14,163,True,0.5276,0.8589,0.1447,0.184,0.4477,True,0.3913,0.4858,2.055,1,0.2068,0.3208,0.5302,0.9556,0.9315,0.7782,0.3484,0.529,0.7426,2,1,Purine + Pyrimidine | Oxopurine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Acyl lipid | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Flavin + Porphyrin | Carotenoid,False
B_activation,15,163,True,0.546,0.865,0.1453,0.184,0.4688,True,0.3886,0.458,2.018,1,0.2335,0.3125,0.5684,0.9876,0.9558,0.8104,0.3799,0.5212,0.7297,2,1,Purine | Oxopurine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Acyl lipid | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Flavin + Porphyrin | Carotenoid,False
B_activation,16,163,True,0.5521,0.9018,0.1454,0.184,0.4759,True,0.4275,0.4971,1.877,1,0.2475,0.3046,0.606,0.9961,0.9786,0.8348,0.3973,0.5197,0.7188,2,1,Purine | Oxopurine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Acyl lipid | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Porphyrin | Flavin | Carotenoid,False
B_activation,17,163,True,0.5706,0.9141,0.0963,0.135,0.5248,True,0.438,0.523,1.816,1,0.3469,0.2236,0.6054,1.0,1.0,0.8422,0.442,0.5042,0.8694,1,1,Purine | Oxopurine | Pyrimidine | Phosphate ester | Aromatic residue | Protein backbone | Free amino acid | Fatty acyl | Acylglycerol | Sterol | Monosaccharide | Polysaccharide | Organic acid | Sulfur metabolite | Porphyrin | Flavin | Carotenoid,True
C_spectral,2,163,False,0.9264,1.0,0.7117,0.7485,0.7446,True,0.8008,0.7719,1.074,1,0.2315,0.6949,0.1061,0.525,0.2447,0.2733,0.2035,0.7464,0.6889,9,8,Aromatic + Carotenoid + Flavin… | Free + Organic + Fatty…,False
