construction,n_motifs,max_offdiag_cosine,mean_offdiag_cosine,n_pairs_above_0.9,mean_ami_fine
discriminative (selected),98,0.8444,0.0812,0,0.3238
representative,93,0.9794,0.0553,25,0.3319
