motif_id,chemical_class,index_in_class,k_c,n_class_analytes,retained,rejection_reason,is_anchor,lsm_type,n_bands,band_centers_cm,n_analytes,n_spectra,dominant_broad_class,purity,stability,matched_similarity,activation_share,activation_sparsity,reconstruction_share,redundancy_max,anchor_justification,analytes
phospholipid_sphingolipid.m00,phospholipid_sphingolipid,0,2,5,True,,False,class_shared,8,720;880;1062;1128;1296;1438;1658;1742,4,5,lipid,1.0,1.0,0.9924,0.6843,0.2,0.7109,0.4277,,ceramide;sphingomyelin;α-phosphatidylcholine;α-phosphatidylethanolamine
phospholipid_sphingolipid.m01,phospholipid_sphingolipid,1,2,5,True,,False,class_shared,8,470;530;650;862;1090;1182;1320;1502,3,5,lipid,1.0,0.9167,0.9576,0.3157,0.4,0.2006,0.4277,,phosphatidylinositol;α-phosphatidylcholine;α-phosphatidylethanolamine
polysaccharide.m00,polysaccharide,0,1,5,True,,False,class_shared,8,480;576;862;942;1100;1264;1334;1462,5,10,carbohydrate,1.0,1.0,0.9881,1.0,0.0,0.7633,0.0,,amylopectin;amylose;cellulose;chitin;glycogen
purine.m00,purine,0,2,5,True,,False,class_shared,8,534;624;722;1038;1248;1334;1488;1650,4,13,nucleic,1.0,1.0,0.8782,0.549,0.2,0.3454,0.2819,,adenine;hypoxanthine;urate;xanthine
purine.m01,purine,1,2,5,True,,False,class_shared,8,544;650;938;958;1230;1264;1330;1552,4,14,nucleic,1.0,0.9167,0.9488,0.451,0.2,0.2959,0.2819,,adenine;guanine;hypoxanthine;xanthine
pyrimidine.m00,pyrimidine,0,1,3,True,,False,class_shared,8,552;600;792;1102;1236;1276;1368;1672,3,9,nucleic,1.0,1.0,1.0,1.0,0.0,0.5407,0.0,,cytosine;thymine;uracil
small_nitrogenous.m00,small_nitrogenous,0,1,2,True,,False,class_shared,8,578;606;674;838;904;1010;1416;1658,2,7,energy_metabolism,1.0,1.0,1.0,1.0,0.0,0.545,0.0,,creatinine;urea
sterol_steroid.m00,sterol_steroid,0,2,10,True,,False,class_shared,8,702;882;926;1030;1134;1304;1442;1672,9,12,lipid,1.0,1.0,0.9953,0.522,0.1,0.4509,0.3213,,cholesterol;cholesteryl linoleate;cholesteryl oleate;cholesteryl palmitate;cholesteryl stearate;estradiol;estriol;estrone;ethinylestradiol
sterol_steroid.m01,sterol_steroid,1,2,10,True,,False,class_shared,8,500;730;816;1008;1114;1258;1434;1632,6,9,lipid,1.0,1.0,0.9894,0.478,0.4,0.3287,0.3213,,cholesterol;diethylstilbestrol;estradiol;estriol;estrone;ethinylestradiol
sulfur_thiol_cofactor.m00,sulfur_thiol_cofactor,0,2,4,True,,False,class_shared,8,526;724;806;886;1036;1334;1410;1510,3,13,redox_cofactor,1.0,1.0,1.0,0.6615,0.25,0.5884,0.3703,,acetyl-coa;coenzyme a;glutathione
sulfur_thiol_cofactor.m01,sulfur_thiol_cofactor,1,2,4,True,,False,class_shared,8,506;716;908;962;1206;1450;1496;1638,3,12,redox_cofactor,1.0,1.0,1.0,0.3385,0.25,0.2768,0.3703,,coenzyme a;ergothioneine;glutathione
