K,algorithm,ARI,AMI,homogeneity,completeness
2,ward,0.034050995443735424,0.18814449115939347,0.12822550463017796,0.748963205315206
2,average,0.005079787922016059,0.02155108491127764,0.020837612557441036,0.7402621896141071
2,complete,-0.0008212543936581939,0.01673581090858173,0.022525833530667453,0.4604892286792745
2,spectral,0.0365496975929731,0.18633754282263912,0.1277110323167717,0.7267663346181427
3,ward,0.09709232125113355,0.3279166066868766,0.24832478409727446,0.7486338338118423
3,average,0.017062705457578174,0.08163488593182265,0.06595939608647686,0.8574348751683141
3,complete,0.018275154428996923,0.10590953105892176,0.09105353319631761,0.5965957949578561
3,spectral,0.1387300421336738,0.34232110998191284,0.2653679906265324,0.7068749301247976
4,ward,0.08038082471500937,0.30653065564130927,0.25336235482469965,0.6788429126157439
4,average,0.05635716269100916,0.19131052335497975,0.1522802475541147,0.7230342865780562
4,complete,0.03221341901748049,0.1577088268637375,0.14070418532523724,0.6030294608901433
4,spectral,0.11520758520517076,0.31906244419954316,0.27303126531260524,0.6298761494351972
5,ward,0.09547400901443129,0.33209555330868396,0.2884726549446477,0.6761889455501352
5,average,0.05644669438801432,0.19379027350408531,0.15821178575902314,0.7306208760886674
5,complete,0.04509628047848364,0.19938090065123504,0.19253606874055113,0.5489201773891541
5,spectral,0.20405525267753413,0.4056171537115734,0.3730829893234905,0.6417733615063913
6,ward,0.1716695979735608,0.4109813343733028,0.3849172743211604,0.657380768717765
6,average,0.055655670770879906,0.18523001179108556,0.16466360545055797,0.6950608615326831
6,complete,0.1042571486113435,0.31657646118525523,0.3046694254905646,0.5925291651083584
6,spectral,0.25425412146774745,0.47016328106622435,0.4460474168791566,0.682255686070668
8,ward,0.24023506744538994,0.47904480796201965,0.4824527627348435,0.6753768095542809
8,average,0.23404696379765164,0.4591890962278197,0.38724922180501614,0.8220935756499659
8,complete,0.14412143780181605,0.35995662125375383,0.3702712420935014,0.6036466182059459
8,spectral,0.35956411948577416,0.541413793859104,0.5445544707726961,0.7090518421493867
10,ward,0.2719000654943678,0.5088112695921299,0.5337806521822049,0.6846586353295038
10,average,0.414952541223471,0.596686733224729,0.534334514380957,0.8486775609500975
10,complete,0.21339767320668396,0.3916477385752064,0.4502224381017307,0.5726725414285714
10,spectral,0.38437396860124035,0.5615557280514566,0.5991562037292666,0.698052347581733
12,ward,0.3521211392155847,0.5596676766935487,0.6112234741455161,0.6989760793198408
12,average,0.4987485561318828,0.6497470490128001,0.6173950013861464,0.8399912596764859
12,complete,0.2933533254819011,0.45193340038826935,0.536234320677848,0.6021420563747125
12,spectral,0.41858358849312355,0.5529494727589447,0.6351456320837695,0.6647835427369662
14,ward,0.4204454401150573,0.5907312943991243,0.6684682783260499,0.7031734217161075
14,average,0.5782305549912614,0.6958946749246772,0.6950740508433128,0.8328889472002464
14,complete,0.3839098906005553,0.5098374031802201,0.6216022848658449,0.62777321500416
14,spectral,0.26823191401851676,0.47256149284540916,0.5983046212300529,0.598266666645494
16,ward,0.3839251582369699,0.5734830859488418,0.68198434572938,0.6803773155217986
16,average,0.5639017748019893,0.7024758160543361,0.7320867133610145,0.8117808313444924
16,complete,0.44617347320142514,0.5490826539744466,0.6893796401638768,0.6426903295786213
16,spectral,0.28640723230402965,0.4860435518300908,0.6353945467472386,0.6031249413501967
18,ward,0.3391224322402524,0.5809374393537209,0.7261374149962947,0.6679517173155936
18,average,0.5581963395550471,0.6920860384422113,0.7374819695956805,0.7964502070703705
18,complete,0.4580903077009729,0.5614135512309779,0.7223839723212199,0.6468948910827631
18,spectral,0.2816972514476082,0.5112714848924228,0.6774877304314098,0.6178776147035354
20,ward,0.35008005246767393,0.5686864670066782,0.7430052299513624,0.6512010211104409
20,average,0.5744246086858824,0.6800522847481386,0.7823905026384039,0.747165327220112
20,complete,0.45709140392601544,0.5610780241665262,0.7354443225422753,0.6459036333166664
20,spectral,0.3683359005269712,0.5620992360502323,0.7494937951602514,0.6404878979550461
24,ward,0.3404086980677488,0.5591585307184099,0.780103064513871,0.635792125899351
24,average,0.6038429194476911,0.69903807144366,0.8414950352815438,0.7416828606532686
24,complete,0.49139227473740343,0.5975097471029579,0.8060711663616089,0.6617288476596854
24,spectral,0.3435309667824726,0.5721979333470749,0.7952648703195544,0.642144458272423
30,ward,0.33272667074473133,0.5893775488977666,0.8594659611811599,0.6452782392355387
30,average,0.5747304433551874,0.6783428177225825,0.8658809288061249,0.7171010529539501
30,complete,0.3801541863224889,0.5831380370756031,0.8449940368335771,0.6443979413786599
30,spectral,0.2737582908130057,0.5226239573714415,0.8128776429503892,0.6079646300997464
