factor,n_levels,marginal_R2,pseudo_F,p_value
fine_chemistry,16,0.4522423691963074,7.595749584512926,0.001
broad_chemistry,6,0.20175677917603593,7.481429854713055,0.001
excitation,7,0.11755831340514226,3.2638742278065185,0.001
replicate_count,7,0.11308634636254664,3.123884128418583,0.001
reconstruction_EV_tertile,3,0.07309988975265053,5.954300377458544,0.001
source,3,0.03987666104362359,3.1357303657041404,0.001
intensity_tertile,3,0.03969388333988341,3.1207634109187947,0.001
