perturbation,level,coordinate_cosine,argmax_stability,entropy_shift
gaussian_noise,0.01,0.9999094010507831,1.0,0.003651180979362345
gaussian_noise,0.02,0.9995595565263938,0.992,0.01119691272490797
gaussian_noise,0.05,0.9964837782110323,0.992,0.044790475017021936
gaussian_noise,0.1,0.9843915952002723,0.9813333333333333,0.10663768784978334
gaussian_noise,0.2,0.9383423535220363,0.9626666666666667,0.19933270745422993
baseline_drift,0.05,0.9978527000518123,0.9946666666666667,0.00732218125428552
baseline_drift,0.1,0.9931607360958044,0.9893333333333333,0.017985653249502076
baseline_drift,0.2,0.9799338889181797,0.9653333333333334,0.03724387203791546
baseline_drift,0.4,0.9470660811748042,0.9386666666666666,0.05881463746708171
baseline_drift,0.8,0.8751607268046335,0.8426666666666667,0.08184259063560673
fluorescence,0.05,0.991406422892472,0.9813333333333333,0.07983995111352948
fluorescence,0.1,0.9714827478357715,0.9813333333333333,0.13872541469708743
fluorescence,0.2,0.9169777258624108,0.9466666666666667,0.20444651923742374
fluorescence,0.4,0.8041579329006056,0.8426666666666667,0.25455536098595755
fluorescence,0.8,0.6437676680137456,0.4613333333333333,0.27784926928078135
wavelength_shift,1.0,0.9996565962931515,0.9973333333333333,0.0013954092417084452
wavelength_shift,2.0,0.9987123105894219,0.992,0.0034223981746270837
wavelength_shift,4.0,0.9948759074313709,0.9866666666666667,0.011922912678492992
wavelength_shift,8.0,0.9754701056720836,0.9626666666666667,0.039926910529146986
wavelength_shift,16.0,0.8756684072611485,0.808,0.0927555700457301
band_broadening,1.0,0.9999950463659931,0.9973333333333333,0.0010794451750750778
band_broadening,2.0,0.9998965573733977,0.9973333333333333,0.005209021047097195
band_broadening,4.0,0.9987297999673865,0.9973333333333333,0.019427852387510658
band_broadening,8.0,0.9888971985245544,0.9813333333333333,0.06095818916714957
band_broadening,16.0,0.9462883135233168,0.9546666666666667,0.15174356511140952
peak_dropout,0.05,0.9966069834604885,0.9893333333333333,0.005051390598308281
peak_dropout,0.1,0.9952430235558093,0.9946666666666667,0.008190382894597836
peak_dropout,0.2,0.9919617593949276,0.9893333333333333,0.010792987476479055
peak_dropout,0.4,0.9798898868174177,0.9733333333333334,0.025753266002034647
peak_dropout,0.6,0.9709516076830933,0.9706666666666667,0.03550282302465235
