algorithm,param,usable,n_clusters,n_unassigned,silhouette,calinski_harabasz,davies_bouldin,membership_entropy,neighbour_preservation,bootstrap_ari_mean,bootstrap_ari_sd,consensus_dispersion,mean_coassignment,k_realised_mean,k_realised_sd
hdbscan,2.0,True,46,19,0.6963957570696492,15.517928086968068,0.6962515126472116,0.9817852266903181,0.44740740740740736,0.903358993453498,0.05158000022902715,0.9947130585002643,0.020920459685319696,38.65,1.5898113095584647
hdbscan,3.0,True,25,45,0.6485500878520057,14.84447334624517,0.95059809080938,0.9747716528599135,0.6403669724770641,0.7423255905619329,0.14659390472066333,0.9710365186719515,0.05688432357461213,18.45,2.2907422377910613
hdbscan,4.0,True,9,57,0.4889698129229161,12.586247483776862,1.37991064084871,0.9034873349595551,0.8907216494845361,0.9018205300445942,0.0749766732765433,0.9669252177490765,0.08202945713393743,7.75,1.3369741957120937
hdbscan,5.0,True,6,73,0.4776744460775161,14.337381151607238,1.4021991034737358,0.9125141086922463,0.8962962962962964,0.9082022897361159,0.09012663266474537,0.9769133025113366,0.09476218490864456,5.2,0.6782329983125268
affinity_propagation,0.1,True,35,0,0.5434245431459523,10.558597417457813,1.163021640184562,0.9672665682395252,0.5883116883116883,0.8176379666961084,0.040744661726744874,0.9710565059847958,0.0340654925373544,30.45,1.6575584454250778
affinity_propagation,0.3,True,35,0,0.5434245431459523,10.558597417457813,1.1630216401845621,0.9672665682395252,0.5883116883116883,0.8146631999174112,0.041508315731791395,0.970765406092894,0.03397455468896063,30.45,1.6575584454250778
affinity_propagation,0.5,True,35,0,0.5434245431459523,10.558597417457813,1.163021640184562,0.9672665682395252,0.5883116883116883,0.8159052700405226,0.03982547217119764,0.9711892591688311,0.033680642056823945,30.6,1.6552945357246849
