factor,n_levels,AMI,ARI
fine_chemistry,16,0.7024758160543361,0.5639017748019893
broad_chemistry,6,0.5963698036440952,0.5155049411063517
reconstruction_EV_tertile,3,0.29977591257656344,0.22508249988050563
excitation,7,0.2915928710562653,0.15601243833013956
replicate_count,7,0.23729934028193422,0.1871830614067732
source,3,0.1867867748581729,0.1195939983593593
intensity_tertile,3,0.06986805094076545,0.060066705553952784
