cid,arm,pk_matched,pk_mismatched,pk_random,pk_effect_vs_mismatched,pk_effect_size
BASE_raw_l2,baseline,0.3012061887904134,0.2667192498034744,0.2080711054041769,0.0344869389869389,0.1144340647351413
BASE_asls_sg_l2,baseline,0.6762858641928794,0.6613434713267659,0.4910599824723585,0.0149423928661134,0.0659177486954793
BASE_asls_sg_snv,baseline,0.6762858641928794,0.6613434713267659,0.4910599824723585,0.0149423928661134,0.0659177486954793
BASE_asls_sg_area,baseline,0.6762858641928794,0.6613434713267659,0.4910599824723585,0.0149423928661134,0.0659177486954793
BASE_asls_sg_l2_d1,baseline,0.5952419720985956,0.5722946842460018,0.4397459379774607,0.0229472878525936,0.1376850258585639
BASE_asls_sg_l2_bgmean,baseline,0.5022955536758485,0.4979732302810101,0.3798757542266971,0.0043223233948384,0.0120253675217686
A_none0_l2,A_baseline_norm,0.3012061887904134,0.2667192498034744,0.2080711054041769,0.0344869389869389,0.1144340647351413
A_none0_area,A_baseline_norm,0.3012061887904134,0.2667192498034744,0.2080711054041769,0.0344869389869389,0.1144340647351413
A_none0_robust,A_baseline_norm,0.3012061887904134,0.2667192498034744,0.2080711054041769,0.0344869389869389,0.1144340647351413
A_none0_p95,A_baseline_norm,0.3012061887904134,0.2667192498034744,0.2080711054041769,0.0344869389869389,0.1144340647351413
A_none0_max,A_baseline_norm,0.3012061887904134,0.2667192498034744,0.2080711054041769,0.0344869389869389,0.1144340647351413
A_none0_snv,A_baseline_norm,0.3012061887904134,0.2667192498034744,0.2080711054041769,0.0344869389869389,0.1144340647351413
A_asls1_l2,A_baseline_norm,0.8812467259625787,0.8759618355706482,0.7316809266645627,0.0052848903919302,0.0979994146408585
A_asls1_area,A_baseline_norm,0.8812467259625787,0.8759618355706482,0.7316809266645627,0.0052848903919302,0.0979994146408585
A_asls1_robust,A_baseline_norm,0.8812467259625787,0.8759618355706482,0.7316809266645627,0.0052848903919302,0.0979994146408585
A_asls1_p95,A_baseline_norm,0.8812467259625787,0.8759618355706482,0.7316809266645627,0.0052848903919302,0.0979994146408585
A_asls1_max,A_baseline_norm,0.8812467259625787,0.8759618355706482,0.7316809266645627,0.0052848903919302,0.0979994146408585
A_asls1_snv,A_baseline_norm,0.8812467259625787,0.8759618355706482,0.7316809266645627,0.0052848903919302,0.0979994146408585
A_asls2_l2,A_baseline_norm,0.8779398319522687,0.8699364246284897,0.7266318995545288,0.0080034073237787,0.0987870695988521
A_asls2_area,A_baseline_norm,0.8779398319522687,0.8699364246284897,0.7266318995545288,0.0080034073237787,0.0987870695988521
A_asls2_robust,A_baseline_norm,0.8779398319522687,0.8699364246284897,0.7266318995545288,0.0080034073237787,0.0987870695988521
A_asls2_p95,A_baseline_norm,0.8779398319522687,0.8699364246284897,0.7266318995545288,0.0080034073237787,0.0987870695988521
A_asls2_max,A_baseline_norm,0.8779398319522687,0.8699364246284897,0.7266318995545288,0.0080034073237787,0.0987870695988521
A_asls2_snv,A_baseline_norm,0.8779398319522687,0.8699364246284897,0.7266318995545288,0.0080034073237787,0.0987870695988521
A_asls3_l2,A_baseline_norm,0.8764108442302356,0.869398136439458,0.727097303799468,0.0070127077907777,0.0891500063156269
