index,spectral_cosine,band_overlap,peak_agreement,bootstrap_cooccurrence,activation_cooccurrence,provenance_overlap,substitutability
spectral_cosine,1.0,0.4514561126244952,0.33577483419624266,0.8082794618663124,0.6566992813638687,0.026442355794094288,-0.09337281043030438
band_overlap,0.4514561126244952,1.0,0.4389710518237525,0.33448561153662115,0.3621102804699714,0.06597869354612818,-0.037970216922089406
peak_agreement,0.33577483419624266,0.4389710518237525,1.0,0.2891078857321779,0.26028814580957804,0.05000781268607436,-0.006740680466453008
bootstrap_cooccurrence,0.8082794618663124,0.33448561153662115,0.2891078857321779,1.0,0.5247672975595982,0.05647499696375266,-0.01833536205848202
activation_cooccurrence,0.6566992813638687,0.3621102804699714,0.26028814580957804,0.5247672975595982,1.0,0.008273236708118,-0.1957118020749614
provenance_overlap,0.026442355794094288,0.06597869354612818,0.05000781268607436,0.05647499696375266,0.008273236708118,1.0,-0.13264496273608783
substitutability,-0.09337281043030438,-0.037970216922089406,-0.006740680466453008,-0.01833536205848202,-0.1957118020749614,-0.13264496273608783,1.0
