threshold,n_edges,n_communities,n_nontrivial,n_singletons,largest_community,modularity,community_stability
0.05,1094,2,2,0,34,0.12044830199285537,0.6071736102609545
0.1,822,2,2,0,32,0.15489394443168172,0.5994384989952277
0.15,611,3,3,0,22,0.1974562874811415,0.5735626807683283
0.2,417,3,3,0,21,0.26327372679792516,0.5743156831897639
0.25,258,4,4,0,23,0.34763003098448275,0.6883707695495971
0.3,151,10,6,4,20,0.42256301505297583,0.7869341170452777
0.35,96,20,5,15,16,0.4614998125185974,0.8612689884217053
0.4,55,24,6,18,10,0.5384391323000384,0.8713039114943024
0.45,34,31,5,26,9,0.5004757157405543,0.9335218882213422
0.5,26,36,4,32,8,0.4473657499067545,0.951824598632812
0.55,16,42,5,37,4,0.3756657769553068,0.8735549617090563
0.6,15,42,5,37,4,0.4172843396063206,0.7960064035838967
0.65,14,42,5,37,4,0.4522567019612619,0.9068282791410751
0.7,10,43,4,39,4,0.5377035579963735,0.939630821776686
0.75,8,43,4,39,4,0.6678976462249944,0.9305266521981703
0.8,4,46,4,42,2,0.7497402408946148,0.9407949868921986
0.85,2,48,2,46,2,0.4999008043591264,0.9066085535276492
0.9,0,50,0,50,1,0.0,0.0
