lsm_a,lsm_b,activation_independent,activation_joint_nnls
fatty_acid.m01,phospholipid_sphingolipid.m00,0.6847597690102434,0.12891675034532044
fatty_acid.m02,sterol_steroid.m00,0.896271470465019,0.0029540722885388056
fatty_acid.m00,fatty_acid.m04,0.9394366544271668,0.08403131364805277
fatty_acid.m03,peptide_protein.m08,0.8149453329718984,0.3533496407788249
carboxylic_acid_metabolite.m01,mono_oligosaccharide.m04,0.5390850768459877,0.14094328031710576
mono_oligosaccharide.m03,polysaccharide.m01,0.7450011089479781,0.25246886623964643
mono_oligosaccharide.m00,polysaccharide.m01,0.7325808915941744,0.18312939851597249
peptide_protein.m03,purine.m00,0.6752704600901945,0.008994749471789817
free_amino_acid.m06,phosphate_metabolite.m00,0.35827891273811585,0.21172156007560503
acylglycerol.m00,acylglycerol.m02,0.9608204572151443,0.2839987338497175
mono_oligosaccharide.m04,purine.m00,0.5956463523825953,0.03596343165635134
mono_oligosaccharide.m03,peptide_protein.m07,0.2924024741861554,0.12854908668054238
free_amino_acid.m01,phospholipid_sphingolipid.m01,0.7804578722984796,0.2803544125289273
chromophore_pigment.m01,peptide_protein.m07,0.47824901221485666,0.35766069551308705
carboxylic_acid_metabolite.m01,sulfur_thiol_cofactor.m00,0.7331296154825567,0.1520864436815349
free_amino_acid.m06,phospholipid_sphingolipid.m01,0.42428678216154503,0.40484557370670665
nucleic_acid_polymer.m00,sterol_steroid.m02,0.6557332610463541,0.1524825234451799
free_amino_acid.m00,sulfur_thiol_cofactor.m00,0.7852025267585041,0.25203339054858076
fatty_acid.m02,phospholipid_sphingolipid.m00,0.9042328955042429,0.2163823542694959
phosphate_metabolite.m00,sterol_steroid.m02,0.7036759571863936,0.0029123872396635627
free_amino_acid.m06,mono_oligosaccharide.m04,0.7085881860075409,0.2966410059300725
fatty_acid.m02,peptide_protein.m00,0.7287431101472849,0.006964173081616772
peptide_protein.m03,sulfur_thiol_cofactor.m00,0.7130798360399879,0.21460356863093977
mono_oligosaccharide.m03,sterol_steroid.m02,0.6296146611137123,0.07804965315352978
mono_oligosaccharide.m05,phospholipid_sphingolipid.m01,0.7717440055200967,0.23566292784996395
mono_oligosaccharide.m00,sulfur_thiol_cofactor.m00,0.719250515455449,0.08546452443291877
mono_oligosaccharide.m01,sterol_steroid.m02,0.513718918652505,0.04243078150304329
mono_oligosaccharide.m00,peptide_protein.m03,0.8445369936831039,0.17377842755269404
fatty_acid.m04,peptide_protein.m07,0.46114985583676293,0.0
peptide_protein.m00,sterol_steroid.m00,0.8699425811380272,0.35876685337138814
carboxylic_acid_metabolite.m00,sterol_steroid.m02,0.4460550202485687,0.0052931660699473615
polysaccharide.m00,sterol_steroid.m02,0.58556231876915,0.0
phospholipid_sphingolipid.m01,purine.m01,0.7237848805211234,0.14334586001239927
nucleic_acid_polymer.m00,polysaccharide.m00,0.6039330688287046,0.09058620703253323
peptide_protein.m07,phospholipid_sphingolipid.m01,0.41195199487419604,0.027349994519816324
peptide_protein.m03,phospholipid_sphingolipid.m01,0.863489325348908,0.2818722382344338
carboxylic_acid_metabolite.m00,fatty_acid.m01,0.6228098277434142,0.11135625906271363
mono_oligosaccharide.m01,peptide_protein.m03,0.7419749131324085,0.1559137318360156
mono_oligosaccharide.m03,nucleic_acid_polymer.m00,0.6288030754823924,0.270960938921612
carboxylic_acid_metabolite.m01,mono_oligosaccharide.m00,0.7338163417859813,0.18457578027791074
nucleic_acid_polymer.m00,pyrimidine.m00,0.7397274452302915,0.2536683481111045
mono_oligosaccharide.m00,purine.m00,0.6839448976071367,0.04623858203860122
mono_oligosaccharide.m01,polysaccharide.m00,0.7163393216524147,0.20879646702955912
free_amino_acid.m03,sulfur_thiol_cofactor.m00,0.6682389084666125,0.2017222902802998
free_amino_acid.m00,peptide_protein.m08,0.3878672876775344,0.3153357322344274
acylglycerol.m00,peptide_protein.m08,0.7799748638458316,0.06730686404313356
peptide_protein.m07,purine.m01,0.5058002086465085,0.31540132218402045
peptide_protein.m06,sterol_steroid.m00,0.7892045967947298,0.3693975257119868
mono_oligosaccharide.m01,small_nitrogenous.m00,0.47604425934596717,0.05729199965423923
carboxylic_acid_metabolite.m01,peptide_protein.m07,0.5194427331049722,0.11703927104208946
nucleic_acid_polymer.m00,peptide_protein.m09,0.6638458315877671,0.15967235581777314
fatty_acid.m02,peptide_protein.m07,0.46610808546292426,0.0
mono_oligosaccharide.m05,small_nitrogenous.m00,0.3135497014054889,0.2178255285149449
polysaccharide.m00,sulfur_thiol_cofactor.m00,0.7213402663118034,0.076344523893964
acylglycerol.m00,free_amino_acid.m03,0.41683465174926276,0.07548085135796115
chromophore_pigment.m00,mono_oligosaccharide.m00,0.5424004205787888,0.07050955000577881
carboxylic_acid_metabolite.m01,sterol_steroid.m00,0.2602643403402417,0.013229723730389597
purine.m01,sterol_steroid.m02,0.7299654172519449,0.13596348187191828
peptide_protein.m07,sterol_steroid.m01,0.5916935689231705,0.2141876537191943
acylglycerol.m02,free_amino_acid.m03,0.3856099624600574,0.0
carboxylic_acid_metabolite.m00,phospholipid_sphingolipid.m00,0.5518765864116908,0.09270128707228742
nucleic_acid_polymer.m00,peptide_protein.m03,0.5578961203249629,0.029597462172728684
free_amino_acid.m06,mono_oligosaccharide.m00,0.4412873653860372,0.25407105923471923
free_amino_acid.m04,peptide_protein.m06,0.34402194895553534,0.13305242825616703
mono_oligosaccharide.m05,polysaccharide.m01,0.7864281196349507,0.1037871769868357
peptide_protein.m03,purine.m01,0.6137608122427858,0.09828698466518361
polysaccharide.m01,sulfur_thiol_cofactor.m00,0.634710893154916,0.13986346321742482
fatty_acid.m03,free_amino_acid.m03,0.39424168494377226,0.05606538189480686
fatty_acid.m02,fatty_acid.m04,0.9655289681855149,0.38550073877028573
free_amino_acid.m06,sterol_steroid.m02,0.44279224886435514,0.15061719117570183
peptide_protein.m03,sterol_steroid.m02,0.5642179452426132,0.0
mono_oligosaccharide.m04,sulfur_thiol_cofactor.m00,0.5352571527144583,0.10810225497751286
fatty_acid.m00,free_amino_acid.m03,0.4547918874294586,0.23647809632386504
mono_oligosaccharide.m04,polysaccharide.m00,0.3833460656990069,0.22080697738271735
carboxylic_acid_metabolite.m00,free_amino_acid.m02,0.34385437459441254,0.16851921727816627
chromophore_pigment.m01,mono_oligosaccharide.m02,0.2595776140368171,0.15904012069509868
peptide_protein.m07,small_nitrogenous.m00,0.6131430871468823,0.15333331708717324
fatty_acid.m03,fatty_acid.m04,0.9345802837263939,0.09742635857336639
polysaccharide.m01,purine.m01,0.3806714474646164,0.039657484154071186
mono_oligosaccharide.m00,polysaccharide.m00,0.8059620329070044,0.08322991129717816
free_amino_acid.m01,polysaccharide.m00,0.8115215587701357,0.3497971314529488
mono_oligosaccharide.m01,phosphate_metabolite.m00,0.6840960431093259,0.19982202430735538
fatty_acid.m04,peptide_protein.m05,0.7503963462217733,0.0015136777563569113
chromophore_pigment.m01,nucleic_acid_polymer.m00,0.6879173956972819,0.21038304024481613
mono_oligosaccharide.m04,sterol_steroid.m01,0.3192965162604631,0.1704071001411401
mono_oligosaccharide.m04,phospholipid_sphingolipid.m01,0.5731289583281993,0.24605835483525076
mono_oligosaccharide.m02,phosphate_metabolite.m00,0.6607604918800366,0.09303188147546415
acylglycerol.m02,peptide_protein.m07,0.4538948717316839,0.043336870259637686
