lsm_a,lsm_b,class_a,class_b,same_class,spectral_cosine,band_overlap,peak_agreement,bootstrap_cooccurrence,activation_cooccurrence,provenance_overlap,substitutability,edge_weight
mono_oligosaccharide.m03,phosphate_metabolite.m00,mono_oligosaccharide,phosphate_metabolite,False,0.6293762516270784,0.3907485978685989,0.375,0.3889313797616859,0.8084559336931254,1.0,0.9258001074609492,0.5245168243890757
mono_oligosaccharide.m03,polysaccharide.m00,mono_oligosaccharide,polysaccharide,False,0.7213834350757383,0.299190422075974,0.375,0.4633372045110492,0.927289156131661,1.0,0.8586770555209837,0.5208515068440043
acylglycerol.m02,fatty_acid.m03,acylglycerol,fatty_acid,False,0.7362681459512112,0.4733415454579173,0.42857142857142855,0.7190316709656868,0.9345408544649532,1.0,0.1016562952078269,0.5167610840305514
free_amino_acid.m00,polysaccharide.m00,free_amino_acid,polysaccharide,False,0.579786417445435,0.27216099360812496,0.625,0.45936076248004265,0.7394021538234062,1.0,0.9119903653274056,0.5163596063134853
mono_oligosaccharide.m03,peptide_protein.m03,mono_oligosaccharide,peptide_protein,False,0.6945965632477116,0.33793613567668457,0.375,0.39975092907125764,0.8892694907875176,1.0,0.7031072462025407,0.5087844078484585
acylglycerol.m00,free_amino_acid.m06,acylglycerol,free_amino_acid,False,0.5742075093767219,0.43288932744093356,0.26666666666666666,0.382791771149401,0.7743364794598192,1.0,1.0,0.502505320070628
acylglycerol.m00,fatty_acid.m04,acylglycerol,fatty_acid,False,0.7760971887138934,0.31490941005660666,0.4,0.7721927025522667,0.9594568619236551,1.0,0.1858556546748577,0.5024786429942015
acylglycerol.m00,fatty_acid.m02,acylglycerol,fatty_acid,False,0.7226192605497775,0.22155753101534348,0.4,0.6939521709573991,0.9436391565423824,1.0,0.5214164916071624,0.49415254565736283
fatty_acid.m00,sterol_steroid.m00,fatty_acid,sterol_steroid,False,0.5498551356924543,0.2642959971337983,0.5,0.5638907189701867,0.852518133353048,1.0,0.5555217388077587,0.48824467410115313
carboxylic_acid_metabolite.m01,polysaccharide.m00,carboxylic_acid_metabolite,polysaccharide,False,0.6854853388200356,0.3688498659590787,0.5,0.19768301978168512,0.689573424677789,1.0,0.8172945306938071,0.4822240410312186
