canonical_analyte_name,modality,source_dataset,substrate_geometry,n_observations,excitations
Phenylacetylglutamine,sers,ag_flakes_metabolites_24,orc_roughened,1,[]
RIBOFLAVIN,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
SELENOCYSTAMINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
SELENOMETHIONINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
SM(d18:1/16:0),sers,ag_flakes_metabolites_24,orc_roughened,1,[]
SM(d18:1/18:0),sers,ag_flakes_metabolites_24,orc_roughened,1,[]
SM(d18:1/24:1(15Z)),sers,ag_flakes_metabolites_24,orc_roughened,1,[]
SPERMIDINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
Sphinganine,sers,ag_flakes_metabolites_24,orc_roughened,1,[]
THIAMINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
THYROTROPIN RELEASING HORMONE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
TRYPTAMINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
TYRAMINE,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
Taurine,sers,ag_flakes_metabolites_24,orc_roughened,1,[]
Tetrahydrofolate,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
VITAMIN B12,sers,sers_metabolite_63(PMC6989628),colloid,1,[633.0]
a-dna,raman,RamanBioLib,none,1,[514.5]
acetoacetate,raman,RamanBioLib,none,1,[785.0]
acetyl coenzyme a,raman,RamanBioLib,none,1,[785.0]
adenine,raman,RamanBioLib,none,1,[785.0]
albumin,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
amylopectin,raman,RamanBioLib,none,2,"[785.0, 1064.0]"
amylose,raman,RamanBioLib,none,2,"[785.0, 1064.0]"
arachidic acid,raman,RamanBioLib,none,1,[532.0]
arachidonic acid,raman,RamanBioLib,none,1,[532.0]
ascorbic acid,raman,RamanBioLib,none,1,[785.0]
b-dna,raman,RamanBioLib,none,1,[514.5]
carbonic anhydrase,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
cellulose,raman,RamanBioLib,none,1,[785.0]
ceramide,raman,RamanBioLib,none,2,"[850.0, 1064.0]"
chitin,raman,RamanBioLib,none,1,[785.0]
cholesterol,raman,RamanBioLib,none,1,[532.0]
cholesteryl linoleate,raman,RamanBioLib,none,1,[532.0]
cholesteryl oleate,raman,RamanBioLib,none,1,[532.0]
cholesteryl palmitate,raman,RamanBioLib,none,1,[532.0]
cholesteryl stearate,raman,RamanBioLib,none,1,[532.0]
citric acid,raman,RamanBioLib,none,1,[785.0]
coenzyme a,raman,RamanBioLib,none,1,[785.0]
collagen,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
cytochrome c,raman,RamanBioLib,none,2,"[488.0, 532.0]"
cytosine,raman,RamanBioLib,none,1,[785.0]
d-(+)-dextrose,raman,RamanBioLib,none,1,[785.0]
d-(+)-fucose,raman,RamanBioLib,none,1,[785.0]
d-(+)-galactosamine,raman,RamanBioLib,none,1,[785.0]
d-(+)-galactose,raman,RamanBioLib,none,1,[1064.0]
d-(+)-glucose,raman,RamanBioLib,none,1,[1064.0]
d-(+)-lactose monohydrate,raman,RamanBioLib,none,1,[1064.0]
d-(+)-maltose monohydrate,raman,RamanBioLib,none,1,[1064.0]
d-(+)-mannose,raman,RamanBioLib,none,1,[785.0]
d-(+)-raffinose pentahydrate,raman,RamanBioLib,none,1,[1064.0]
d-(+)-sucrose,raman,RamanBioLib,none,1,[1064.0]
d-(+)-trehalose,raman,RamanBioLib,none,1,[785.0]
d-(+)-xylose,raman,RamanBioLib,none,2,"[785.0, 1064.0]"
d-(-)-arabinose,raman,RamanBioLib,none,1,[785.0]
d-(-)-fructose,raman,RamanBioLib,none,2,"[785.0, 1064.0]"
d-(-)-ribose,raman,RamanBioLib,none,1,[1064.0]
d-fructose-6-phosphate,raman,RamanBioLib,none,1,[785.0]
diethylstilbestrol,raman,RamanBioLib,none,1,[532.0]
elaidic acid,raman,RamanBioLib,none,1,[532.0]
elastase,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
elastin,raman,RamanBioLib,none,1,[1064.0]
estradiol,raman,RamanBioLib,none,1,[532.0]
estriol,raman,RamanBioLib,none,1,[532.0]
estrone,raman,RamanBioLib,none,1,[532.0]
ethinylestradiol,raman,RamanBioLib,none,1,[532.0]
ferritin,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
fumarate,raman,RamanBioLib,none,1,[785.0]
gamma-Glu-leu,sers,ag_flakes_metabolites_24,orc_roughened,1,[]
glucosamine,raman,RamanBioLib,none,1,[488.0]
glucose oxidase,raman,RamanBioLib,none,2,"[532.0, 1064.0]"
glutathione,raman,RamanBioLib,none,1,[785.0]
glutathione transferase,raman,RamanBioLib,none,2,"[488.0, 532.0]"
glycerol,raman,RamanBioLib,none,1,[785.0]
glycine,raman,RamanBioLib,none,1,[785.0]
glycogen,raman,RamanBioLib,none,1,[1064.0]
guanine,raman,RamanBioLib,none,1,[785.0]
hemoglobin,raman,RamanBioLib,none,2,"[488.0, 532.0]"
horseradish peroxidase,raman,RamanBioLib,none,2,"[488.0, 532.0]"
insulin,raman,RamanBioLib,none,1,[633.0]
keratin,raman,RamanBioLib,none,1,[1064.0]
l-(+)-arabinose,raman,RamanBioLib,none,1,[1064.0]
l-alanine,raman,RamanBioLib,none,1,[785.0]
l-arginine,raman,RamanBioLib,none,1,[785.0]
l-asparagine,raman,RamanBioLib,none,1,[488.0]
l-aspartic acid,raman,RamanBioLib,none,1,[488.0]
l-glutamate,raman,RamanBioLib,none,1,[785.0]
l-histidine,raman,RamanBioLib,none,1,[785.0]
l-phenylalanine,raman,RamanBioLib,none,1,[785.0]
l-proline,raman,RamanBioLib,none,1,[785.0]
l-serine,raman,RamanBioLib,none,1,[785.0]
l-tryptophan,raman,RamanBioLib,none,1,[785.0]
l-tyrosine,raman,RamanBioLib,none,1,[785.0]
l-valine,raman,RamanBioLib,none,1,[785.0]
l-α-phosphatidylcholine,raman,RamanBioLib,none,1,[532.0]
l-α-phosphatidylethanolamine,raman,RamanBioLib,none,1,[532.0]
lactalbumin,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
lactose,raman,RamanBioLib,none,1,[785.0]
lauric acid,raman,RamanBioLib,none,1,[785.0]
lectin,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
linoleic acid,raman,RamanBioLib,none,1,[532.0]
major proteinase,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
malic acid,raman,RamanBioLib,none,1,[785.0]
melanin,raman,RamanBioLib,none,4,"[457.9, 514.5, 632.8, 785.0]"
myoglobin,raman,RamanBioLib,none,2,"[488.0, 532.0]"
myristic acid,raman,RamanBioLib,none,2,"[532.0, 785.0]"
n-acetyl- d-glucosamine,raman,RamanBioLib,none,1,[785.0]
oleic acid,raman,RamanBioLib,none,2,"[532.0, 785.0]"
palmitic acid,raman,RamanBioLib,none,2,"[532.0, 785.0]"
palmitoleic acid,raman,RamanBioLib,none,1,[532.0]
papain,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
pepsin,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
pepsinogen,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
phosphoenolpyruvate,raman,RamanBioLib,none,1,[785.0]
pyruvate,raman,RamanBioLib,none,1,[785.0]
riboﬂavin,raman,RamanBioLib,none,1,[785.0]
sphingomyelin,raman,RamanBioLib,none,1,[532.0]
stearic acid,raman,RamanBioLib,none,2,"[532.0, 785.0]"
succinic acid,raman,RamanBioLib,none,1,[785.0]
superoxide dismutases,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
t-rna,raman,RamanBioLib,none,1,[488.0]
thaumatin,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
thymine,raman,RamanBioLib,none,1,[785.0]
tri-11-eicosenoin,raman,RamanBioLib,none,1,[1064.0]
triarachidin,raman,RamanBioLib,none,1,[1064.0]
tribehenin,raman,RamanBioLib,none,1,[1064.0]
tricaprin,raman,RamanBioLib,none,1,[1064.0]
tricaproin,raman,RamanBioLib,none,1,[1064.0]
tricaprylin,raman,RamanBioLib,none,1,[1064.0]
trielaidin,raman,RamanBioLib,none,1,[1064.0]
trierucin,raman,RamanBioLib,none,1,[1064.0]
trilaurin,raman,RamanBioLib,none,1,[1064.0]
trilinolein,raman,RamanBioLib,none,2,"[785.0, 1064.0]"
trilinolenin,raman,RamanBioLib,none,2,"[785.0, 1064.0]"
trimyristin,raman,RamanBioLib,none,1,[1064.0]
triolein,raman,RamanBioLib,none,2,"[785.0, 1064.0]"
triosephosphate isomerase,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
tripalmitin,raman,RamanBioLib,none,1,[1064.0]
tripalmitolein,raman,RamanBioLib,none,1,[1064.0]
tripetroselinin,raman,RamanBioLib,none,1,[1064.0]
tristearin,raman,RamanBioLib,none,1,[1064.0]
trypsin,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
trypsin inhibitor,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
trypsinogen,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
tubulin,raman,RamanBioLib,none,1,[532.0]
ubiquitin,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
uracil,raman,RamanBioLib,none,1,[785.0]
vaccenic acid,raman,RamanBioLib,none,1,[785.0]
xylanase,raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
α-chymotrypsinogen a (type ii),raman,RamanBioLib,none,3,"[488.0, 532.0, 1064.0]"
α-linolenic acid,raman,RamanBioLib,none,1,[532.0]
β-carotene,raman,RamanBioLib,none,1,[785.0]
β-d-glucose,raman,RamanBioLib,none,1,[785.0]
