id,component,type,family,sample_substrate,laser_wavelength
83,tricaprylin,Lipids/Triglycerides,Lipids,Metal ring,1064.0
84,trielaidin,Lipids/Triglycerides,Lipids,Metal ring,1064.0
85,tri-11-eicosenoin,Lipids/Triglycerides,Lipids,Metal ring,1064.0
86,trierucin,Lipids/Triglycerides,Lipids,Metal ring,1064.0
87,trilinolein,Lipids/Triglycerides,Lipids,Metal ring,1064.0
88,trilinolenin,Lipids/Triglycerides,Lipids,Metal ring,1064.0
89,trilaurin,Lipids/Triglycerides,Lipids,Metal ring,1064.0
90,trimyristin,Lipids/Triglycerides,Lipids,Metal ring,1064.0
91,triolein,Lipids/Triglycerides,Lipids,Metal ring,1064.0
92,tripalmitin,Lipids/Triglycerides,Lipids,Metal ring,1064.0
93,tripetroselinin,Lipids/Triglycerides,Lipids,Metal ring,1064.0
94,tripalmitolein,Lipids/Triglycerides,Lipids,Metal ring,1064.0
95,tristearin,Lipids/Triglycerides,Lipids,Metal ring,1064.0
96,lactalbumin,Proteins,Proteins,Glass microscope slide,488.0
97,lactalbumin,Proteins,Proteins,Glass microscope slide,532.0
98,lactalbumin,Proteins,Proteins,Metal rings,1064.0
99,albumin,Proteins,Proteins,Glass microscope slide,488.0
100,albumin,Proteins,Proteins,Glass microscope slide,532.0
101,albumin,Proteins,Proteins,Metal rings,1064.0
102,carbonic anhydrase,Proteins,Proteins,Glass microscope slide,488.0
103,carbonic anhydrase,Proteins,Proteins,Glass microscope slide,532.0
104,carbonic anhydrase,Proteins,Proteins,Metal rings,1064.0
105,collagen,Proteins,Proteins,Glass microscope slide,488.0
106,collagen,Proteins,Proteins,Glass microscope slide,532.0
107,collagen,Proteins,Proteins,Metal rings,1064.0
108,α-chymotrypsinogen a (type ii),Proteins,Proteins,Glass microscope slide,488.0
109,α-chymotrypsinogen a (type ii),Proteins,Proteins,Glass microscope slide,532.0
110,α-chymotrypsinogen a (type ii),Proteins,Proteins,Metal rings,1064.0
111,elastase,Proteins,Proteins,Glass microscope slide,488.0
112,elastase,Proteins,Proteins,Glass microscope slide,532.0
113,elastase,Proteins,Proteins,Metal rings,1064.0
114,ferritin,Proteins,Proteins,Glass microscope slide,488.0
115,ferritin,Proteins,Proteins,Glass microscope slide,532.0
116,ferritin,Proteins,Proteins,Metal rings,1064.0
117,glutathione transferase,Proteins,Proteins,Glass microscope slide,488.0
118,glutathione transferase,Proteins,Proteins,Glass microscope slide,532.0
119,horseradish peroxidase,Proteins,Proteins,Glass microscope slide,488.0
120,horseradish peroxidase,Proteins,Proteins,Glass microscope slide,532.0
121,hemoglobin,Proteins/Hemeproteins,Proteins,Glass microscope slide,488.0
122,hemoglobin,Proteins/Hemeproteins,Proteins,Glass microscope slide,532.0
123,lectin,Proteins,Proteins,Glass microscope slide,488.0
124,lectin,Proteins,Proteins,Glass microscope slide,532.0
125,lectin,Proteins,Proteins,Metal rings,1064.0
126,myoglobin,Proteins/Hemeproteins,Proteins,Glass microscope slide,488.0
127,myoglobin,Proteins/Hemeproteins,Proteins,Glass microscope slide,532.0
128,papain,Proteins,Proteins,Glass microscope slide,488.0
129,papain,Proteins,Proteins,Glass microscope slide,532.0
130,papain,Proteins,Proteins,Metal rings,1064.0
131,pepsin,Proteins,Proteins,Glass microscope slide,488.0
132,pepsin,Proteins,Proteins,Glass microscope slide,532.0
133,pepsin,Proteins,Proteins,Metal rings,1064.0
134,pepsinogen,Proteins,Proteins,Glass microscope slide,488.0
135,pepsinogen,Proteins,Proteins,Glass microscope slide,532.0
136,pepsinogen,Proteins,Proteins,Metal rings,1064.0
137,major proteinase,Proteins,Proteins,Glass microscope slide,488.0
138,major proteinase,Proteins,Proteins,Glass microscope slide,532.0
139,major proteinase,Proteins,Proteins,Metal rings,1064.0
140,superoxide dismutases,Proteins,Proteins,Glass microscope slide,488.0
141,superoxide dismutases,Proteins,Proteins,Glass microscope slide,532.0
142,superoxide dismutases,Proteins,Proteins,Metal rings,1064.0
143,trypsinogen,Proteins,Proteins,Glass microscope slide,488.0
144,trypsinogen,Proteins,Proteins,Glass microscope slide,532.0
145,trypsinogen,Proteins,Proteins,Metal rings,1064.0
146,trypsin inhibitor,Proteins,Proteins,Glass microscope slide,488.0
147,trypsin inhibitor,Proteins,Proteins,Glass microscope slide,532.0
148,trypsin inhibitor,Proteins,Proteins,Metal rings,1064.0
149,thaumatin,Proteins,Proteins,Glass microscope slide,488.0
150,thaumatin,Proteins,Proteins,Glass microscope slide,532.0
151,thaumatin,Proteins,Proteins,Metal rings,1064.0
152,triosephosphate isomerase,Proteins,Proteins,Glass microscope slide,488.0
153,triosephosphate isomerase,Proteins,Proteins,Glass microscope slide,532.0
154,triosephosphate isomerase,Proteins,Proteins,Metal rings,1064.0
155,trypsin,Proteins,Proteins,Glass microscope slide,488.0
156,trypsin,Proteins,Proteins,Glass microscope slide,532.0
157,trypsin,Proteins,Proteins,Metal rings,1064.0
158,ubiquitin,Proteins,Proteins,Glass microscope slide,488.0
159,ubiquitin,Proteins,Proteins,Glass microscope slide,532.0
160,ubiquitin,Proteins,Proteins,Metal rings,1064.0
161,glucose oxidase,Proteins,Proteins,Glass microscope slide,532.0
162,glucose oxidase,Proteins,Proteins,Metal rings,1064.0
163,xylanase,Proteins,Proteins,Glass microscope slide,488.0
164,xylanase,Proteins,Proteins,Glass microscope slide,532.0
165,xylanase,Proteins,Proteins,Metal rings,1064.0
166,cytochrome c,Proteins/Hemeproteins,Proteins,Glass microscope slide,488.0
167,cytochrome c,Proteins/Hemeproteins,Proteins,Glass microscope slide,532.0
168,a-dna,NucleicAcids,NucleicAcids,,514.5
169,b-dna,NucleicAcids,NucleicAcids,,514.5
170,t-rna,NucleicAcids,NucleicAcids,,488.0
171,ceramide,Lipids,Lipids,Glass tube,1064.0
172,melanin,Pigments,Pigments,,785.0
173,melanin,Pigments,Pigments,,632.8
174,melanin,Pigments,Pigments,,514.5
175,melanin,Pigments,Pigments,,457.9
176,2-deoxy-d-ribose,Saccharides/Monosaccharides,Saccharides,Metal discs,1064.0
177,amylopectin,Saccharides/Polysaccharides,Saccharides,Metal discs,1064.0
178,amylose,Saccharides/Polysaccharides,Saccharides,Metal discs,1064.0
179,d-(+)-galactose,Saccharides/Monosaccharides,Saccharides,Metal discs,1064.0
180,d-(+)-glucose,Saccharides/Monosaccharides,Saccharides,Metal discs,1064.0
181,d-(+)-lactose monohydrate,Saccharides/Disaccharides,Saccharides,Metal discs,1064.0
182,d-(+)-maltose monohydrate,Saccharides/Disaccharides,Saccharides,Metal discs,1064.0
183,d-(+)-raffinose pentahydrate,Saccharides/Trisaccharides,Saccharides,Metal discs,1064.0
184,d-(+)-sucrose,Saccharides/Disaccharides,Saccharides,Metal discs,1064.0
185,d-(+)-xylose,Saccharides/Monosaccharides,Saccharides,Metal discs,1064.0
186,d-(-)-fructose,Saccharides/Monosaccharides,Saccharides,Metal discs,1064.0
187,d-(-)-ribose,Saccharides/Monosaccharides,Saccharides,Metal discs,1064.0
188,glycogen,Saccharides/Polysaccharides,Saccharides,Metal discs,1064.0
189,l-(+)-arabinose,Saccharides/Monosaccharides,Saccharides,Metal discs,1064.0
190,ceramide,Lipids,Lipids,,850.0
191,elastin,Proteins,Proteins,,1064.0
192,keratin,Proteins,Proteins," Sample compartment of the
instrument",1064.0
193,l-asparagine,AminoAcids,AminoAcids,,488.0
194,l-aspartic acid,AminoAcids,AminoAcids,,488.0
195,glucosamine,Saccharides,Saccharides,,488.0
196,tubulin,Proteins,Proteins,Coverslip and glass slide,532.0
197,insulin,Proteins/Hormones,Proteins,Gold-coated glass sustrate,633.0
198,diethylstilbestrol,Lipids/Hormones,Lipids,,532.0
199,estradiol,Lipids/Hormones,Lipids,,532.0
200,estriol,Lipids/Hormones,Lipids,,532.0
201,estrone,Lipids/Hormones,Lipids,,532.0
202,ethinylestradiol,Lipids/Hormones,Lipids,,532.0
