c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,spectrum_id,group,source,modality,sample_type,axis1_triglyceride,axis2_saccharide,axis3_organic_acid,axis4_protein,axis5_amino_acid,axis6_polysaccharide,axis7_pyrimidine,axis8_unassigned,axis9_fatty_acid,axis10_sterol,axis11_purine,axis12_cofactor,ood_score
0.004748378692113984,0.233229186796923,0.09168068005346916,0.03963677813228903,0.0,0.060349363806692265,0.07503279084981622,0.014591996241028775,0.0,0.06643772178820297,0.048630935847800524,0.04912235909528483,0.0859282097571221,0.007879731189584172,0.06824799678839044,0.004567086995176371,0.0,0.0,0.0,0.0,0.05592690223610797,0.08766477586280144,1.4056596922780862e-05,0.006311049270274068,covid_serum_raman::COVID::000,COVID,covid_serum_raman,raman,serum,0.233229186796923,0.27815082370383204,0.0745731026555873,0.16671347090328537,0.11556008088348779,0.0,0.007879731189584172,0.060349363806692265,0.014591996241028775,0.03963677813228903,0.004567086995176371,0.004748378692113984,0.16179105434232355
0.0029104741399723698,0.24281430568794293,0.08806159246203445,0.039876733280193415,0.0,0.06989433999931331,0.06320281499011743,0.0031797134972574572,0.0,0.06343401409918847,0.052025885514649664,0.054017529644959324,0.0901391573688902,0.00915410493855273,0.05339120168449665,0.005918924395434976,0.0,0.0,0.0,0.0,0.057865612874526746,0.09653755091018967,0.0,0.007576044512280093,covid_serum_raman::COVID::001,COVID,covid_serum_raman,raman,serum,0.24281430568794293,0.2965682066682563,0.06096724619677674,0.15126440745215186,0.11745154374414779,0.0,0.00915410493855273,0.06989433999931331,0.0031797134972574572,0.039876733280193415,0.005918924395434976,0.0029104741399723698,0.16553402813251383
0.00535998344876203,0.22944902835397465,0.09117861196990401,0.03775070080144814,0.0,0.057136452980729655,0.07632174451868345,0.01613578368690679,0.0,0.0661913003559176,0.04596720937305638,0.04734265234517168,0.09097309808934743,0.008646724052108876,0.06405642313586259,0.009835159459440928,0.0,0.0,0.0,0.0,0.059056702020826066,0.0872872995921683,0.0005398038326614252,0.0067713219830299156,covid_serum_raman::COVID::002,COVID,covid_serum_raman,raman,serum,0.22944902835397465,0.2832843090753982,0.07136754895155394,0.16750035648858747,0.11353395270108928,0.0,0.008646724052108876,0.057136452980729655,0.01613578368690679,0.03775070080144814,0.009835159459440928,0.00535998344876203,0.16149513571430574
0.0,0.16494532387198843,0.05580552916965663,0.023102236355775546,0.0,0.0454894210681369,0.07924822607531766,0.013738167958922423,0.0,0.08487388253850697,0.04594742946420973,0.034765691546873895,0.0957399476919435,0.008290798954211318,0.08895834020947088,0.015252835068214343,0.0,0.0,0.041815167752554436,0.0037100614621687913,0.07671348848798044,0.10042010102300768,0.006023086724156092,0.015160264576904437,covid_serum_raman::COVID::003,COVID,covid_serum_raman,raman,serum,0.16494532387198843,0.3188209666671414,0.11014169151053141,0.1350537552449743,0.11963957408538087,0.041815167752554436,0.008290798954211318,0.04919948253030569,0.013738167958922423,0.023102236355775546,0.015252835068214343,0.0,0.19008094446357404
0.0,0.16118914340896157,0.05343037159891235,0.026515760588613487,0.00020345221523496848,0.04451645657304453,0.08040427067840648,0.01135477146971008,0.0,0.07858487350890168,0.04454593803512953,0.035060023685917166,0.08965924785618361,0.010097253768548036,0.0942590176543526,0.018129255417518024,0.0,0.0,0.040989196385926886,0.005468911640839231,0.08215482072573052,0.09459207490096974,0.01456976135687554,0.014275398530223945,covid_serum_raman::COVID::004,COVID,covid_serum_raman,raman,serum,0.16118914340896157,0.31115553373324834,0.12310417754145209,0.13383464227731884,0.11364489719481885,0.040989196385926886,0.010097253768548036,0.04998536821388376,0.01135477146971008,0.026515760588613487,0.018129255417518024,0.0,0.19023729712277704
0.0,0.1619222784393115,0.05436305821051736,0.02311180130069697,0.0,0.044616445139490854,0.0785256782565471,0.011478034437435811,0.0,0.08678632684631633,0.0441376149609019,0.03595746329146167,0.0969198303464977,0.009181594531027038,0.08669222479116032,0.0168755311763647,0.0,0.0,0.047342263116248284,0.005485440622877563,0.07729438363843787,0.10061323856648957,0.003599307707305515,0.01509748462091189,covid_serum_raman::COVID::005,COVID,covid_serum_raman,raman,serum,0.1619222784393115,0.31896506751232706,0.10538901711937772,0.13288873646706445,0.122743790137778,0.047342263116248284,0.009181594531027038,0.05010188576236842,0.011478034437435811,0.02311180130069697,0.0168755311763647,0.0,0.19010656901509226
0.004456797636921597,0.26510658273135634,0.0898411324385366,0.03513992437294069,0.0,0.08272795665217174,0.04854915388920928,0.0,0.0,0.05985071288216853,0.05805515148397673,0.06411835097365401,0.0895812556345828,0.004894628836016968,0.04537397220375932,0.0,0.0,0.0,0.0,0.0,0.04356770800889402,0.10149040213420144,0.0,0.007246270121609847,covid_serum_raman::COVID::006,COVID,covid_serum_raman,raman,serum,0.26510658273135634,0.29269451726165496,0.05262024232536917,0.1383902863277459,0.12396906385582254,0.0,0.004894628836016968,0.08272795665217174,0.0,0.03513992437294069,0.0,0.004456797636921597,0.16456739166557166
0.008580272420278064,0.2500113634988614,0.09233086624196975,0.03961362143150651,0.0,0.06334736060236337,0.06568933652127747,0.018061010194240768,0.0,0.06606338299188715,0.04585726615262449,0.05607019919664314,0.08312334105472328,0.006899848845056349,0.06595145679302031,0.003610011546702003,0.0,0.0,0.0,0.0,0.04839075141034566,0.08260331565116492,0.0,0.003796595447335509,covid_serum_raman::COVID::007,COVID,covid_serum_raman,raman,serum,0.2500113634988614,0.25997467426885834,0.06974805224035582,0.15802020276324721,0.12213358218853029,0.0,0.006899848845056349,0.06334736060236337,0.018061010194240768,0.03961362143150651,0.003610011546702003,0.008580272420278064,0.15422837647602472
0.008008208395842185,0.25799268627210686,0.09292284021503688,0.03958289010698394,0.0,0.07054419913096752,0.06019215795324802,0.009438790883488006,0.0,0.06491580239231197,0.04906964940735641,0.05703395082605034,0.08498319364631984,0.004596637490756614,0.06058812078301155,0.0,0.0,0.0,0.0,0.0,0.04509066805130886,0.09244220815761338,0.0,0.0025979962875976145,covid_serum_raman::COVID::008,COVID,covid_serum_raman,raman,serum,0.25799268627210686,0.2715857192625985,0.06318611707060916,0.1531149981682849,0.12194975321836231,0.0,0.004596637490756614,0.07054419913096752,0.009438790883488006,0.03958289010698394,0.0,0.008008208395842185,0.15952233766177315
0.0026105084877142094,0.2498383606623588,0.08916604979947958,0.03763714926336157,0.0,0.07541618112675118,0.05716190324714996,0.0001690087756433642,0.0,0.06265534461141296,0.05480503122925533,0.05580189434834403,0.09427535566421459,0.006788850504837086,0.048002514918891355,0.0,0.0,0.0,0.001623559007088193,0.0,0.05399877331717252,0.10147808704902611,0.0,0.008571427987299143,covid_serum_raman::COVID::009,COVID,covid_serum_raman,raman,serum,0.2498383606623588,0.30455724725966854,0.0565739429061905,0.14632795304662954,0.11845723895975699,0.001623559007088193,0.006788850504837086,0.07541618112675118,0.0001690087756433642,0.03763714926336157,0.0,0.0026105084877142094,0.1690950451024683
