fold,n_test_spectra,n_test_analytes,neighbourhood_preservation,within_analyte_cos,between_analyte_cos,bsv_margin,recon_rel_error
0,94,42,0.5936170212765958,0.9193670685022567,0.2684986870687748,0.6508683814334819,0.5967543969364077
1,94,42,0.7585106382978726,0.920834675113133,0.30941633966534354,0.6114183354477895,0.47868260472669694
2,94,42,0.6872340425531915,0.9302729395498001,0.3322867793642185,0.5979861601855816,0.5647104862458459
3,93,41,0.643010752688172,0.9142443749431559,0.277355524442078,0.6368888505010779,0.5613836527307798
