specific_condition,bsv_axis,n_events,n_datasets,n_sample_types,mean_effect,mean_abs_effect,dom_direction,direction_consistency,weight,datasets
P2_LM_vs_HCC,G06,5,1,1,0.931,0.931,up,1.0,5.155,gaira_base_4_cross_pilot_synthesis_v1
P2_LM_vs_HCC,G07,5,1,1,0.931,0.931,up,1.0,5.154,gaira_base_4_cross_pilot_synthesis_v1
P2_LM_vs_HCC,G03,5,1,1,0.916,0.916,up,1.0,5.08,gaira_base_4_cross_pilot_synthesis_v1
LM,G02,8,2,1,0.49,0.532,up,0.5,5.06,gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
P2_CCA_vs_HCC,G04,5,1,1,0.882,0.882,up,1.0,4.908,gaira_base_4_cross_pilot_synthesis_v1
COVID_vs_Healthy,G08,7,2,1,-0.591,0.591,down,1.0,4.835,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_LM_vs_HCC,G09,5,1,1,-0.391,0.859,down,0.6,4.793,gaira_base_4_cross_pilot_synthesis_v1
HCC,G04,11,3,2,0.327,0.332,stable,0.73,4.75,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
P1_HCC_vs_CTR,G05,8,2,2,0.489,0.489,up,1.0,4.714,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
COVID_vs_Healthy,G05,7,2,1,-0.16,0.569,up,0.71,4.685,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
COVID_vs_Healthy,G09,7,2,1,-0.567,0.567,down,0.71,4.668,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
HCC,G03,11,3,2,0.142,0.324,stable,0.73,4.661,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_passive_target_pilot_2_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_2_cca_hcc_lm
COVID_vs_Healthy,G04,7,2,1,-0.147,0.564,up,0.71,4.649,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P2_LM_vs_HCC,G11,5,1,1,-0.086,0.825,down,0.6,4.624,gaira_base_4_cross_pilot_synthesis_v1
P2_CCA_vs_HCC,G02,5,1,1,0.82,0.82,up,1.0,4.601,gaira_base_4_cross_pilot_synthesis_v1
cross_pilot_consensus,G08,3,1,1,0.762,1.428,up,0.67,4.585,gaira_base_4_cross_pilot_synthesis_v1
