specific_condition,bsv_axis,n_events,n_datasets,n_sample_types,mean_effect,mean_abs_effect,dom_direction,direction_consistency,weight,datasets
P1_HCC_holdout,G01,8,3,1,-0.031,0.043,stable,1.0,1.146,gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2
P1_HCC_vs_CTR,G10,8,2,2,-0.041,0.041,stable,1.0,1.128,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P1_HCC_vs_CTR,G11,8,2,2,-0.023,0.04,stable,1.0,1.118,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
calibration_self,G07,1,1,1,1.0,1.0,up,1.0,1.1,gaira_base_4_hybrid_bsv_calibration_suite_v1
calibration_self,G01,1,1,1,1.0,1.0,up,1.0,1.1,gaira_base_4_hybrid_bsv_calibration_suite_v1
calibration_self,G04,1,1,1,1.0,1.0,up,1.0,1.1,gaira_base_4_hybrid_bsv_calibration_suite_v1
calibration_self,G03,1,1,1,1.0,1.0,up,1.0,1.1,gaira_base_4_hybrid_bsv_calibration_suite_v1
P1_HCC_holdout,G11,8,3,1,0.005,0.036,stable,1.0,1.091,gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2
hepatotoxicity_D1,G06,2,1,1,0.428,0.428,up,0.5,1.056,gaira_base_4_shine_ev_gaira_pilot_v1
hepatotoxicity_D1,G04,2,1,1,0.428,0.428,up,0.5,1.056,gaira_base_4_shine_ev_gaira_pilot_v1
hepatotoxicity_D1,G03,2,1,1,0.428,0.428,up,0.5,1.056,gaira_base_4_shine_ev_gaira_pilot_v1
P2_CCA_vs_LM,G02,5,1,1,0.107,0.11,stable,1.0,1.049,gaira_base_4_cross_pilot_synthesis_v1
calibration_self,G05,1,1,1,0.933,0.933,up,1.0,1.033,gaira_base_4_hybrid_bsv_calibration_suite_v1
P2_HCC_vs_NC,G11,9,2,2,0.006,0.015,stable,1.0,1.032,gaira_base_4_cross_pilot_synthesis_v1;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
P1_HCC_holdout,G06,8,3,1,-0.028,0.029,stable,1.0,1.03,gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2
P1_HCC_holdout,G10,8,3,1,-0.021,0.027,stable,1.0,1.016,gaira_base_4_passive_target_pilot_1_1_normalization_sensitivity;gaira_base_4_passive_target_pilot_1_hcc_holdout;gaira_base_4_passive_target_pilot_1_hcc_holdout_rerun_v2
calibration_self,G08,1,1,1,0.872,0.872,up,1.0,0.972,gaira_base_4_hybrid_bsv_calibration_suite_v1
calibration_self,G09,1,1,1,0.861,0.861,up,1.0,0.961,gaira_base_4_hybrid_bsv_calibration_suite_v1
hepatotoxicity_classifier,G08,4,1,1,-0.092,0.133,stable,0.75,0.933,gaira_base_4_shine_ev_gaira_pilot_v1
calibration_self,G11,1,1,1,0.804,0.804,up,1.0,0.904,gaira_base_4_hybrid_bsv_calibration_suite_v1
hepatotoxicity_D1,G11,2,1,1,0.338,0.338,stable,0.5,0.877,gaira_base_4_shine_ev_gaira_pilot_v1
hepatotoxicity_classifier,G10,4,1,1,0.057,0.115,stable,1.0,0.86,gaira_base_4_shine_ev_gaira_pilot_v1
hepatotoxicity_classifier,G09,4,1,1,0.025,0.114,stable,1.0,0.857,gaira_base_4_shine_ev_gaira_pilot_v1
calibration_self,G06,1,1,1,0.753,0.753,up,1.0,0.853,gaira_base_4_hybrid_bsv_calibration_suite_v1
hepatotoxicity_classifier,G02,4,1,1,-0.073,0.101,stable,0.75,0.805,gaira_base_4_shine_ev_gaira_pilot_v1
calibration_self,G10,1,1,1,0.7,0.7,up,1.0,0.8,gaira_base_4_hybrid_bsv_calibration_suite_v1
hepatotoxicity_D1,G02,2,1,1,0.296,0.296,up,0.5,0.792,gaira_base_4_shine_ev_gaira_pilot_v1
hepatotoxicity_D0,G10,2,1,1,-0.281,0.281,down,0.5,0.762,gaira_base_4_shine_ev_gaira_pilot_v1
hepatotoxicity_D0,G07,2,1,1,-0.276,0.276,down,0.5,0.753,gaira_base_4_shine_ev_gaira_pilot_v1
calibration_self,G02,1,1,1,0.636,0.636,up,1.0,0.736,gaira_base_4_hybrid_bsv_calibration_suite_v1
smallEV_Probe2,G11,1,1,1,0.585,0.585,up,1.0,0.685,gaira_base_4_small_ev_shared_structure_pass_v2
hepatotoxicity_classifier,G07,4,1,1,-0.046,0.069,stable,1.0,0.675,gaira_base_4_shine_ev_gaira_pilot_v1
smallEV_Probe1,G10,1,1,1,0.572,0.572,up,1.0,0.672,gaira_base_4_small_ev_shared_structure_pass_v2
OWD,G05,1,1,1,-0.557,0.557,down,1.0,0.657,gaira_base_4_diabetes_ev_pilot_v1
smallEV_Probe2,G07,1,1,1,0.541,0.541,up,1.0,0.641,gaira_base_4_small_ev_shared_structure_pass_v2
smallEV_Probe2,G09,1,1,1,0.537,0.537,up,1.0,0.637,gaira_base_4_small_ev_shared_structure_pass_v2
OWD,G01,1,1,1,0.516,0.516,up,1.0,0.616,gaira_base_4_diabetes_ev_pilot_v1
smallEV_Probe1,G08,1,1,1,0.504,0.504,up,1.0,0.604,gaira_base_4_small_ev_shared_structure_pass_v2
hepatotoxicity_D0,G04,2,1,1,0.198,0.198,stable,1.0,0.596,gaira_base_4_shine_ev_gaira_pilot_v1
hepatotoxicity_D0,G06,2,1,1,0.198,0.198,stable,1.0,0.596,gaira_base_4_shine_ev_gaira_pilot_v1
hepatotoxicity_D0,G03,2,1,1,0.198,0.198,stable,1.0,0.596,gaira_base_4_shine_ev_gaira_pilot_v1
