condition_family,bsv_axis,n_events,n_datasets,n_sample_types,mean_effect,mean_abs_effect,dom_direction,direction_consistency,weight,datasets
infection_covid,G03,29,2,1,0.569,0.639,up,0.79,21.434,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
infection_covid,G02,29,2,1,-0.124,0.483,up,0.41,16.915,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
infection_covid,G01,29,2,1,-0.183,0.373,down,0.48,13.72,gaira_base_4_passive_target_pilot_3b_covid_raman;gaira_base_4_pilot3c_classifier_and_cross_disease_v1
toxicity_drug_response,G01,12,1,1,0.03,0.62,up,0.42,8.642,gaira_base_4_shine_ev_gaira_pilot_v1
toxicity_drug_response,G11,12,1,1,-0.025,0.577,down,0.42,8.121,gaira_base_4_shine_ev_gaira_pilot_v1
toxicity_drug_response,G08,12,1,1,-0.29,0.489,down,0.58,7.067,gaira_base_4_shine_ev_gaira_pilot_v1
toxicity_drug_response,G09,12,1,1,0.022,0.47,stable,0.42,6.837,gaira_base_4_shine_ev_gaira_pilot_v1
cross_pilot,G09,3,1,1,1.129,1.795,up,0.67,5.686,gaira_base_4_cross_pilot_synthesis_v1
cross_pilot,G03,3,1,1,1.794,1.794,up,1.0,5.683,gaira_base_4_cross_pilot_synthesis_v1
cross_pilot,G05,3,1,1,1.094,1.761,up,0.67,5.583,gaira_base_4_cross_pilot_synthesis_v1
toxicity_drug_response,G03,12,1,1,0.201,0.357,stable,0.42,5.478,gaira_base_4_shine_ev_gaira_pilot_v1
toxicity_drug_response,G06,12,1,1,0.201,0.357,stable,0.42,5.478,gaira_base_4_shine_ev_gaira_pilot_v1
toxicity_drug_response,G04,12,1,1,0.201,0.357,stable,0.42,5.478,gaira_base_4_shine_ev_gaira_pilot_v1
toxicity_drug_response,G10,12,1,1,0.241,0.354,stable,0.5,5.443,gaira_base_4_shine_ev_gaira_pilot_v1
cross_pilot,G04,3,1,1,1.676,1.676,up,1.0,5.327,gaira_base_4_cross_pilot_synthesis_v1
toxicity_drug_response,G02,12,1,1,-0.222,0.33,down,0.5,5.16,gaira_base_4_shine_ev_gaira_pilot_v1
toxicity_drug_response,G05,12,1,1,-0.048,0.301,stable,0.58,4.808,gaira_base_4_shine_ev_gaira_pilot_v1
cross_pilot,G08,3,1,1,0.762,1.428,up,0.67,4.585,gaira_base_4_cross_pilot_synthesis_v1
cross_pilot,G06,3,1,1,1.382,1.382,up,1.0,4.447,gaira_base_4_cross_pilot_synthesis_v1
cross_pilot,G07,3,1,1,1.382,1.382,up,1.0,4.446,gaira_base_4_cross_pilot_synthesis_v1
cross_pilot,G01,3,1,1,1.372,1.372,up,1.0,4.415,gaira_base_4_cross_pilot_synthesis_v1
cross_pilot,G11,3,1,1,0.665,1.332,up,0.67,4.296,gaira_base_4_cross_pilot_synthesis_v1
toxicity_drug_response,G07,12,1,1,-0.167,0.221,stable,0.67,3.856,gaira_base_4_shine_ev_gaira_pilot_v1
cross_pilot,G02,2,1,1,0.694,0.694,up,1.0,1.588,gaira_base_4_cross_pilot_synthesis_v1
calibration_suite,G01,1,1,1,1.0,1.0,up,1.0,1.1,gaira_base_4_hybrid_bsv_calibration_suite_v1
calibration_suite,G03,1,1,1,1.0,1.0,up,1.0,1.1,gaira_base_4_hybrid_bsv_calibration_suite_v1
