id,component,family,membrane_lipid,protein_backbone,aromatic_amino_acid,purine_nucleotide,pyrimidine_nucleotide,glycan_carbohydrate,redox_metabolite,nucleic_acid_backbone,dominant_axis,dominant_weight
119,horseradish peroxidase,Proteins,0.1730309815906893,0.17108474591791267,0.26574127514931484,0.25789984413586325,0.1181346819831971,0.09713405625073301,0.09176193976191349,0.06117145518079211,aromatic_amino_acid,0.26574127514931484
120,horseradish peroxidase,Proteins,0.23945314738011286,0.2262383728518934,0.31000791746215417,0.25854888444831997,0.10188530103113745,0.13297014502467802,0.11354789842155125,0.06858927545230745,aromatic_amino_acid,0.31000791746215417
121,hemoglobin,Proteins,0.10124927463829486,0.0919641358030527,0.199576722678263,0.24167373840042242,0.06655802281408571,0.06630265209484616,0.03201581538983668,0.03206093115754444,purine_nucleotide,0.24167373840042242
122,hemoglobin,Proteins,0.1788577772113099,0.15654982188237468,0.21667590479109403,0.15798261010175543,0.20262980337085126,0.2179435143471894,0.03528330245937911,0.07713532460277543,glycan_carbohydrate,0.2179435143471894
123,lectin,Proteins,0.21509406613387438,0.3283579581247436,0.2328473495409567,0.17120513881608032,0.08220989194109389,0.12458277501599604,0.03333952516799202,0.18116409668758202,protein_backbone,0.3283579581247436
124,lectin,Proteins,0.26398667297830103,0.40940020593882864,0.2752510475058461,0.20009520116069254,0.08799594053915728,0.20199962707185673,0.042797717259346404,0.3165197661558948,protein_backbone,0.40940020593882864
125,lectin,Proteins,0.2767552349983252,0.3157601512108145,0.22456548770004758,0.21477202456394873,0.09633020068396075,0.08897478616092741,0.11683159916076115,0.14098372677125043,protein_backbone,0.3157601512108145
126,myoglobin,Proteins,0.13344119548225858,0.11020474022026874,0.22102804250869534,0.25818432016184256,0.12080089345170389,0.08303486639235094,0.02092743892337695,0.015559061138207847,purine_nucleotide,0.25818432016184256
127,myoglobin,Proteins,0.16564510756440531,0.12956736835405136,0.19286216015278895,0.14843072818881323,0.13538202067906324,0.12987790571299732,0.03245056597826053,0.05022317508736646,aromatic_amino_acid,0.19286216015278895
128,papain,Proteins,0.40472141242757087,0.5585917763884005,0.359777786897479,0.26008016587353194,0.1148467496384016,0.25737093579100134,0.10189032492779722,0.18798142439668533,protein_backbone,0.5585917763884005
129,papain,Proteins,0.30203188331870484,0.457798571006086,0.2968621946600356,0.1983860988603231,0.11604130638741694,0.19309570248052704,0.06437564718277564,0.1686019616617093,protein_backbone,0.457798571006086
130,papain,Proteins,0.3679392246064772,0.3662024837833622,0.21908779371622267,0.2131076902611396,0.09142411459964718,0.13299452908350087,0.20405679946791072,0.08637511456711917,membrane_lipid,0.3679392246064772
