concentration_uM,axis,bsv_mean,bsv_std,delta_bsv
0.0,membrane_lipid,0.03059057011038021,0.0003324342362579606,0.0
0.0,protein_backbone,0.02227156984975965,0.0005493627259712984,0.0
0.0,aromatic_amino_acid,0.0373451304367177,0.0005578595215171583,0.0
0.0,purine_nucleotide,0.05100969625393076,0.0008220668432885309,0.0
0.0,pyrimidine_nucleotide,0.020835002207331615,0.00045184555081738203,0.0
0.0,glycan_carbohydrate,0.03843996992674506,0.0004640435634336696,0.0
0.0,redox_metabolite,0.014400217523325478,0.000526057371245492,0.0
0.0,nucleic_acid_backbone,0.02019712532376273,0.0004349059365127491,0.0
0.2,membrane_lipid,0.03087564137154334,0.00042143733894842855,0.00028507126116313064
0.2,protein_backbone,0.023217957394170687,0.0004783083162003255,0.000946387544411037
0.2,aromatic_amino_acid,0.03828602038331922,0.0002650872909684421,0.0009408899466015197
0.2,purine_nucleotide,0.04520463401464504,0.0006410535062082811,-0.005805062239285716
0.2,pyrimidine_nucleotide,0.019344951086177054,0.00044478101750941595,-0.0014900511211545613
0.2,glycan_carbohydrate,0.038377777220831785,0.00026808952784537765,-6.219270591327486e-05
0.2,redox_metabolite,0.023106759808053087,0.0005015858647921302,0.008706542284727609
0.2,nucleic_acid_backbone,0.017339354781185572,0.000430867210682893,-0.0028577705425771593
0.4,membrane_lipid,0.031509353775162945,0.0009458063565791124,0.0009187836647827352
0.4,protein_backbone,0.02600567505035075,0.0014870527677759945,0.0037341052005911007
0.4,aromatic_amino_acid,0.03565445196672251,0.0010928964734967651,-0.0016906784699951896
0.4,purine_nucleotide,0.05000600465933954,0.0006583997411729618,-0.0010036915945912175
0.4,pyrimidine_nucleotide,0.019972710668406855,0.0007998484154638887,-0.0008622915389247601
0.4,glycan_carbohydrate,0.035395902110314424,0.000905206542765171,-0.003044067816430636
0.4,redox_metabolite,0.02736526422795753,0.0007001848809562979,0.012965046704632053
0.4,nucleic_acid_backbone,0.014068888907896857,0.0010186716787060342,-0.006128236415865875
0.6,membrane_lipid,0.0333579982870901,0.0005523284907936666,0.002767428176709892
0.6,protein_backbone,0.028446194338140773,0.0008480765808867504,0.006174624488381124
0.6,aromatic_amino_acid,0.03420308645089717,0.0008831951653340539,-0.0031420439858205335
0.6,purine_nucleotide,0.04659133606284365,0.00045644744964978856,-0.004418360191087108
0.6,pyrimidine_nucleotide,0.018579265357424896,0.0006722933375638897,-0.002255736849906719
0.6,glycan_carbohydrate,0.03478711770748873,0.0007080700140579922,-0.0036528522192563334
0.6,redox_metabolite,0.03080667111810418,0.00035597059530888427,0.0164064535947787
0.6,nucleic_acid_backbone,0.012336760852569868,0.0005610896140850497,-0.007860364471192864
0.8,membrane_lipid,0.03575421755184529,0.0005489920916462767,0.00516364744146508
0.8,protein_backbone,0.03224832121102482,0.0017741650000663316,0.00997675136126517
0.8,aromatic_amino_acid,0.030585751682359226,0.0016352935738440729,-0.006759378754358475
0.8,purine_nucleotide,0.04429917178344337,0.0016273548003789468,-0.006710524470487388
0.8,pyrimidine_nucleotide,0.01628352731989959,0.0015939743362671486,-0.004551474887432027
0.8,glycan_carbohydrate,0.0316252211838052,0.0019599462067217462,-0.006814748742939858
0.8,redox_metabolite,0.03556309832254963,0.0024270199338908486,0.021162880799224147
0.8,nucleic_acid_backbone,0.009651443845141125,0.0019265044796236792,-0.010545681478621607
1.0,membrane_lipid,0.03414946395273542,0.0003532936795705256,0.003558893842355214
1.0,protein_backbone,0.030402587756355702,0.000384984690429019,0.008131017906596053
1.0,aromatic_amino_acid,0.03223537503150851,0.0007018727866599393,-0.005109755405209193
1.0,purine_nucleotide,0.04342857354396181,0.0007914337613480925,-0.007581122709968947
1.0,pyrimidine_nucleotide,0.01722309393131938,0.0004939685377885137,-0.0036119082760122344
1.0,glycan_carbohydrate,0.03369633763476929,0.0009897640944343145,-0.004743632291975768
1.0,redox_metabolite,0.03833143179711618,0.0010585867449285228,0.023931214273790698
1.0,nucleic_acid_backbone,0.01180517229045128,0.001289775897012275,-0.008391953033311451
1.2,membrane_lipid,0.03559424358140525,0.000735038869154406,0.0050036734710250386
