channel,auroc,in_domain_mean,ood_mean
nearest_reference_distance,0.9528888888888889,0.026006418917487627,0.27559008603292856
JOINT,0.921312,8.526512829121202e-17,1.1071926375012324
activation_sparsity,0.8797084444444444,0.8764460758962571,0.6948511372317819
activation_entropy,0.8761671111111111,0.3376328902732392,0.5819337578185937
residual_fraction,0.7143857777777778,0.17883180781588778,0.309814071223324
explained_variance,0.7143857777777778,0.8211681921841122,0.6901859287766761
top1_top2_margin,0.5473742222222222,0.1299019796572507,0.08349765117805037
centroid_distance,0.29734755555555553,1.2188398010390007,1.1587665022328701
ood_mahalanobis,0.2033137777777778,6.422743710937034,4.423046008460865
