representation,clean_molecule_top1,clean_class_top1,clean_class_top1_grouped,mean_class_top1_grouped_perturbed,class_retention_grouped,mean_molecule_top1_perturbed,mean_class_top1_perturbed,molecule_retention,class_retention,mean_ece_perturbed
raw,0.9653333333333334,0.992,0.592,0.5296000000000002,0.8945945945930839,0.8882285714285714,0.935847619047619,0.9201262825562685,0.943394777264794,0.8772328305807224
lsm,0.8933333333333333,0.9706666666666667,0.848,0.7824761904761905,0.9227313566925328,0.8008380952380952,0.917409523809524,0.8964605543699987,0.9451334379896074,0.785685384573084
csm,0.8986666666666666,0.9733333333333334,0.8453333333333334,0.7900952380952382,0.9346552501115578,0.8116571428571429,0.9292190476190476,0.9031793132673291,0.9546771037172187,0.7964577075712591
evidence,0.8693333333333333,0.968,0.664,0.6117333333333334,0.9212851405608615,0.7076571428571428,0.8759619047619047,0.8140227870279856,0.9049193231002065,0.6993857821818974
