parameter,value,mean_supporting_csms,mean_axes_per_csm,n_grounded,mean_auroc
support_floor,0.05,25.727272727272727,5.775510204081633,7,0.7581006931554591
support_floor,0.1,17.0,3.816326530612245,7,0.7581006931554591
support_floor,0.15,12.090909090909092,2.7142857142857144,7,0.7581006931554591
support_floor,0.2,9.090909090909092,2.0408163265306123,7,0.7581006931554591
prominence_window_cm-1,20.0,16.818181818181817,3.7755102040816326,6,0.720283910074113
prominence_window_cm-1,40.0,17.0,3.816326530612245,7,0.7581006931554591
prominence_window_cm-1,80.0,17.272727272727273,3.877551020408163,8,0.7742304534903799
