split,method,ece,mce,brier,sharpness,discrimination,overconfidence
splitA_molecule,dirichlet,0.1295548700039556,0.28365096543236223,0.14493575195489655,0.2748119924537246,0.8912612668064795,-0.0005689836407215876
splitA_molecule,isotonic,0.1596007896036113,0.40681625464424187,0.2277926838427189,0.18840667313944318,0.6807723954532465,-0.010873633800032357
splitA_molecule,platt,0.08002253505898795,0.0933240069941642,0.24170837259618705,2.1285783118589507e-05,0.706563288956906,-9.179075329456277e-05
splitA_molecule,temperature,0.15887610225046347,0.33169561296266664,0.19467206480408045,0.2501463406957777,0.7686245949676801,0.028099371878748124
splitA_molecule,uncalibrated,0.589959079266478,0.589959079266478,0.5864860023516094,0.0013240139542857546,0.706563288956906,-0.589959079266478
splitB_class,dirichlet,0.14469558705948246,0.3484464841036874,0.14202207142345555,0.0407354680195152,0.5813705616687875,-0.003163561987383945
splitB_class,isotonic,0.14501834685472748,0.38321550524233833,0.15401511243653498,0.11696104652567223,0.6013707726263307,0.0022858548797480838
splitB_class,platt,0.11714982120355857,0.11714982120355857,0.13781686827505543,2.3074069777776066e-05,0.5759860268982209,0.001610245174606062
splitB_class,temperature,0.17283152360974596,0.2495622986808773,0.16095433690702776,0.0873437314847171,0.5457530912085146,0.12218504273828515
splitB_class,uncalibrated,0.8262398088804845,0.8262398088804845,0.81411772656208,0.0026273129840651993,0.5759860268982209,-0.8262398088804845
