threshold,fpr,tpr
-0.9008918125853959,0.9973333333333333,1.0
-0.8833583182297584,0.992,1.0
-0.8658248238741209,0.992,1.0
-0.8482913295184834,0.992,1.0
-0.830757835162846,0.992,1.0
-0.8132243408072085,0.992,1.0
-0.795690846451571,0.992,1.0
-0.7781573520959335,0.992,1.0
-0.7606238577402961,0.992,1.0
-0.7430903633846586,0.992,1.0
-0.7255568690290211,0.992,1.0
-0.7080233746733836,0.992,1.0
-0.6904898803177462,0.992,1.0
-0.6729563859621086,0.9866666666666667,1.0
-0.6554228916064712,0.9866666666666667,1.0
-0.6378893972508337,0.984,1.0
-0.6203559028951962,0.9786666666666667,1.0
-0.6028224085395587,0.968,1.0
-0.5852889141839213,0.9626666666666667,1.0
-0.5677554198282837,0.9493333333333334,1.0
-0.5502219254726464,0.9413333333333334,1.0
-0.5326884311170088,0.9333333333333333,1.0
-0.5151549367613714,0.9253333333333333,0.9986666666666667
-0.49762144240573386,0.9173333333333333,0.9986666666666667
-0.48008794805009636,0.912,0.9986666666666667
-0.4625544536944589,0.9066666666666666,0.9973333333333333
-0.4450209593388214,0.8933333333333333,0.996
-0.42748746498318396,0.8853333333333333,0.996
-0.40995397062754646,0.8746666666666667,0.9946666666666667
-0.392420476271909,0.8666666666666667,0.9946666666666667
-0.37488698191627157,0.864,0.9933333333333333
-0.357353487560634,0.856,0.9933333333333333
-0.33981999320499656,0.8373333333333334,0.9933333333333333
-0.3222864988493591,0.8213333333333334,0.9906666666666667
-0.30475300449372156,0.8053333333333333,0.9866666666666667
-0.2872195101380841,0.7973333333333333,0.9866666666666667
-0.26968601578244666,0.7786666666666666,0.984
-0.2521525214268092,0.7706666666666667,0.9826666666666667
-0.23461902707117166,0.76,0.9773333333333334
-0.2170855327155342,0.736,0.9746666666666667
-0.19955203835989677,0.7146666666666667,0.972
-0.1820185440042592,0.6933333333333334,0.9706666666666667
-0.16448504964862176,0.68,0.9666666666666667
-0.14695155529298431,0.6586666666666666,0.96
-0.12941806093734687,0.6373333333333333,0.96
-0.11188456658170931,0.6293333333333333,0.956
-0.09435107222607186,0.6053333333333333,0.9533333333333334
-0.07681757787043442,0.592,0.948
-0.05928408351479686,0.5653333333333334,0.9413333333333334
-0.04175058915915941,0.5333333333333333,0.9386666666666666
-0.024217094803521966,0.49333333333333335,0.9373333333333334
-0.006683600447884519,0.4693333333333333,0.9346666666666666
0.010849893907753039,0.44533333333333336,0.9306666666666666
0.028383388263390485,0.42933333333333334,0.9266666666666666
0.04591688261902793,0.408,0.9253333333333333
0.06345037697466538,0.38666666666666666,0.9173333333333333
0.08098387133030294,0.36533333333333334,0.9106666666666666
0.09851736568594038,0.33066666666666666,0.908
0.11605086004157783,0.31733333333333336,0.9066666666666666
0.1335843543972154,0.2986666666666667,0.9013333333333333
0.15111784875285272,0.288,0.9
0.16865134310849028,0.27466666666666667,0.8986666666666666
0.18618483746412784,0.256,0.896
0.20371833181976517,0.24266666666666667,0.8933333333333333
0.22125182617540273,0.22133333333333333,0.8933333333333333
0.2387853205310403,0.21333333333333335,0.892
