bin_center,empirical_accuracy,count
0.05,0.0,66
0.15000000000000002,,0
0.25,,0
0.35000000000000003,,0
0.45,0.5,2
0.55,0.14285714285714285,14
0.6500000000000001,0.5348837209302325,86
0.75,0.8223684210526315,152
0.8500000000000001,0.9636363636363636,55
0.95,,0
