k,topk
1,0.6053333333333333
2,0.7093333333333334
3,0.7626666666666667
4,0.7893333333333333
5,0.7946666666666666
6,0.8026666666666666
7,0.808
8,0.808
9,0.8106666666666666
10,0.8106666666666666
