analyte,family,expected_theme,n_raman,n_sers,component_cosine,component_tier,theme_cosine,theme_tier,theme_cosine_distinct,theme_null_mean,theme_separation,self_is_nearest_theme,self_theme_rank,dominant_theme_match,raman_dominant,sers_dominant,top2_theme_overlap,top3_theme_jaccard,expected_rank_raman,expected_rank_sers,expected_retained_top1,expected_retained_top3,mss_cosine,mss_top3_overlap,dominant_mss_match,theme_redistribution,l1_theme_shift,theme_jsd,gained_theme,lost_theme,gained_component,lost_component,gained_mss,lost_mss,ood_raman,ood_sers,confidence_raman,confidence_sers,quadrant
tyrosine,amino_acid,aromatic_amino_acid|protein_peptide,4,5,0.236,Poor,0.9473,Excellent,0.1874,0.1409,0.0465,False,16,True,nucleic_purine,nucleic_purine,1.0,0.5,3,4,False,False,0.6292,0.333,False,0.0527,0.2707,0.0302,organic_acid_metabolism,aromatic_amino_acid,c23,c5,carboxylate_organic_acid,aromatic_ring_residue,0.105,0.1573,0.4284,0.1962,Q4 poor transfer (both)
adenine,purine,nucleic_purine,4,5,0.3592,Weak,0.9466,Excellent,0.733,0.7069,0.0261,False,29,True,nucleic_purine,nucleic_purine,1.0,0.5,1,1,True,True,0.7405,0.0,False,0.0534,0.3242,0.0301,organic_acid_metabolism,nucleic_purine,c23,c3,pyrimidine_ring,sterol_ring_system,0.0348,0.1388,0.4839,0.2195,"Q2 latent redistribution, theme survives"
isoleucine,amino_acid,aromatic_amino_acid|protein_peptide,3,5,0.5932,Moderate,0.9379,Excellent,-0.9043,-0.8225,-0.0818,False,37,False,saccharide_glycan,nucleic_purine,1.0,0.5,6,4,False,False,0.8301,0.0,False,0.0621,0.2676,0.0196,nucleic_purine,saccharide_glycan,c23,c12,carboxylate_organic_acid,lipid_acyl_chain,0.0829,0.1672,0.2613,0.1963,"Q3 superficial coord match, theme changes"
leucine,amino_acid,aromatic_amino_acid|protein_peptide,4,5,0.4373,Weak,0.9349,Excellent,-0.6361,-0.5114,-0.1246,False,42,False,saccharide_glycan,nucleic_purine,1.0,0.5,3,4,False,False,0.7764,0.0,False,0.0651,0.2913,0.0308,nucleic_purine,saccharide_glycan,c23,c12,pyrimidine_ring,aromatic_ring_residue,0.0613,0.1281,0.3367,0.2031,Q4 poor transfer (both)
pyruvate,organic_acid,organic_acid_metabolism,4,5,0.6083,Moderate,0.9333,Excellent,0.6639,0.6848,-0.0209,False,35,True,nucleic_purine,nucleic_purine,0.5,0.5,2,3,False,True,0.8026,0.667,False,0.0667,0.3138,0.0326,saccharide_glycan,organic_acid_metabolism,c19,c23,sulfur_heterocycle_thione,carboxylate_organic_acid,0.0846,0.1116,0.3561,0.2097,Q1 identity preserved (both)
phosphoenolpyruvate,organic_acid,organic_acid_metabolism,4,5,0.6177,Moderate,0.9331,Excellent,0.8668,0.6833,0.1835,False,3,True,nucleic_purine,nucleic_purine,0.5,0.5,2,3,False,True,0.8211,0.667,True,0.0669,0.3321,0.0342,saccharide_glycan,nucleic_pyrimidine,c19,c23,sulfur_heterocycle_thione,carboxylate_organic_acid,0.0382,0.1414,0.3222,0.1983,Q1 identity preserved (both)
tryptophan,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.3394,Weak,0.9305,Excellent,0.2139,0.3667,-0.1528,False,45,True,nucleic_purine,nucleic_purine,0.5,0.5,3,4,False,False,0.6793,0.0,False,0.0695,0.3277,0.03,saccharide_glycan,aromatic_amino_acid,c19,c22,sulfur_heterocycle_thione,flavin_redox_cofactor,0.0158,0.1089,0.3975,0.2177,Q4 poor transfer (both)
albumin,protein,protein_peptide,6,5,0.6025,Moderate,0.9286,Excellent,-0.1934,-0.1117,-0.0817,False,37,False,lipid_acyl,nucleic_purine,0.0,0.2,2,4,False,False,0.879,0.333,False,0.0714,0.3097,0.0273,nucleic_purine,lipid_acyl,c23,c2,purine_ring_breathing,protein_amide_backbone,0.0878,0.1286,0.2508,0.2398,"Q3 superficial coord match, theme changes"
histidine,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.4868,Moderate,0.9256,Excellent,-0.7794,-0.622,-0.1574,False,47,False,saccharide_glycan,nucleic_purine,1.0,0.5,3,4,False,False,0.8677,0.333,False,0.0744,0.2962,0.0256,nucleic_purine,saccharide_glycan,c23,c21,carboxylate_organic_acid,glycan_co_network,0.0452,0.1542,0.2952,0.1969,Q4 poor transfer (both)
galactose,saccharide,saccharide_glycan,3,5,0.4462,Weak,0.9241,Excellent,-0.2446,-0.3684,0.1237,False,10,False,saccharide_glycan,nucleic_purine,1.0,1.0,1,2,False,True,0.7966,0.333,False,0.0759,0.2868,0.0245,protein_peptide,saccharide_glycan,c23,c4,sulfur_heterocycle_thione,glycan_co_network,0.0514,0.1177,0.373,0.2074,Q4 poor transfer (both)
phosphate,organic_acid,organic_acid_metabolism,3,5,0.361,Weak,0.9183,Excellent,0.603,0.54,0.063,False,22,False,organic_acid_metabolism,nucleic_purine,0.5,1.0,1,3,False,True,0.6495,0.667,True,0.0817,0.2911,0.0404,protein_peptide,organic_acid_metabolism,c23,c14,purine_ring_breathing,carboxylate_organic_acid,0.0519,0.1248,0.388,0.2017,"Q2 latent redistribution, theme survives"
cholesterol,lipid,lipid_acyl|sterol_membrane,4,5,0.3357,Weak,0.9181,Excellent,0.1114,-0.255,0.3664,False,4,False,lipid_acyl,nucleic_purine,0.5,0.5,1,4,False,False,0.814,0.333,False,0.0819,0.3327,0.032,organic_acid_metabolism,lipid_acyl,c14,c1,carboxylate_organic_acid,protein_amide_backbone,0.0291,0.3183,0.2884,0.2197,Q4 poor transfer (both)
acetoacetate,organic_acid,organic_acid_metabolism,4,5,0.423,Weak,0.9169,Excellent,0.446,0.4032,0.0428,False,26,False,organic_acid_metabolism,nucleic_purine,0.5,0.5,1,3,False,True,0.7716,0.333,True,0.0831,0.3606,0.0439,nucleic_pyrimidine,organic_acid_metabolism,c23,c22,pyrimidine_ring,aromatic_ring_residue,0.0317,0.2081,0.4397,0.2019,Q4 poor transfer (both)
urate,purine,nucleic_purine,3,5,0.644,Moderate,0.9127,Excellent,-0.5662,-0.1396,-0.4266,False,50,False,saccharide_glycan,nucleic_purine,1.0,0.5,2,1,True,True,0.7488,0.333,False,0.0873,0.3011,0.0355,nucleic_purine,nucleic_pyrimidine,c15,c20,purine_ring_breathing,carboxylate_organic_acid,0.0916,0.2944,0.3585,0.2378,"Q3 superficial coord match, theme changes"
n-acetylglucosamine,saccharide,saccharide_glycan,3,5,0.5987,Moderate,0.9014,Excellent,-0.6277,-0.5965,-0.0313,False,31,False,saccharide_glycan,nucleic_purine,0.5,0.5,1,2,False,True,0.8527,0.333,False,0.0986,0.3343,0.0316,nucleic_purine,saccharide_glycan,c19,c21,purine_ring_breathing,glycan_co_network,0.0597,0.1453,0.2673,0.1942,"Q3 superficial coord match, theme changes"
alanine,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.2553,Weak,0.8867,Excellent,-0.4841,-0.4569,-0.0272,False,28,False,saccharide_glycan,nucleic_purine,1.0,0.5,3,4,False,False,0.6624,0.0,False,0.1133,0.4234,0.0537,nucleic_purine,saccharide_glycan,c23,c11,carboxylate_organic_acid,aromatic_ring_residue,0.0198,0.1256,0.3947,0.1993,Q4 poor transfer (both)
mannose,saccharide,saccharide_glycan,3,5,0.6013,Moderate,0.8841,Excellent,-0.6059,-0.5032,-0.1027,False,44,False,saccharide_glycan,nucleic_purine,1.0,0.5,1,2,False,True,0.7375,0.333,False,0.1159,0.352,0.0363,nucleic_purine,saccharide_glycan,c23,c18,carboxylate_organic_acid,glycan_co_network,0.0683,0.1162,0.291,0.2056,"Q3 superficial coord match, theme changes"
urea,small_nitrogenous,organic_acid_metabolism,3,5,0.6674,Good,0.8827,Excellent,0.9025,-0.0978,1.0003,True,1,False,sulfur_antioxidant,saccharide_glycan,0.0,0.2,3,3,False,True,0.5222,0.333,False,0.1173,0.4546,0.0674,nucleic_purine,sulfur_antioxidant,c21,c6,sulfur_heterocycle_thione,aromatic_ring_residue,0.0276,0.2901,0.6644,0.1807,Q1 identity preserved (both)
guanine,purine,nucleic_purine,4,5,0.631,Moderate,0.8758,Excellent,0.9241,0.7088,0.2153,False,2,True,nucleic_purine,nucleic_purine,0.5,0.2,1,1,True,True,0.8745,1.0,True,0.1242,0.5694,0.0964,saccharide_glycan,nucleic_purine,c19,c15,aromatic_ring_residue,oxopurine_carbonyl,0.0142,0.159,0.4986,0.2327,Q1 identity preserved (both)
proline,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.31,Weak,0.8689,Excellent,-0.733,-0.6408,-0.0922,False,38,False,saccharide_glycan,nucleic_purine,1.0,0.5,4,4,False,False,0.8426,0.0,False,0.1311,0.379,0.0452,nucleic_purine,saccharide_glycan,c23,c10,carboxylate_organic_acid,glycan_co_network,0.0641,0.1771,0.3372,0.1914,Q4 poor transfer (both)
ascorbate,organic_acid,organic_acid_metabolism,4,5,0.3917,Weak,0.8605,Excellent,-0.5823,-0.5302,-0.0521,False,23,False,lipid_acyl,nucleic_purine,0.5,0.5,6,3,False,True,0.674,0.0,False,0.1395,0.3721,0.0551,nucleic_purine,lipid_acyl,c23,c7,carboxylate_organic_acid,lipid_acyl_chain,0.0633,0.1427,0.4087,0.2003,Q4 poor transfer (both)
serine,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.3536,Weak,0.8496,Excellent,-0.6139,-0.5968,-0.0171,False,25,False,saccharide_glycan,nucleic_purine,0.5,0.2,2,4,False,False,0.6897,0.333,False,0.1504,0.4355,0.0588,nucleic_purine,saccharide_glycan,c23,c11,carboxylate_organic_acid,aromatic_ring_residue,0.0245,0.1701,0.3086,0.1917,Q4 poor transfer (both)
glucose,saccharide,saccharide_glycan,4,5,0.2555,Weak,0.8458,Excellent,-0.4605,-0.4806,0.0201,False,17,False,saccharide_glycan,nucleic_purine,1.0,0.5,1,2,False,True,0.5358,0.0,False,0.1542,0.4474,0.0615,organic_acid_metabolism,saccharide_glycan,c23,c12,carboxylate_organic_acid,glycan_co_network,0.0158,0.124,0.4155,0.2052,Q4 poor transfer (both)
citrate,organic_acid,organic_acid_metabolism,4,5,0.6183,Moderate,0.8426,Excellent,0.8517,0.7608,0.0908,False,18,False,organic_acid_metabolism,nucleic_purine,0.5,0.5,1,3,False,True,0.6956,0.667,True,0.1574,0.5688,0.084,saccharide_glycan,organic_acid_metabolism,c18,c23,glycan_co_network,carboxylate_organic_acid,0.0426,0.1465,0.4148,0.1899,Q1 identity preserved (both)
phenylalanine,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.3007,Weak,0.8306,Excellent,-0.0917,-0.0599,-0.0318,False,30,False,sulfur_antioxidant,nucleic_purine,0.0,0.2,2,4,False,False,0.5299,0.333,False,0.1694,0.4933,0.0819,nucleic_purine,sulfur_antioxidant,c23,c6,carboxylate_organic_acid,aromatic_ring_residue,0.0073,0.1166,0.4033,0.2036,Q4 poor transfer (both)
fructose-6-phosphate,saccharide,saccharide_glycan,4,5,0.3473,Weak,0.8287,Excellent,-0.7297,-0.7217,-0.008,False,21,False,saccharide_glycan,nucleic_purine,0.5,0.5,1,2,False,True,0.6931,0.333,False,0.1713,0.4186,0.0588,nucleic_purine,saccharide_glycan,c19,c21,carboxylate_organic_acid,glycan_co_network,0.0169,0.1113,0.3737,0.2071,Q4 poor transfer (both)
hydroxyproline,amino_acid,aromatic_amino_acid|protein_peptide,3,5,0.241,Poor,0.8238,Excellent,-0.5354,-0.5228,-0.0126,False,27,False,saccharide_glycan,nucleic_purine,0.5,0.2,2,4,False,False,0.6319,0.0,False,0.1762,0.5342,0.084,nucleic_purine,saccharide_glycan,c19,c11,carboxylate_organic_acid,aromatic_ring_residue,0.0382,0.1242,0.392,0.2034,Q4 poor transfer (both)
arginine,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.4943,Moderate,0.8175,Excellent,-0.9317,-0.8089,-0.1228,False,46,False,saccharide_glycan,nucleic_purine,0.5,0.5,6,4,False,False,0.7433,0.333,False,0.1825,0.452,0.0709,nucleic_purine,lipid_acyl,c23,c21,carboxylate_organic_acid,glycan_co_network,0.0204,0.2065,0.3544,0.1856,Q4 poor transfer (both)
glycine,amino_acid,aromatic_amino_acid|protein_peptide,5,5,0.2465,Poor,0.8118,Excellent,-0.2531,-0.3689,0.1158,False,8,False,sulfur_antioxidant,nucleic_purine,0.5,0.2,3,4,False,False,0.8973,0.333,False,0.1882,0.5704,0.0962,nucleic_purine,sulfur_antioxidant,c23,c9,carboxylate_organic_acid,flavin_redox_cofactor,0.0152,0.1254,0.4654,0.2117,Q4 poor transfer (both)
glycerol,polyol,saccharide_glycan,4,5,0.47,Moderate,0.8044,Excellent,-0.7601,-0.7348,-0.0253,False,23,False,saccharide_glycan,nucleic_purine,0.5,0.2,1,2,False,True,0.5963,0.0,False,0.1956,0.4481,0.0715,nucleic_purine,saccharide_glycan,c23,c11,carboxylate_organic_acid,glycan_co_network,0.0363,0.096,0.3066,0.2084,Q4 poor transfer (both)
lactate,organic_acid,organic_acid_metabolism,3,5,0.402,Weak,0.7821,Good,-0.6338,-0.538,-0.0958,False,40,False,saccharide_glycan,nucleic_purine,0.5,0.2,5,3,False,True,0.5653,0.0,False,0.2179,0.553,0.0877,nucleic_purine,saccharide_glycan,c19,c18,sulfur_heterocycle_thione,glycan_co_network,0.0055,0.1239,0.4515,0.2115,Q4 poor transfer (both)
fructose,saccharide,saccharide_glycan,3,5,0.3411,Weak,0.7526,Good,-0.6003,-0.6484,0.0481,False,14,False,saccharide_glycan,nucleic_purine,0.5,0.5,1,2,False,True,0.5823,0.333,False,0.2474,0.6139,0.1153,nucleic_purine,saccharide_glycan,c19,c20,carboxylate_organic_acid,glycan_co_network,0.0032,0.1429,0.4569,0.1941,Q4 poor transfer (both)
thymine,pyrimidine,nucleic_pyrimidine,4,5,0.2704,Weak,0.7403,Good,0.5558,0.424,0.1317,False,8,True,nucleic_purine,nucleic_purine,0.5,0.2,2,8,False,False,0.5425,0.333,False,0.2597,0.6484,0.1449,saccharide_glycan,nucleic_pyrimidine,c23,c13,carboxylate_organic_acid,pyrimidine_ring,0.0951,0.1188,0.5233,0.2123,"Q2 latent redistribution, theme survives"
stearate,lipid,lipid_acyl|sterol_membrane,5,5,0.3209,Weak,0.5662,Moderate,0.0776,-0.2541,0.3318,False,5,False,lipid_acyl,nucleic_purine,0.5,0.5,1,5,False,False,0.3722,0.333,False,0.4338,0.7759,0.1894,organic_acid_metabolism,lipid_acyl,c23,c16,carboxylate_organic_acid,lipid_acyl_chain,0.0161,0.168,0.4868,0.2096,Q4 poor transfer (both)
triolein,lipid,lipid_acyl|sterol_membrane,5,5,0.3138,Weak,0.5219,Moderate,-0.3572,-0.4846,0.1274,False,8,False,lipid_acyl,nucleic_purine,0.5,0.2,1,6,False,False,0.3694,0.0,False,0.4781,0.7858,0.2197,nucleic_purine,lipid_acyl,c23,c1,carboxylate_organic_acid,lipid_acyl_chain,0.0042,0.1456,0.311,0.2033,Q4 poor transfer (both)
oleate,lipid,lipid_acyl|sterol_membrane,5,5,0.264,Weak,0.5072,Moderate,-0.4675,-0.4814,0.0139,False,15,False,lipid_acyl,nucleic_purine,0.5,0.2,1,6,False,False,0.3648,0.0,False,0.4928,0.793,0.2234,nucleic_purine,lipid_acyl,c19,c1,sulfur_heterocycle_thione,lipid_acyl_chain,0.0033,0.1173,0.3293,0.2078,Q4 poor transfer (both)
uracil,pyrimidine,nucleic_pyrimidine,4,5,0.0562,Poor,0.45,Weak,0.1591,0.0649,0.0942,False,12,False,nucleic_pyrimidine,nucleic_purine,0.5,0.2,1,8,False,False,0.4858,0.333,False,0.55,0.8929,0.2629,nucleic_purine,nucleic_pyrimidine,c23,c17,sulfur_heterocycle_thione,pyrimidine_ring,0.0318,0.1659,0.4517,0.2101,Q4 poor transfer (both)
