level,dim,effective_rank,compression_vs_spectrum,molecule_top1,class_top1,replicate_consistency,distance_spearman_vs_spectrum,knn_preservation_vs_spectrum
spectrum,676,21.860607973472302,1.0,0.7896440129449838,0.6076549707602339,0.9037465738727568,1.0,1.0
LSM,50,37.10528029557036,13.52,0.8058252427184466,0.8500233918128656,0.8914831290132745,0.6059060677295757,0.6176
CSM,49,35.552615766515075,13.795918367346939,0.7993527508090615,0.855140350877193,0.8932649217432332,0.5560598888095907,0.6144000000000001
theme,4,2.401148707815027,169.0,0.5533980582524272,0.4050000000000001,0.9790694061973956,0.6202219443620575,0.3525333333333333
BSV,4,2.401148707815027,169.0,0.5533980582524272,0.4050000000000001,0.9790694061973956,0.6202219443620575,0.3525333333333333
geometry,5,1.2678154443961553,135.2,0.49514563106796117,0.5413157894736841,0.9460385379408894,0.2746331052266222,0.3386666666666667
