level,dim,A_molecule_top1,A_molecule_top3,A_molecule_top5,A_molecule_mrr,A_n,B_class_top1,B_class_top3,B_class_mrr
L1_spectrum_raw,676,0.7896440129449838,0.8705501618122977,0.8932038834951457,0.8386967213579313,309,0.6076549707602339,0.6553450292397661,0.6582298800895363
L2_lsm,50,0.8058252427184466,0.8705501618122977,0.9158576051779935,0.852299206903575,309,0.8500233918128656,0.8850000000000001,0.8789911898081193
L3_csm,49,0.7993527508090615,0.8737864077669902,0.912621359223301,0.850264241353241,309,0.855140350877193,0.9005672514619883,0.8852846084590407
L4_theme,4,0.5533980582524272,0.6472491909385113,0.6990291262135923,0.6309241689646019,309,0.4050000000000001,0.5843684210526316,0.5335615094576666
L5_bsv,4,0.5533980582524272,0.6472491909385113,0.6990291262135923,0.6309241689646019,309,0.4050000000000001,0.5843684210526316,0.5335615094576666
L6_geometry,5,0.49514563106796117,0.5889967637540453,0.6245954692556634,0.5657007111547858,309,0.5413157894736841,0.6630877192982456,0.6257245725030044
