dataset,sample_id,label,matrix,substrate,role,raw_G01_purine_nucleotide,raw_G02_purine_metabolite,raw_G03_pyrimidine_nucleotide,raw_G04_nucleic_acid_phosphate,raw_G05_glycan_carbohydrate,raw_G06_protein_peptide_backbone,raw_G07_aromatic_residue,raw_G08_lipid_acyl_membrane,raw_G09_sterol_neutral_lipid,raw_G10_sulfur_thiol_redox,raw_G11_metabolic_small_molecule,global_G01_purine_nucleotide,globaldisp_G01_purine_nucleotide,global_G02_purine_metabolite,globaldisp_G02_purine_metabolite,global_G03_pyrimidine_nucleotide,globaldisp_G03_pyrimidine_nucleotide,global_G04_nucleic_acid_phosphate,globaldisp_G04_nucleic_acid_phosphate,global_G05_glycan_carbohydrate,globaldisp_G05_glycan_carbohydrate,global_G06_protein_peptide_backbone,globaldisp_G06_protein_peptide_backbone,global_G07_aromatic_residue,globaldisp_G07_aromatic_residue,global_G08_lipid_acyl_membrane,globaldisp_G08_lipid_acyl_membrane,global_G09_sterol_neutral_lipid,globaldisp_G09_sterol_neutral_lipid,global_G10_sulfur_thiol_redox,globaldisp_G10_sulfur_thiol_redox,global_G11_metabolic_small_molecule,globaldisp_G11_metabolic_small_molecule,concentration_ng_mL,concentration_uM
serum_liver,SER-CCA-1,CCA,serum,Ag colloid SERS,biological_range,0.00607244109509579,0.015505928607117029,0.004738142610208208,0.003512446944961835,0.05582914326008542,0.023704559816373427,0.32222809850926976,0.051094797047317134,0.05654359561529444,0.03829959809091878,0.08129727813460082,0.009279769965264001,0.009279769965264001,-0.18234903974274977,-0.18234903974274977,0.010932779854008149,0.010932779854008149,-0.02260247163760648,-0.02260247163760648,-0.4519079766828459,-0.4519079766828459,-0.9072779682372277,-0.9072779682372277,0.9250505112407246,0.9250505112407246,0.05288327557187132,0.05288327557187132,-0.21745000466429487,-0.21745000466429487,-0.6233522789322891,-0.6233522789322891,0.5242258377942559,0.5242258377942559,,
serum_liver,SER-CCA-10,CCA,serum,Ag colloid SERS,biological_range,0.0069032617234243854,0.03509386548316112,0.004159260428975989,0.04039778080155671,0.2020252754746826,0.04798577362646863,0.23087499919044382,0.046739102024896444,0.06093691325745529,0.027657947474832984,0.06018877747368133,0.05082080138169376,0.05082080138169376,0.7970478040594546,0.7970478040594546,-0.01801132920760278,-0.01801132920760278,1.8216642211921374,1.8216642211921374,4.687176141578596,4.0,0.24959449602348185,0.24959449602348185,-0.5861311658982497,-0.5861311658982497,-0.16490147554916318,-0.16490147554916318,-0.09265182695751231,-0.09265182695751231,-1.1385747441351637,-1.1385747441351637,-0.5311991952517185,-0.5311991952517185,,
serum_liver,SER-CCA-11,CCA,serum,Ag colloid SERS,biological_range,0.004164274357456442,0.015629178312929645,0.0029594796358918827,0.061336751942433064,0.10042242118148635,0.019397123686017138,0.2867354596044622,0.035729676337654316,0.03583147524129433,0.029211729968236035,0.052287167564643404,-0.08612856691670341,-0.08612856691670341,-0.17618655445211898,-0.17618655445211898,-0.0780003688618081,-0.0780003688618081,2.868612778235955,2.868612778235955,1.115634220744785,1.115634220744785,-1.1125047040068823,-1.1125047040068823,0.33792400993764377,0.33792400993764377,-0.7153727599112696,-0.7153727599112696,-0.8058060238861124,-0.8058060238861124,-1.0633473498594959,-1.0633473498594959,-0.9262796907036147,-0.9262796907036147,,
serum_liver,SER-CCA-12,CCA,serum,Ag colloid SERS,biological_range,0.004174799087801869,0.02140985928932992,0.003009675827947535,0.08056300051912448,0.1251147080721934,0.020960399146049576,0.2628774446779259,0.0376309801478999,0.0313738003738895,0.02803018890293366,0.0466290330322736,-0.08560233039943206,-0.08560233039943206,0.11284749436789483,0.11284749436789483,-0.07549055925902548,-0.07549055925902548,3.8299252070705254,3.8299252070705254,1.983617097455375,1.983617097455375,-1.0380228289280462,-1.0380228289280462,-0.056740158861496796,-0.056740158861496796,-0.6203075693989902,-0.6203075693989902,-0.9324323563239887,-0.9324323563239887,-1.120552432263097,-1.120552432263097,-1.209186417322105,-1.209186417322105,,
serum_liver,SER-CCA-13,CCA,serum,Ag colloid SERS,biological_range,0.004677290061740166,0.010638933800647002,0.0031222874009261326,0.0299600426015826,0.05739106708313708,0.019961281114331045,0.2976044380724116,0.04380519737771861,0.05602689326598294,0.03961643365947601,0.06410775946068199,-0.060477781702517226,-0.060477781702517226,-0.4256987800662511,-0.4256987800662511,-0.0698599806100956,-0.0698599806100956,1.2997773111934317,1.2997773111934317,-0.3970032552556295,-0.3970032552556295,-1.0856255619907964,-1.0856255619907964,0.5177208776132474,0.5177208776132474,-0.3115967079080548,-0.3115967079080548,-0.23212763939574874,-0.23212763939574874,-0.5595968247856054,-0.5595968247856054,-0.3352500959016853,-0.3352500959016853,,
serum_liver,SER-CCA-14,CCA,serum,Ag colloid SERS,biological_range,0.004192224973124182,0.013654895545126023,0.002837276230403875,0.012086525855299114,0.05153576975482668,0.019619981355081997,0.2921833506139475,0.040286833204025825,0.034123089415486835,0.02888760355881531,0.05202422282947435,-0.08473103613331638,-0.08473103613331638,-0.27490069284230007,-0.27490069284230007,-0.08411053913620849,-0.08411053913620849,0.4061014738792574,0.4061014738792574,-0.6028285739682276,-0.6028285739682276,-1.1018867051371852,-1.1018867051371852,0.42804413869049274,0.42804413869049274,-0.4875149165926941,-0.4875149165926941,-0.8543350525715978,-0.8543350525715978,-1.0790401416757083,-1.0790401416757083,-0.9394269274620674,-0.9394269274620674,,
serum_liver,SER-CCA-15,CCA,serum,Ag colloid SERS,biological_range,0.004723515310933226,0.014897933790107206,0.004036959897810992,0.050781144262998644,0.07550879498399934,0.015302050469732969,0.28261215146281093,0.024564110754004474,0.02915563237764813,0.04382371445988008,0.05724939697703435,-0.05816651924286419,-0.05816651924286419,-0.21274878059324093,-0.21274878059324093,-0.024126355765852637,-0.024126355765852637,2.340832394264234,2.340832394264234,0.23987082823675798,0.23987082823675798,-1.307613460929118,-1.307613460929118,0.2697154022459153,0.2697154022459153,-1.2736510390937616,-1.2736510390937616,-0.9954424426245717,-0.9954424426245717,-0.3558985768363388,-0.3558985768363388,-0.6781682200840674,-0.6781682200840674,,
serum_liver,SER-CCA-16,CCA,serum,Ag colloid SERS,biological_range,0.008282305146398314,0.02786798116695623,0.008355417048351795,0.07279475751518874,0.0841405988981377,0.01678363440351375,0.2559604351594628,0.010538755200812468,0.013966611860223306,0.07942785884755614,0.06437299326295373,0.11977297253039018,0.11977297253039018,0.4357535882492103,0.4357535882492103,0.1917965017611875,0.1917965017611875,3.4415130568737387,3.4415130568737387,0.5432958623681755,0.5432958623681755,-1.237023758540787,-1.237023758540787,-0.17116274685072744,-0.17116274685072744,-1.974918816753362,-1.974918816753362,-1.4269072799344504,-1.4269072799344504,1.3678993286435595,1.3678993286435595,-0.3219884057880984,-0.3219884057880984,,
serum_liver,SER-CCA-17,CCA,serum,Ag colloid SERS,biological_range,0.010830887775134045,0.03565075694794479,0.010759534051347266,0.02769464057617026,0.0656154494145251,0.025877016871382982,0.21994778076792648,0.028545812585445578,0.01455674616180839,0.10272653525203253,0.08220835599175637,0.2472021039671767,0.2472021039671767,0.8248923772986383,0.8248923772986383,0.3120023519109611,0.3120023519109611,1.1865072099228147,1.1865072099228147,-0.10789989813188948,-0.10789989813188948,-0.8037717857874627,-0.8037717857874627,-0.7668914508292796,-0.7668914508292796,-1.0745659475217064,-1.0745659475217064,-1.4101437104776653,-1.4101437104776653,2.495919964364607,2.495919964364607,0.5697797306520335,0.5697797306520335,,
serum_liver,SER-CCA-19,CCA,serum,Ag colloid SERS,biological_range,0.007061881446625641,0.019836541843038163,0.006428582509618542,0.0882278742759512,0.10640180357304414,0.021897492622935284,0.2735152722536268,0.02644800055441698,0.010842445879253742,0.058646641582725194,0.08959881560357069,0.058751787541756535,0.058751787541756535,0.03418162205330692,0.03418162205330692,0.09545477482452487,0.09545477482452487,4.2131688949118615,4.0,1.3258213756303956,1.3258213756303956,-0.9933752405362055,-0.9933752405362055,0.11923296341712618,0.11923296341712618,-1.1794565490731364,-1.1794565490731364,-1.515653474276719,-1.515653474276719,0.36176312145421197,0.36176312145421197,0.9393027112427496,0.9393027112427496,,
serum_liver,SER-CCA-2,CCA,serum,Ag colloid SERS,biological_range,0.006481349470542521,0.015405575773939953,0.004867010865814546,0.0035728215828911463,0.05334808302415993,0.023385341369275784,0.3041049071020318,0.05885194413799672,0.053156950327586085,0.03545879210479994,0.07873963915453513,0.029725188737600525,0.029725188737600525,-0.18736668140160354,-0.18736668140160354,0.01737619263432505,0.01737619263432505,-0.019583739741140926,-0.019583739741140926,-0.5391221667010796,-0.5391221667010796,-0.9224870526932029,-0.9224870526932029,0.6252529675326862,0.6252529675326862,0.4407406301058507,0.4407406301058507,-0.31365228159262254,-0.31365228159262254,-0.7608917562309326,-0.7608917562309326,0.39634388879097177,0.39634388879097177,,
