chemical_class,molecule,band_cm,observed,reconstructed,residual
fatty_acid,lauric acid,1656.0,0.01686,0.0097,0.00717
fatty_acid,linoleic acid,838.0,0.02622,0.01813,0.00809
fatty_acid,linoleic acid,970.0,0.03537,0.02671,0.00866
fatty_acid,linoleic acid,1074.0,0.03365,0.03019,0.00346
fatty_acid,linoleic acid,1260.0,0.08719,0.08983,-0.00264
fatty_acid,linoleic acid,1302.0,0.06032,0.06044,-0.00012
fatty_acid,linoleic acid,1438.0,0.13347,0.12973,0.00374
fatty_acid,linoleic acid,1652.0,0.26589,0.2613,0.00459
fatty_acid,myristic acid,892.0,0.08252,0.06787,0.01465
fatty_acid,myristic acid,986.0,0.01166,0.00256,0.00911
fatty_acid,myristic acid,1062.0,0.20906,0.18731,0.02175
fatty_acid,myristic acid,1092.0,0.04286,0.01002,0.03284
fatty_acid,myristic acid,1128.0,0.18952,0.21217,-0.02265
fatty_acid,myristic acid,1176.0,0.01225,0.0202,-0.00794
fatty_acid,myristic acid,1296.0,0.22222,0.23721,-0.01499
fatty_acid,myristic acid,1370.0,0.00955,0.00915,0.0004
fatty_acid,myristic acid,1436.0,0.14187,0.13721,0.00466
fatty_acid,myristic acid,1458.0,0.0747,0.07089,0.00381
fatty_acid,myristic acid,1628.0,0.01405,0.0127,0.00135
fatty_acid,oleate,728.0,0.01119,0.0081,0.00309
fatty_acid,oleate,860.0,0.03829,0.02368,0.01461
fatty_acid,oleate,972.0,0.01883,0.01685,0.00198
fatty_acid,oleate,1084.0,0.0792,0.03906,0.04014
fatty_acid,oleate,1120.0,0.02435,0.02422,0.00013
fatty_acid,oleate,1268.0,0.05829,0.04914,0.00915
fatty_acid,oleate,1302.0,0.11826,0.09577,0.02249
fatty_acid,oleate,1440.0,0.20562,0.22545,-0.01983
fatty_acid,oleate,1656.0,0.15902,0.14343,0.01558
fatty_acid,palmitic acid,672.0,0.01154,0.00841,0.00313
fatty_acid,palmitic acid,894.0,0.06384,0.05268,0.01116
fatty_acid,palmitic acid,1064.0,0.16635,0.17762,-0.01127
fatty_acid,palmitic acid,1100.0,0.04346,0.01731,0.02615
fatty_acid,palmitic acid,1130.0,0.20273,0.16905,0.03367
fatty_acid,palmitic acid,1176.0,0.01812,0.01868,-0.00056
fatty_acid,palmitic acid,1298.0,0.2084,0.21194,-0.00354
fatty_acid,palmitic acid,1370.0,0.01103,0.00942,0.00161
fatty_acid,palmitic acid,1422.0,0.09619,0.06264,0.03356
fatty_acid,palmitic acid,1438.0,0.16586,0.15482,0.01104
fatty_acid,palmitic acid,1466.0,0.09774,0.0956,0.00215
fatty_acid,palmitic acid,1644.0,0.01091,0.00799,0.00291
fatty_acid,palmitoleic acid,892.0,0.03156,0.01694,0.01462
fatty_acid,palmitoleic acid,1018.0,0.01764,0.01233,0.00531
fatty_acid,palmitoleic acid,1084.0,0.06227,0.04056,0.02172
fatty_acid,palmitoleic acid,1264.0,0.05416,0.06702,-0.01285
fatty_acid,palmitoleic acid,1306.0,0.08996,0.0831,0.00686
fatty_acid,palmitoleic acid,1442.0,0.18645,0.20373,-0.01728
fatty_acid,palmitoleic acid,1654.0,0.20365,0.19151,0.01215
fatty_acid,stearate,556.0,0.0152,0.00351,0.01169
fatty_acid,stearate,848.0,0.02821,0.00686,0.02136
fatty_acid,stearate,866.0,0.04238,0.00863,0.03374
fatty_acid,stearate,890.0,0.03004,0.03902,-0.00898
fatty_acid,stearate,1062.0,0.1575,0.1503,0.0072
fatty_acid,stearate,1100.0,0.04552,0.03966,0.00587
fatty_acid,stearate,1130.0,0.13277,0.11766,0.01511
fatty_acid,stearate,1174.0,0.03314,0.01615,0.01699
fatty_acid,stearate,1296.0,0.19136,0.19271,-0.00135
fatty_acid,stearate,1418.0,0.07224,0.04854,0.0237
fatty_acid,stearate,1442.0,0.25051,0.20426,0.04625
fatty_acid,stearate,1462.0,0.14434,0.11782,0.02652
fatty_acid,vaccenic acid,720.0,0.01261,0.00757,0.00503
fatty_acid,vaccenic acid,858.0,0.03654,0.0231,0.01344
fatty_acid,vaccenic acid,888.0,0.03857,0.02223,0.01634
fatty_acid,vaccenic acid,972.0,0.0199,0.0163,0.0036
fatty_acid,vaccenic acid,1020.0,0.01916,0.01222,0.00695
fatty_acid,vaccenic acid,1080.0,0.06136,0.04026,0.0211
fatty_acid,vaccenic acid,1208.0,0.01109,0.00513,0.00596
fatty_acid,vaccenic acid,1266.0,0.06285,0.04928,0.01357
fatty_acid,vaccenic acid,1302.0,0.12681,0.09382,0.03299
fatty_acid,vaccenic acid,1440.0,0.2222,0.23751,-0.01531
fatty_acid,vaccenic acid,1656.0,0.15612,0.13897,0.01715
fatty_acid,α-linolenic acid,726.0,0.01387,0.01126,0.00261
fatty_acid,α-linolenic acid,866.0,0.04805,0.02965,0.01841
fatty_acid,α-linolenic acid,970.0,0.03226,0.02849,0.00378
fatty_acid,α-linolenic acid,1068.0,0.02693,0.01784,0.00909
fatty_acid,α-linolenic acid,1262.0,0.1251,0.09852,0.02658
fatty_acid,α-linolenic acid,1438.0,0.08669,0.08292,0.00377
fatty_acid,α-linolenic acid,1652.0,0.27449,0.28563,-0.01114
free_amino_acid,alanine,532.0,0.12646,0.06198,0.06447
free_amino_acid,alanine,652.0,0.03972,0.0174,0.02232
free_amino_acid,alanine,774.0,0.04081,0.02458,0.01624
free_amino_acid,alanine,850.0,0.2738,0.28321,-0.0094
free_amino_acid,alanine,920.0,0.04428,0.03993,0.00434
free_amino_acid,alanine,1020.0,0.08431,0.03512,0.04919
free_amino_acid,alanine,1114.0,0.07353,0.02694,0.04659
free_amino_acid,alanine,1148.0,0.04672,0.01958,0.02714
free_amino_acid,alanine,1236.0,0.01575,0.0145,0.00125
free_amino_acid,alanine,1306.0,0.11998,0.04382,0.07616
free_amino_acid,alanine,1360.0,0.1619,0.07866,0.08323
free_amino_acid,alanine,1412.0,0.07431,0.04569,0.02862
free_amino_acid,arginine,490.0,0.03247,0.02778,0.00469
free_amino_acid,arginine,552.0,0.06717,0.05167,0.0155
free_amino_acid,arginine,576.0,0.04106,0.02752,0.01354
free_amino_acid,arginine,612.0,0.05255,0.0339,0.01865
free_amino_acid,arginine,850.0,0.04847,0.02605,0.02242
free_amino_acid,arginine,880.0,0.03812,0.03111,0.00701
free_amino_acid,arginine,922.0,0.04331,0.06291,-0.0196
free_amino_acid,arginine,982.0,0.23157,0.15958,0.07199
free_amino_acid,arginine,1032.0,0.02789,0.03008,-0.00219
free_amino_acid,arginine,1068.0,0.14543,0.10578,0.03965
free_amino_acid,arginine,1100.0,0.07795,0.05398,0.02397
free_amino_acid,arginine,1190.0,0.0514,0.03594,0.01546
free_amino_acid,asparagine,548.0,0.07965,0.07383,0.00581
free_amino_acid,asparagine,586.0,0.0368,0.0168,0.02
free_amino_acid,asparagine,666.0,0.01221,0.02053,-0.00832
free_amino_acid,asparagine,758.0,0.07763,0.08207,-0.00444
free_amino_acid,asparagine,882.0,0.04653,0.03079,0.01574
free_amino_acid,asparagine,900.0,0.02554,0.00236,0.02318
free_amino_acid,asparagine,948.0,0.18895,0.13415,0.0548
free_amino_acid,asparagine,990.0,0.02995,0.01203,0.01791
free_amino_acid,asparagine,1078.0,0.08809,0.05224,0.03585
free_amino_acid,asparagine,1118.0,0.074,0.04969,0.02431
free_amino_acid,asparagine,1166.0,0.10907,0.04511,0.06397
free_amino_acid,asparagine,1270.0,0.04791,0.01953,0.02838
free_amino_acid,aspartate,460.0,0.02991,0.01962,0.01029
free_amino_acid,aspartate,554.0,0.04347,0.03282,0.01065
free_amino_acid,aspartate,598.0,0.023,0.00866,0.01434
free_amino_acid,aspartate,664.0,0.01056,0.01928,-0.00872
free_amino_acid,aspartate,784.0,0.07313,0.02093,0.0522
free_amino_acid,aspartate,804.0,0.03505,0.01602,0.01903
free_amino_acid,aspartate,826.0,0.05752,0.02875,0.02877
free_amino_acid,aspartate,868.0,0.07059,0.04012,0.03048
free_amino_acid,aspartate,896.0,0.02686,0.03358,-0.00671
free_amino_acid,aspartate,940.0,0.13608,0.07498,0.0611
free_amino_acid,aspartate,992.0,0.02566,0.02015,0.00551
free_amino_acid,aspartate,1084.0,0.05342,0.03078,0.02263
free_amino_acid,cysteine,452.0,0.06178,0.05664,0.00514
free_amino_acid,cysteine,536.0,0.06131,0.06148,-0.00016
free_amino_acid,cysteine,640.0,0.29846,0.27591,0.02255
free_amino_acid,cysteine,692.0,0.20188,0.18558,0.0163
free_amino_acid,cysteine,772.0,0.07069,0.06423,0.00646
free_amino_acid,cysteine,822.0,0.06555,0.05727,0.00828
free_amino_acid,cysteine,868.0,0.04982,0.05946,-0.00964
free_amino_acid,cysteine,942.0,0.04956,0.03562,0.01394
free_amino_acid,cysteine,1006.0,0.03273,0.03155,0.00118
free_amino_acid,cysteine,1066.0,0.03491,0.02709,0.00782
free_amino_acid,cysteine,1106.0,0.01779,0.01172,0.00607
free_amino_acid,cysteine,1200.0,0.06975,0.06043,0.00932
free_amino_acid,glutamate,502.0,0.04698,0.02157,0.02541
free_amino_acid,glutamate,538.0,0.06968,0.06142,0.00826
free_amino_acid,glutamate,576.0,0.01858,0.00981,0.00877
free_amino_acid,glutamate,666.0,0.01625,0.01821,-0.00196
free_amino_acid,glutamate,708.0,0.02761,0.01562,0.01199
free_amino_acid,glutamate,764.0,0.04416,0.03444,0.00972
free_amino_acid,glutamate,804.0,0.04123,0.01833,0.0229
free_amino_acid,glutamate,866.0,0.18178,0.04299,0.13878
free_amino_acid,glutamate,920.0,0.10212,0.04361,0.05851
free_amino_acid,glutamate,942.0,0.07546,0.05666,0.0188
free_amino_acid,glutamate,970.0,0.02295,0.0201,0.00286
free_amino_acid,glutamate,1000.0,0.01535,0.01036,0.00499
free_amino_acid,glycine,504.0,0.09868,0.06739,0.03129
free_amino_acid,glycine,602.0,0.03729,0.02654,0.01075
free_amino_acid,glycine,694.0,0.03289,0.02071,0.01218
free_amino_acid,glycine,894.0,0.28585,0.24848,0.03736
free_amino_acid,glycine,1036.0,0.05283,0.07346,-0.02063
free_amino_acid,glycine,1138.0,0.02382,0.01926,0.00456
free_amino_acid,glycine,1326.0,0.18943,0.11167,0.07776
free_amino_acid,glycine,1412.0,0.08046,0.06361,0.01684
free_amino_acid,glycine,1442.0,0.06131,0.06055,0.00076
free_amino_acid,glycine,1570.0,0.02114,0.01146,0.00968
free_amino_acid,histidine,538.0,0.03422,0.03341,0.00081
free_amino_acid,histidine,624.0,0.03312,0.01736,0.01576
free_amino_acid,histidine,654.0,0.05749,0.02892,0.02857
free_amino_acid,histidine,728.0,0.02581,0.01863,0.00718
free_amino_acid,histidine,780.0,0.02767,0.00784,0.01983
free_amino_acid,histidine,804.0,0.03646,0.02068,0.01578
free_amino_acid,histidine,852.0,0.08368,0.10174,-0.01806
free_amino_acid,histidine,926.0,0.07252,0.05088,0.02165
free_amino_acid,histidine,976.0,0.07615,0.08353,-0.00738
free_amino_acid,histidine,1062.0,0.05995,0.06725,-0.0073
free_amino_acid,histidine,1088.0,0.09303,0.05035,0.04268
free_amino_acid,histidine,1114.0,0.05764,0.02549,0.03214
free_amino_acid,hydroxyproline,466.0,0.04288,0.01707,0.0258
free_amino_acid,hydroxyproline,618.0,0.02637,0.01874,0.00763
free_amino_acid,hydroxyproline,758.0,0.03103,0.00223,0.0288
free_amino_acid,hydroxyproline,852.0,0.36257,0.30274,0.05983
free_amino_acid,hydroxyproline,880.0,0.05987,0.01454,0.04533
free_amino_acid,hydroxyproline,958.0,0.03982,0.0247,0.01512
free_amino_acid,hydroxyproline,1066.0,0.087,0.03353,0.05347
free_amino_acid,hydroxyproline,1186.0,0.04349,0.0217,0.02179
free_amino_acid,hydroxyproline,1226.0,0.03953,0.02138,0.01815
free_amino_acid,hydroxyproline,1282.0,0.03987,0.01532,0.02455
free_amino_acid,hydroxyproline,1324.0,0.08682,0.06178,0.02504
free_amino_acid,hydroxyproline,1354.0,0.05181,0.07038,-0.01857
free_amino_acid,isoleucine,452.0,0.01429,0.01871,-0.00442
free_amino_acid,isoleucine,490.0,0.04541,0.02148,0.02393
free_amino_acid,isoleucine,536.0,0.10076,0.05428,0.04648
free_amino_acid,isoleucine,556.0,0.06906,0.02782,0.04124
free_amino_acid,isoleucine,674.0,0.03289,0.01648,0.01641
free_amino_acid,isoleucine,710.0,0.04272,0.01808,0.02464
free_amino_acid,isoleucine,748.0,0.05934,0.02631,0.03303
free_amino_acid,isoleucine,768.0,0.05666,0.03035,0.02631
free_amino_acid,isoleucine,800.0,0.02838,0.02332,0.00506
free_amino_acid,isoleucine,824.0,0.07248,0.0532,0.01928
free_amino_acid,isoleucine,852.0,0.07851,0.09532,-0.01681
free_amino_acid,isoleucine,874.0,0.05611,0.03759,0.01852
free_amino_acid,leucine,456.0,0.08138,0.02591,0.05547
free_amino_acid,leucine,536.0,0.09859,0.06871,0.02988
free_amino_acid,leucine,670.0,0.04807,0.0186,0.02946
free_amino_acid,leucine,770.0,0.02681,0.03495,-0.00814
free_amino_acid,leucine,848.0,0.147,0.15505,-0.00805
free_amino_acid,leucine,922.0,0.07334,0.04649,0.02685
free_amino_acid,leucine,946.0,0.05354,0.06595,-0.01241
free_amino_acid,leucine,962.0,0.07022,0.03217,0.03805
free_amino_acid,leucine,1004.0,0.01656,0.00204,0.01452
free_amino_acid,leucine,1030.0,0.03361,0.02112,0.01249
free_amino_acid,leucine,1082.0,0.03986,0.02712,0.01274
free_amino_acid,leucine,1130.0,0.06112,0.03158,0.02954
free_amino_acid,methionine,452.0,0.02229,0.03098,-0.00869
free_amino_acid,methionine,544.0,0.0811,0.05922,0.02189
free_amino_acid,methionine,646.0,0.09617,0.07085,0.02532
free_amino_acid,methionine,682.0,0.07088,0.03714,0.03374
free_amino_acid,methionine,700.0,0.07761,0.04387,0.03373
free_amino_acid,methionine,720.0,0.23611,0.0527,0.1834
free_amino_acid,methionine,764.0,0.07043,0.03897,0.03145
free_amino_acid,methionine,804.0,0.03367,0.02572,0.00795
free_amino_acid,methionine,876.0,0.07985,0.0469,0.03295
free_amino_acid,methionine,954.0,0.03374,0.02183,0.01192
free_amino_acid,methionine,1034.0,0.02638,0.01802,0.00836
free_amino_acid,methionine,1070.0,0.04104,0.05051,-0.00946
free_amino_acid,phenylalanine,468.0,0.06549,0.04961,0.01588
free_amino_acid,phenylalanine,526.0,0.02208,0.02263,-0.00055
free_amino_acid,phenylalanine,622.0,0.06987,0.06103,0.00884
free_amino_acid,phenylalanine,748.0,0.05046,0.06066,-0.0102
free_amino_acid,phenylalanine,832.0,0.07223,0.0665,0.00573
free_amino_acid,phenylalanine,854.0,0.03805,0.03392,0.00412
free_amino_acid,phenylalanine,1004.0,0.40242,0.36298,0.03944
free_amino_acid,phenylalanine,1034.0,0.08881,0.07559,0.01322
free_amino_acid,phenylalanine,1158.0,0.03147,0.02242,0.00904
free_amino_acid,phenylalanine,1186.0,0.03671,0.02573,0.01098
free_amino_acid,phenylalanine,1214.0,0.07982,0.06827,0.01155
free_amino_acid,phenylalanine,1308.0,0.04333,0.04023,0.00311
free_amino_acid,proline,452.0,0.07815,0.03395,0.0442
free_amino_acid,proline,576.0,0.01754,0.01019,0.00735
free_amino_acid,proline,642.0,0.05289,0.03303,0.01986
free_amino_acid,proline,792.0,0.02646,0.01684,0.00962
free_amino_acid,proline,842.0,0.11504,0.06157,0.05347
free_amino_acid,proline,900.0,0.23571,0.15816,0.07755
free_amino_acid,proline,918.0,0.13029,0.06531,0.06498
free_amino_acid,proline,952.0,0.04292,0.00764,0.03528
free_amino_acid,proline,986.0,0.04627,0.0273,0.01897
free_amino_acid,proline,1034.0,0.08771,0.06612,0.02159
free_amino_acid,proline,1056.0,0.07414,0.03571,0.03843
free_amino_acid,proline,1084.0,0.04089,0.01871,0.02218
free_amino_acid,serine,514.0,0.09204,0.03121,0.06082
free_amino_acid,serine,610.0,0.07921,0.02833,0.05088
free_amino_acid,serine,812.0,0.08521,0.02759,0.05762
free_amino_acid,serine,852.0,0.27397,0.26822,0.00574
free_amino_acid,serine,922.0,0.03397,0.04331,-0.00934
free_amino_acid,serine,970.0,0.06394,0.02665,0.03729
free_amino_acid,serine,1008.0,0.0909,0.07396,0.01694
free_amino_acid,serine,1126.0,0.03642,0.01658,0.01984
free_amino_acid,serine,1218.0,0.03568,0.02272,0.01297
free_amino_acid,serine,1300.0,0.04523,0.03297,0.01226
free_amino_acid,serine,1326.0,0.11482,0.05978,0.05504
free_amino_acid,serine,1414.0,0.04799,0.03839,0.0096
free_amino_acid,tryptophan,534.0,0.03248,0.04185,-0.00937
free_amino_acid,tryptophan,576.0,0.03392,0.01009,0.02383
free_amino_acid,tryptophan,594.0,0.03616,0.01361,0.02255
free_amino_acid,tryptophan,626.0,0.02219,0.02098,0.00121
free_amino_acid,tryptophan,706.0,0.02701,0.01415,0.01286
free_amino_acid,tryptophan,756.0,0.20732,0.0824,0.12492
free_amino_acid,tryptophan,802.0,0.01976,0.01268,0.00709
free_amino_acid,tryptophan,874.0,0.08595,0.03905,0.0469
free_amino_acid,tryptophan,926.0,0.01199,0.02675,-0.01476
free_amino_acid,tryptophan,986.0,0.01916,0.0074,0.01176
free_amino_acid,tryptophan,1010.0,0.2054,0.1092,0.0962
free_amino_acid,tryptophan,1076.0,0.02839,0.02818,0.0002
free_amino_acid,tyrosine,490.0,0.0269,0.02127,0.00563
free_amino_acid,tyrosine,526.0,0.02804,0.02258,0.00547
free_amino_acid,tyrosine,642.0,0.09854,0.09189,0.00665
free_amino_acid,tyrosine,714.0,0.02791,0.02284,0.00508
free_amino_acid,tyrosine,796.0,0.06066,0.05439,0.00627
free_amino_acid,tyrosine,828.0,0.36328,0.33758,0.0257
free_amino_acid,tyrosine,846.0,0.10702,0.11112,-0.0041
free_amino_acid,tyrosine,984.0,0.06731,0.06096,0.00635
free_amino_acid,tyrosine,1044.0,0.03726,0.042,-0.00475
free_amino_acid,tyrosine,1178.0,0.11965,0.12161,-0.00196
free_amino_acid,tyrosine,1200.0,0.08315,0.07623,0.00693
free_amino_acid,tyrosine,1214.0,0.05863,0.04778,0.01085
free_amino_acid,valine,472.0,0.01436,0.01086,0.0035
free_amino_acid,valine,540.0,0.19888,0.08214,0.11674
free_amino_acid,valine,664.0,0.03672,0.02002,0.0167
free_amino_acid,valine,716.0,0.03331,0.02086,0.01245
free_amino_acid,valine,754.0,0.05491,0.05689,-0.00199
free_amino_acid,valine,776.0,0.11901,0.04636,0.07264
free_amino_acid,valine,824.0,0.06305,0.0518,0.01125
free_amino_acid,valine,850.0,0.08964,0.08764,0.002
free_amino_acid,valine,902.0,0.03664,0.01867,0.01797
free_amino_acid,valine,946.0,0.14419,0.10278,0.0414
free_amino_acid,valine,964.0,0.07203,0.0309,0.04113
free_amino_acid,valine,1034.0,0.03216,0.01375,0.01841
mono_oligosaccharide,(+)-arabinose,512.0,0.03525,0.04784,-0.0126
mono_oligosaccharide,(+)-arabinose,580.0,0.04612,0.05183,-0.00571
mono_oligosaccharide,(+)-arabinose,612.0,0.04336,0.04289,0.00046
mono_oligosaccharide,(+)-arabinose,700.0,0.06937,0.07016,-0.00079
mono_oligosaccharide,(+)-arabinose,844.0,0.27165,0.28966,-0.01801
mono_oligosaccharide,(+)-arabinose,898.0,0.02286,0.01159,0.01126
mono_oligosaccharide,(+)-arabinose,928.0,0.05418,0.04293,0.01125
mono_oligosaccharide,(+)-arabinose,994.0,0.06418,0.05376,0.01042
mono_oligosaccharide,(+)-arabinose,1052.0,0.06044,0.07169,-0.01125
mono_oligosaccharide,(+)-arabinose,1096.0,0.05613,0.06099,-0.00486
mono_oligosaccharide,(+)-arabinose,1138.0,0.05834,0.04671,0.01163
mono_oligosaccharide,(+)-arabinose,1258.0,0.13906,0.11744,0.02163
mono_oligosaccharide,(+)-fucose,530.0,0.07631,0.1165,-0.04019
mono_oligosaccharide,(+)-fucose,598.0,0.01431,0.02325,-0.00895
mono_oligosaccharide,(+)-fucose,620.0,0.02002,0.03431,-0.01428
mono_oligosaccharide,(+)-fucose,670.0,0.08299,0.02634,0.05664
mono_oligosaccharide,(+)-fucose,700.0,0.03064,0.01268,0.01796
mono_oligosaccharide,(+)-fucose,774.0,0.04909,0.01452,0.03456
mono_oligosaccharide,(+)-fucose,816.0,0.17606,0.06626,0.1098
mono_oligosaccharide,(+)-fucose,878.0,0.21736,0.1238,0.09356
mono_oligosaccharide,(+)-fucose,914.0,0.02569,0.01741,0.00829
mono_oligosaccharide,(+)-fucose,964.0,0.0548,0.01756,0.03724
mono_oligosaccharide,(+)-fucose,998.0,0.09789,0.02917,0.06872
mono_oligosaccharide,(+)-fucose,1028.0,0.04949,0.02531,0.02418
mono_oligosaccharide,(+)-galactosamine,462.0,0.06056,0.0507,0.00986
mono_oligosaccharide,(+)-galactosamine,530.0,0.22695,0.18558,0.04137
mono_oligosaccharide,(+)-galactosamine,606.0,0.03439,0.03513,-0.00074
mono_oligosaccharide,(+)-galactosamine,660.0,0.01615,0.02753,-0.01138
mono_oligosaccharide,(+)-galactosamine,706.0,0.01352,0.02232,-0.0088
mono_oligosaccharide,(+)-galactosamine,872.0,0.17942,0.16075,0.01867
mono_oligosaccharide,(+)-galactosamine,948.0,0.06382,0.05129,0.01253
mono_oligosaccharide,(+)-galactosamine,998.0,0.02067,0.04704,-0.02637
mono_oligosaccharide,(+)-galactosamine,1020.0,0.06971,0.04356,0.02616
mono_oligosaccharide,(+)-galactosamine,1038.0,0.02213,0.02138,0.00075
mono_oligosaccharide,(+)-galactosamine,1062.0,0.07504,0.09297,-0.01793
mono_oligosaccharide,(+)-galactosamine,1096.0,0.03549,0.03587,-0.00038
mono_oligosaccharide,(+)-galactose,462.0,0.04987,0.04358,0.00629
mono_oligosaccharide,(+)-galactose,528.0,0.15282,0.15311,-0.00029
mono_oligosaccharide,(+)-galactose,604.0,0.04684,0.03315,0.01368
mono_oligosaccharide,(+)-galactose,654.0,0.03533,0.01843,0.0169
mono_oligosaccharide,(+)-galactose,700.0,0.03421,0.02185,0.01236
mono_oligosaccharide,(+)-galactose,822.0,0.03465,0.03504,-0.00039
mono_oligosaccharide,(+)-galactose,872.0,0.15632,0.13067,0.02565
mono_oligosaccharide,(+)-galactose,936.0,0.05964,0.03692,0.02272
mono_oligosaccharide,(+)-galactose,996.0,0.03688,0.04089,-0.00401
mono_oligosaccharide,(+)-galactose,1020.0,0.05538,0.04258,0.0128
mono_oligosaccharide,(+)-galactose,1038.0,0.06802,0.03089,0.03713
mono_oligosaccharide,(+)-galactose,1062.0,0.12796,0.07859,0.04937
mono_oligosaccharide,(+)-glucose,542.0,0.1796,0.17449,0.00511
mono_oligosaccharide,(+)-glucose,650.0,0.03013,0.02508,0.00504
mono_oligosaccharide,(+)-glucose,772.0,0.03026,0.01682,0.01344
mono_oligosaccharide,(+)-glucose,842.0,0.13595,0.11448,0.02146
mono_oligosaccharide,(+)-glucose,916.0,0.09948,0.0933,0.00619
mono_oligosaccharide,(+)-glucose,1022.0,0.04129,0.03297,0.00832
mono_oligosaccharide,(+)-glucose,1074.0,0.11176,0.08856,0.02321
mono_oligosaccharide,(+)-glucose,1120.0,0.13163,0.13339,-0.00177
mono_oligosaccharide,(+)-glucose,1150.0,0.0474,0.06815,-0.02075
mono_oligosaccharide,(+)-glucose,1206.0,0.01269,0.01426,-0.00157
mono_oligosaccharide,(+)-glucose,1272.0,0.04211,0.04265,-0.00054
mono_oligosaccharide,(+)-glucose,1346.0,0.11357,0.07715,0.03642
mono_oligosaccharide,(+)-lactose,478.0,0.14022,0.03791,0.1023
mono_oligosaccharide,(+)-lactose,554.0,0.03472,0.04483,-0.01011
mono_oligosaccharide,(+)-lactose,632.0,0.03623,0.03157,0.00466
mono_oligosaccharide,(+)-lactose,700.0,0.01385,0.01444,-0.00059
mono_oligosaccharide,(+)-lactose,778.0,0.01907,0.01045,0.00862
mono_oligosaccharide,(+)-lactose,850.0,0.08811,0.07375,0.01436
mono_oligosaccharide,(+)-lactose,876.0,0.07622,0.04047,0.03575
mono_oligosaccharide,(+)-lactose,914.0,0.09979,0.04581,0.05398
mono_oligosaccharide,(+)-lactose,952.0,0.0425,0.01037,0.03213
mono_oligosaccharide,(+)-lactose,1020.0,0.09984,0.04138,0.05845
mono_oligosaccharide,(+)-lactose,1052.0,0.09306,0.04847,0.04459
mono_oligosaccharide,(+)-lactose,1086.0,0.1545,0.06556,0.08894
mono_oligosaccharide,(+)-maltose,462.0,0.16614,0.03726,0.12888
mono_oligosaccharide,(+)-maltose,520.0,0.06699,0.05963,0.00735
mono_oligosaccharide,(+)-maltose,552.0,0.15263,0.07701,0.07562
mono_oligosaccharide,(+)-maltose,644.0,0.02711,0.02149,0.00562
mono_oligosaccharide,(+)-maltose,718.0,0.01005,0.00679,0.00327
mono_oligosaccharide,(+)-maltose,780.0,0.01241,0.00699,0.00543
mono_oligosaccharide,(+)-maltose,848.0,0.05075,0.04613,0.00462
mono_oligosaccharide,(+)-maltose,900.0,0.07527,0.03,0.04527
mono_oligosaccharide,(+)-maltose,1026.0,0.03788,0.0337,0.00418
mono_oligosaccharide,(+)-maltose,1064.0,0.06522,0.0509,0.01432
mono_oligosaccharide,(+)-maltose,1116.0,0.13027,0.10584,0.02443
mono_oligosaccharide,(+)-maltose,1150.0,0.11917,0.0635,0.05567
mono_oligosaccharide,(+)-mannose,476.0,0.0486,0.02158,0.02702
mono_oligosaccharide,(+)-mannose,498.0,0.06282,0.03421,0.02862
mono_oligosaccharide,(+)-mannose,530.0,0.12127,0.09954,0.02173
mono_oligosaccharide,(+)-mannose,576.0,0.04023,0.02559,0.01464
mono_oligosaccharide,(+)-mannose,606.0,0.01816,0.02681,-0.00865
mono_oligosaccharide,(+)-mannose,664.0,0.05761,0.01745,0.04016
mono_oligosaccharide,(+)-mannose,684.0,0.05569,0.01491,0.04078
mono_oligosaccharide,(+)-mannose,774.0,0.01211,0.00977,0.00234
mono_oligosaccharide,(+)-mannose,830.0,0.13778,0.038,0.09979
mono_oligosaccharide,(+)-mannose,844.0,0.05626,0.06168,-0.00543
mono_oligosaccharide,(+)-mannose,860.0,0.04185,0.02689,0.01496
mono_oligosaccharide,(+)-mannose,882.0,0.12193,0.04686,0.07507
mono_oligosaccharide,(+)-raffinose pentahydrate,506.0,0.0601,0.01439,0.04571
mono_oligosaccharide,(+)-raffinose pentahydrate,540.0,0.03487,0.07527,-0.0404
mono_oligosaccharide,(+)-raffinose pentahydrate,620.0,0.02857,0.03363,-0.00506
mono_oligosaccharide,(+)-raffinose pentahydrate,654.0,0.02316,0.01537,0.00779
mono_oligosaccharide,(+)-raffinose pentahydrate,708.0,0.03851,0.02073,0.01778
mono_oligosaccharide,(+)-raffinose pentahydrate,752.0,0.02691,0.00644,0.02047
mono_oligosaccharide,(+)-raffinose pentahydrate,834.0,0.21938,0.07094,0.14844
mono_oligosaccharide,(+)-raffinose pentahydrate,876.0,0.05287,0.06562,-0.01275
mono_oligosaccharide,(+)-raffinose pentahydrate,936.0,0.02911,0.03076,-0.00165
mono_oligosaccharide,(+)-raffinose pentahydrate,968.0,0.03235,0.00802,0.02433
mono_oligosaccharide,(+)-raffinose pentahydrate,996.0,0.02212,0.03093,-0.00881
mono_oligosaccharide,(+)-raffinose pentahydrate,1052.0,0.12097,0.068,0.05297
mono_oligosaccharide,(+)-sucrose,526.0,0.09249,0.04189,0.0506
mono_oligosaccharide,(+)-sucrose,586.0,0.0336,0.02467,0.00893
mono_oligosaccharide,(+)-sucrose,642.0,0.06441,0.01722,0.04718
mono_oligosaccharide,(+)-sucrose,736.0,0.02518,0.00859,0.01658
mono_oligosaccharide,(+)-sucrose,848.0,0.19879,0.10752,0.09126
