chemical_class,molecule,band_cm,observed,reconstructed,residual
acylglycerol,trierucin,1660.0,0.09439,0.06793,0.02647
acylglycerol,trierucin,1738.0,0.03023,0.03333,-0.0031
acylglycerol,trilaurin,606.0,0.0178,0.01131,0.00649
acylglycerol,trilaurin,892.0,0.05337,0.0378,0.01557
acylglycerol,trilaurin,954.0,0.01021,0.0058,0.00441
acylglycerol,trilaurin,1062.0,0.11146,0.11242,-0.00096
acylglycerol,trilaurin,1086.0,0.02712,0.00837,0.01875
acylglycerol,trilaurin,1128.0,0.12437,0.10416,0.0202
acylglycerol,trilaurin,1182.0,0.01607,0.01196,0.00411
acylglycerol,trilaurin,1248.0,0.01732,0.01347,0.00385
acylglycerol,trilaurin,1298.0,0.22075,0.22705,-0.00631
acylglycerol,trilaurin,1368.0,0.01402,0.01263,0.00139
acylglycerol,trilaurin,1442.0,0.17927,0.19067,-0.01141
acylglycerol,trilaurin,1742.0,0.05309,0.03519,0.0179
acylglycerol,trilinolein,838.0,0.0261,0.0149,0.0112
acylglycerol,trilinolein,972.0,0.02419,0.01974,0.00445
acylglycerol,trilinolein,1074.0,0.03385,0.03494,-0.00108
acylglycerol,trilinolein,1266.0,0.08234,0.08025,0.0021
acylglycerol,trilinolein,1304.0,0.06684,0.06924,-0.0024
acylglycerol,trilinolein,1440.0,0.13844,0.13809,0.00036
acylglycerol,trilinolein,1656.0,0.28342,0.27127,0.01215
acylglycerol,trilinolein,1746.0,0.02299,0.01611,0.00688
acylglycerol,trilinolenin,866.0,0.04507,0.03095,0.01412
acylglycerol,trilinolenin,1086.0,0.02143,0.03082,-0.00939
acylglycerol,trilinolenin,1268.0,0.08073,0.08461,-0.00388
acylglycerol,trilinolenin,1442.0,0.08411,0.09419,-0.01008
acylglycerol,trilinolenin,1656.0,0.28582,0.30012,-0.0143
acylglycerol,trimyristin,606.0,0.01295,0.01125,0.0017
acylglycerol,trimyristin,890.0,0.04722,0.03794,0.00928
acylglycerol,trimyristin,1064.0,0.11855,0.1141,0.00445
acylglycerol,trimyristin,1094.0,0.02621,0.01025,0.01596
acylglycerol,trimyristin,1130.0,0.13662,0.11468,0.02194
acylglycerol,trimyristin,1180.0,0.01614,0.01295,0.00318
acylglycerol,trimyristin,1248.0,0.01542,0.01385,0.00157
acylglycerol,trimyristin,1298.0,0.21758,0.23375,-0.01617
acylglycerol,trimyristin,1368.0,0.01316,0.01275,0.00041
acylglycerol,trimyristin,1442.0,0.18966,0.1873,0.00235
acylglycerol,trimyristin,1742.0,0.03962,0.03321,0.00641
acylglycerol,triolein,604.0,0.01204,0.00947,0.00257
acylglycerol,triolein,728.0,0.01176,0.01006,0.0017
acylglycerol,triolein,872.0,0.0429,0.02882,0.01408
acylglycerol,triolein,972.0,0.01794,0.01319,0.00475
acylglycerol,triolein,1082.0,0.07248,0.04087,0.03161
acylglycerol,triolein,1118.0,0.02533,0.03154,-0.0062
acylglycerol,triolein,1266.0,0.06154,0.0499,0.01164
acylglycerol,triolein,1302.0,0.11902,0.10255,0.01647
acylglycerol,triolein,1440.0,0.20961,0.20783,0.00178
acylglycerol,triolein,1656.0,0.13956,0.13719,0.00237
acylglycerol,triolein,1746.0,0.03139,0.04694,-0.01555
acylglycerol,tripalmitin,890.0,0.03245,0.038,-0.00555
acylglycerol,tripalmitin,1062.0,0.11308,0.11915,-0.00607
acylglycerol,tripalmitin,1100.0,0.02774,0.0125,0.01525
acylglycerol,tripalmitin,1130.0,0.13245,0.12088,0.01156
acylglycerol,tripalmitin,1180.0,0.01797,0.0135,0.00447
acylglycerol,tripalmitin,1250.0,0.02413,0.01513,0.009
acylglycerol,tripalmitin,1298.0,0.2375,0.24117,-0.00367
acylglycerol,tripalmitin,1368.0,0.01811,0.01277,0.00534
acylglycerol,tripalmitin,1444.0,0.18067,0.18082,-0.00015
acylglycerol,tripalmitin,1744.0,0.03159,0.02889,0.0027
acylglycerol,tripalmitolein,890.0,0.02406,0.0222,0.00186
acylglycerol,tripalmitolein,972.0,0.01474,0.01447,0.00027
acylglycerol,tripalmitolein,1082.0,0.04364,0.04266,0.00098
acylglycerol,tripalmitolein,1266.0,0.05365,0.05548,-0.00183
acylglycerol,tripalmitolein,1304.0,0.09904,0.10001,-0.00098
acylglycerol,tripalmitolein,1440.0,0.21575,0.20662,0.00912
acylglycerol,tripalmitolein,1656.0,0.16081,0.15764,0.00317
acylglycerol,tripalmitolein,1746.0,0.03785,0.04571,-0.00787
acylglycerol,tripetroselinin,468.0,0.01111,0.00324,0.00787
acylglycerol,tripetroselinin,606.0,0.00999,0.0106,-0.00061
acylglycerol,tripetroselinin,892.0,0.0403,0.0309,0.0094
acylglycerol,tripetroselinin,964.0,0.02151,0.00927,0.01225
acylglycerol,tripetroselinin,1064.0,0.10489,0.08789,0.01699
acylglycerol,tripetroselinin,1128.0,0.07304,0.07323,-0.00019
acylglycerol,tripetroselinin,1252.0,0.03639,0.02874,0.00765
acylglycerol,tripetroselinin,1298.0,0.20304,0.18611,0.01693
acylglycerol,tripetroselinin,1438.0,0.19859,0.18307,0.01551
acylglycerol,tripetroselinin,1548.0,0.01064,0.00314,0.0075
acylglycerol,tripetroselinin,1656.0,0.11183,0.10482,0.00701
acylglycerol,tripetroselinin,1744.0,0.02915,0.03307,-0.00392
acylglycerol,tristearin,890.0,0.03298,0.03817,-0.0052
acylglycerol,tristearin,1062.0,0.12575,0.12084,0.00492
acylglycerol,tristearin,1106.0,0.02394,0.01537,0.00857
acylglycerol,tristearin,1132.0,0.13041,0.11897,0.01144
acylglycerol,tristearin,1182.0,0.0156,0.01314,0.00246
acylglycerol,tristearin,1250.0,0.01192,0.01458,-0.00265
acylglycerol,tristearin,1298.0,0.23737,0.24416,-0.00679
acylglycerol,tristearin,1368.0,0.01166,0.01287,-0.00121
acylglycerol,tristearin,1444.0,0.17918,0.1786,0.00058
acylglycerol,tristearin,1742.0,0.02757,0.02933,-0.00175
carboxylic_acid_metabolite,acetoacetate,498.0,0.02135,0.00918,0.01217
carboxylic_acid_metabolite,acetoacetate,552.0,0.03312,0.01957,0.01355
carboxylic_acid_metabolite,acetoacetate,580.0,0.03066,0.01822,0.01245
carboxylic_acid_metabolite,acetoacetate,640.0,0.09502,0.03092,0.0641
carboxylic_acid_metabolite,acetoacetate,718.0,0.01692,0.01139,0.00553
carboxylic_acid_metabolite,acetoacetate,760.0,0.06454,0.02893,0.03561
carboxylic_acid_metabolite,acetoacetate,830.0,0.15959,0.04575,0.11383
carboxylic_acid_metabolite,acetoacetate,902.0,0.04687,0.02346,0.02341
carboxylic_acid_metabolite,acetoacetate,930.0,0.07512,0.06993,0.00519
carboxylic_acid_metabolite,acetoacetate,1006.0,0.06747,0.01627,0.05119
carboxylic_acid_metabolite,acetoacetate,1088.0,0.04394,0.02472,0.01922
carboxylic_acid_metabolite,acetoacetate,1158.0,0.05603,0.01866,0.03737
carboxylic_acid_metabolite,ascorbate,452.0,0.04094,0.02841,0.01253
carboxylic_acid_metabolite,ascorbate,566.0,0.07782,0.04172,0.0361
carboxylic_acid_metabolite,ascorbate,588.0,0.03854,0.02128,0.01725
carboxylic_acid_metabolite,ascorbate,628.0,0.13269,0.07533,0.05737
carboxylic_acid_metabolite,ascorbate,710.0,0.0411,0.02368,0.01742
carboxylic_acid_metabolite,ascorbate,822.0,0.09139,0.04024,0.05115
carboxylic_acid_metabolite,ascorbate,872.0,0.02285,0.05751,-0.03466
carboxylic_acid_metabolite,ascorbate,1028.0,0.03509,0.04026,-0.00517
carboxylic_acid_metabolite,ascorbate,1066.0,0.02294,0.0191,0.00384
carboxylic_acid_metabolite,ascorbate,1130.0,0.16022,0.10858,0.05164
carboxylic_acid_metabolite,ascorbate,1258.0,0.09991,0.07696,0.02295
carboxylic_acid_metabolite,ascorbate,1298.0,0.03683,0.02485,0.01198
carboxylic_acid_metabolite,citrate,520.0,0.04569,0.01766,0.02804
carboxylic_acid_metabolite,citrate,570.0,0.05849,0.01653,0.04196
carboxylic_acid_metabolite,citrate,682.0,0.05137,0.03238,0.01899
carboxylic_acid_metabolite,citrate,784.0,0.26276,0.06921,0.19355
carboxylic_acid_metabolite,citrate,904.0,0.06666,0.02435,0.04231
carboxylic_acid_metabolite,citrate,944.0,0.20995,0.0709,0.13905
carboxylic_acid_metabolite,citrate,1056.0,0.06208,0.01269,0.0494
carboxylic_acid_metabolite,citrate,1078.0,0.0538,0.01656,0.03725
carboxylic_acid_metabolite,citrate,1106.0,0.02406,0.00848,0.01558
carboxylic_acid_metabolite,citrate,1166.0,0.03756,0.01917,0.0184
carboxylic_acid_metabolite,citrate,1226.0,0.02317,0.01264,0.01052
carboxylic_acid_metabolite,citrate,1256.0,0.02449,0.00494,0.01955
carboxylic_acid_metabolite,fumarate,768.0,0.0506,0.02833,0.02227
carboxylic_acid_metabolite,fumarate,914.0,0.06759,0.01733,0.05026
carboxylic_acid_metabolite,fumarate,980.0,0.0999,0.02414,0.07576
carboxylic_acid_metabolite,fumarate,1294.0,0.13411,0.03612,0.09799
carboxylic_acid_metabolite,fumarate,1430.0,0.34528,0.11607,0.22921
carboxylic_acid_metabolite,fumarate,1564.0,0.01745,0.00443,0.01302
carboxylic_acid_metabolite,fumarate,1658.0,0.23924,0.07066,0.16858
carboxylic_acid_metabolite,lactate,476.0,0.13858,0.07252,0.06606
carboxylic_acid_metabolite,lactate,554.0,0.03923,0.02337,0.01585
carboxylic_acid_metabolite,lactate,632.0,0.03526,0.0696,-0.03435
carboxylic_acid_metabolite,lactate,780.0,0.02573,0.01305,0.01267
carboxylic_acid_metabolite,lactate,852.0,0.11106,0.05948,0.05159
carboxylic_acid_metabolite,lactate,876.0,0.09659,0.0664,0.03019
carboxylic_acid_metabolite,lactate,900.0,0.04,0.01928,0.02072
carboxylic_acid_metabolite,lactate,916.0,0.05934,0.03166,0.02768
carboxylic_acid_metabolite,lactate,954.0,0.03779,0.02401,0.01378
carboxylic_acid_metabolite,lactate,1020.0,0.06806,0.03955,0.02851
carboxylic_acid_metabolite,lactate,1054.0,0.07788,0.03888,0.039
carboxylic_acid_metabolite,lactate,1088.0,0.21433,0.10788,0.10645
carboxylic_acid_metabolite,malic acid,534.0,0.02709,0.00596,0.02113
carboxylic_acid_metabolite,malic acid,610.0,0.08978,0.01354,0.07624
carboxylic_acid_metabolite,malic acid,750.0,0.08892,0.01033,0.07859
carboxylic_acid_metabolite,malic acid,868.0,0.12663,0.01718,0.10945
carboxylic_acid_metabolite,malic acid,912.0,0.0301,0.01565,0.01445
carboxylic_acid_metabolite,malic acid,964.0,0.16888,0.014,0.15489
carboxylic_acid_metabolite,malic acid,1034.0,0.05281,0.01857,0.03424
carboxylic_acid_metabolite,malic acid,1098.0,0.06008,0.02131,0.03877
carboxylic_acid_metabolite,malic acid,1180.0,0.04153,0.00552,0.03601
carboxylic_acid_metabolite,malic acid,1310.0,0.01093,0.00934,0.00159
carboxylic_acid_metabolite,malic acid,1352.0,0.05718,0.01697,0.04021
carboxylic_acid_metabolite,malic acid,1386.0,0.02902,0.01161,0.01742
carboxylic_acid_metabolite,pyruvate,452.0,0.02999,0.00972,0.02027
carboxylic_acid_metabolite,pyruvate,540.0,0.04507,0.01152,0.03355
carboxylic_acid_metabolite,pyruvate,612.0,0.04312,0.01595,0.02717
carboxylic_acid_metabolite,pyruvate,698.0,0.03701,0.01305,0.02396
carboxylic_acid_metabolite,pyruvate,794.0,0.14349,0.02959,0.1139
carboxylic_acid_metabolite,pyruvate,834.0,0.05992,0.03094,0.02898
carboxylic_acid_metabolite,pyruvate,936.0,0.0444,0.11108,-0.06668
carboxylic_acid_metabolite,pyruvate,978.0,0.04138,0.02022,0.02115
carboxylic_acid_metabolite,pyruvate,1152.0,0.02147,0.01108,0.01039
carboxylic_acid_metabolite,pyruvate,1218.0,0.01239,0.00941,0.00298
carboxylic_acid_metabolite,pyruvate,1332.0,0.02125,0.01254,0.00871
carboxylic_acid_metabolite,pyruvate,1372.0,0.02717,0.01641,0.01076
carboxylic_acid_metabolite,succinic acid,582.0,0.02102,0.01808,0.00294
carboxylic_acid_metabolite,succinic acid,684.0,0.09045,0.03745,0.05299
carboxylic_acid_metabolite,succinic acid,936.0,0.40081,0.15178,0.24903
carboxylic_acid_metabolite,succinic acid,1086.0,0.06319,0.02276,0.04043
carboxylic_acid_metabolite,succinic acid,1230.0,0.02719,0.01368,0.01351
carboxylic_acid_metabolite,succinic acid,1294.0,0.04759,0.04351,0.00408
carboxylic_acid_metabolite,succinic acid,1374.0,0.03573,0.01743,0.0183
carboxylic_acid_metabolite,succinic acid,1420.0,0.19405,0.11134,0.0827
carboxylic_acid_metabolite,succinic acid,1656.0,0.08722,0.07863,0.00858
chromophore_pigment,carotene,952.0,0.02019,0.01137,0.00882
chromophore_pigment,carotene,1006.0,0.08162,0.07299,0.00863
chromophore_pigment,carotene,1156.0,0.27192,0.27861,-0.00669
chromophore_pigment,carotene,1208.0,0.03649,0.02586,0.01063
chromophore_pigment,carotene,1448.0,0.0153,0.00939,0.0059
chromophore_pigment,carotene,1520.0,0.31785,0.26135,0.0565
chromophore_pigment,melanin,1368.0,0.04566,0.05612,-0.01046
chromophore_pigment,melanin,1612.0,0.14382,0.0804,0.06341
chromophore_pigment,riboflavin,520.0,0.02646,0.01265,0.01381
chromophore_pigment,riboflavin,598.0,0.02684,0.013,0.01384
chromophore_pigment,riboflavin,674.0,0.02725,0.01301,0.01424
chromophore_pigment,riboflavin,742.0,0.07053,0.03368,0.03685
chromophore_pigment,riboflavin,786.0,0.0344,0.01753,0.01688
chromophore_pigment,riboflavin,868.0,0.01925,0.01013,0.00912
chromophore_pigment,riboflavin,1060.0,0.03295,0.01805,0.0149
chromophore_pigment,riboflavin,1156.0,0.04917,0.04139,0.00778
chromophore_pigment,riboflavin,1180.0,0.0864,0.04274,0.04366
chromophore_pigment,riboflavin,1224.0,0.12851,0.0605,0.06801
chromophore_pigment,riboflavin,1346.0,0.29771,0.16095,0.13676
chromophore_pigment,riboflavin,1402.0,0.05438,0.04429,0.01009
