motif_id,acylglycerol.m00,acylglycerol.m01,acylglycerol.m02,carboxylic_acid_metabolite.m00,carboxylic_acid_metabolite.m01,chromophore_pigment.m00,chromophore_pigment.m01,fatty_acid.m00,fatty_acid.m01,fatty_acid.m02,fatty_acid.m03,fatty_acid.m04,free_amino_acid.m00,free_amino_acid.m01,free_amino_acid.m02,free_amino_acid.m03,free_amino_acid.m04,free_amino_acid.m05,free_amino_acid.m06,mono_oligosaccharide.m00,mono_oligosaccharide.m01,mono_oligosaccharide.m02,mono_oligosaccharide.m03,mono_oligosaccharide.m04,mono_oligosaccharide.m05,nucleic_acid_polymer.m00,peptide_protein.m00,peptide_protein.m01,peptide_protein.m02,peptide_protein.m03,peptide_protein.m04,peptide_protein.m05,peptide_protein.m06,peptide_protein.m07,peptide_protein.m08,peptide_protein.m09,phosphate_metabolite.m00,phospholipid_sphingolipid.m00,phospholipid_sphingolipid.m01,polysaccharide.m00,polysaccharide.m01,purine.m00,purine.m01,pyrimidine.m00,small_nitrogenous.m00,sterol_steroid.m00,sterol_steroid.m01,sterol_steroid.m02,sulfur_thiol_cofactor.m00,sulfur_thiol_cofactor.m01
fatty_acid.m03,0.9196,0.5012,0.7363,0.4744,0.3117,0.0574,0.1552,0.5863,0.3259,0.5986,1.0,0.7465,0.3406,0.238,0.1712,0.3481,0.139,0.1721,0.5299,0.228,0.1933,0.2461,0.2723,0.345,0.1971,0.2538,0.5982,0.1147,0.2474,0.2721,0.5292,0.6597,0.5214,0.5291,0.6685,0.1259,0.2895,0.8915,0.3706,0.2653,0.2888,0.3782,0.172,0.1391,0.1931,0.8959,0.1968,0.3117,0.4293,0.2438
fatty_acid.m04,0.7761,0.3421,0.9085,0.3237,0.3063,0.0707,0.1499,0.7411,0.2337,0.6881,0.7465,1.0,0.2446,0.2319,0.1614,0.2913,0.1146,0.1859,0.4652,0.2715,0.235,0.2862,0.2932,0.3976,0.1975,0.2911,0.469,0.1737,0.2867,0.3195,0.5781,0.5462,0.3819,0.3943,0.4764,0.1709,0.3435,0.797,0.3345,0.3053,0.3244,0.327,0.112,0.1083,0.1683,0.7319,0.2643,0.2639,0.3768,0.2117
free_amino_acid.m00,0.366,0.2309,0.2385,0.6313,0.4311,0.1786,0.5099,0.2898,0.2152,0.2559,0.3406,0.2446,1.0,0.303,0.3974,0.2658,0.216,0.2087,0.453,0.4492,0.1661,0.5289,0.4467,0.2657,0.3327,0.3822,0.3364,0.4097,0.3313,0.5522,0.3105,0.4743,0.3043,0.4956,0.6183,0.3965,0.5702,0.3876,0.5395,0.5798,0.3927,0.5623,0.3648,0.2595,0.2063,0.4211,0.2913,0.3997,0.6199,0.2469
free_amino_acid.m01,0.3236,0.1632,0.231,0.2057,0.4219,0.0975,0.3162,0.202,0.1684,0.2839,0.238,0.2319,0.303,1.0,0.1835,0.2503,0.1963,0.3525,0.3479,0.2855,0.5968,0.3738,0.5842,0.2868,0.2782,0.31,0.2689,0.2754,0.3428,0.4421,0.462,0.3155,0.2648,0.5475,0.3332,0.2544,0.4182,0.2548,0.5061,0.4993,0.2667,0.384,0.226,0.158,0.2061,0.3187,0.1902,0.2465,0.4071,0.248
free_amino_acid.m02,0.1989,0.13,0.1518,0.4384,0.2971,0.1085,0.2907,0.1903,0.1196,0.1197,0.1712,0.1614,0.3974,0.1835,1.0,0.176,0.2055,0.3063,0.2617,0.292,0.1665,0.2675,0.2652,0.2966,0.1731,0.2682,0.1412,0.2534,0.3137,0.2268,0.1519,0.2407,0.1748,0.3715,0.3085,0.1873,0.308,0.2186,0.4781,0.2789,0.1787,0.4054,0.3508,0.124,0.2731,0.2561,0.2145,0.3437,0.5008,0.2375
free_amino_acid.m03,0.3673,0.1683,0.2856,0.3102,0.3574,0.0944,0.2316,0.3207,0.151,0.252,0.3481,0.2913,0.2658,0.2503,0.176,1.0,0.1567,0.2335,0.3776,0.3077,0.264,0.3125,0.4242,0.2658,0.504,0.283,0.289,0.2196,0.2839,0.4191,0.2413,0.3876,0.2582,0.3128,0.3756,0.1774,0.3826,0.3077,0.469,0.4148,0.4444,0.427,0.2146,0.1512,0.3453,0.3549,0.1785,0.2995,0.5543,0.2542
free_amino_acid.m04,0.1613,0.0698,0.1023,0.1988,0.2326,0.2282,0.2403,0.0853,0.059,0.1113,0.139,0.1146,0.216,0.1963,0.2055,0.1567,1.0,0.2003,0.2075,0.2139,0.1643,0.144,0.3365,0.2385,0.1373,0.2274,0.1213,0.3012,0.2786,0.211,0.1744,0.3858,0.5457,0.3997,0.2759,0.3798,0.2891,0.1111,0.3582,0.2551,0.1227,0.3309,0.1219,0.1211,0.3282,0.2042,0.289,0.3245,0.334,0.2372
free_amino_acid.m05,0.2223,0.1476,0.1391,0.2997,0.3116,0.1368,0.2633,0.1179,0.1553,0.206,0.1721,0.1859,0.2087,0.3525,0.3063,0.2335,0.2003,1.0,0.3303,0.2942,0.4469,0.3042,0.3297,0.3158,0.2079,0.2808,0.2122,0.235,0.3792,0.2751,0.3023,0.2497,0.2721,0.5793,0.252,0.2482,0.417,0.1784,0.4379,0.3186,0.1994,0.2952,0.2899,0.2106,0.2544,0.2762,0.3686,0.3541,0.3479,0.2951
free_amino_acid.m06,0.5742,0.3428,0.4411,0.4383,0.4953,0.1204,0.337,0.435,0.2936,0.4617,0.5299,0.4652,0.453,0.3479,0.2617,0.3776,0.2075,0.3303,1.0,0.4333,0.3406,0.4259,0.4921,0.4671,0.3096,0.4332,0.3948,0.3444,0.3419,0.4619,0.4088,0.48,0.3561,0.4442,0.472,0.3023,0.6651,0.5721,0.6233,0.4603,0.4267,0.5377,0.3092,0.2741,0.2305,0.5692,0.2804,0.4321,0.6416,0.368
mono_oligosaccharide.m00,0.2898,0.271,0.2432,0.2812,0.504,0.2622,0.2198,0.2725,0.2688,0.2712,0.228,0.2715,0.4492,0.2855,0.292,0.3077,0.2139,0.2942,0.4333,1.0,0.2899,0.429,0.5021,0.3973,0.4351,0.305,0.3129,0.2515,0.3425,0.4832,0.3609,0.2869,0.2913,0.3139,0.3433,0.2351,0.5056,0.316,0.6157,0.4799,0.4444,0.4526,0.2839,0.2961,0.1975,0.3336,0.2431,0.3736,0.522,0.1956
