chemical_class,molecule,ev,n_motifs_activated,dominant_motif_share,orphan,spectral_outlier
peptide_protein,lectin,0.9917,4,0.7068,False,False
peptide_protein,major proteinase,0.9693,5,0.4051,False,False
peptide_protein,myoglobin,0.9852,2,0.5718,False,False
peptide_protein,papain,0.9497,5,0.448,False,False
peptide_protein,pepsin,0.9601,8,0.3148,False,False
peptide_protein,pepsinogen,0.9855,7,0.4963,False,False
peptide_protein,superoxide dismutases,0.9832,6,0.4423,False,False
peptide_protein,thaumatin,0.9848,6,0.4982,False,False
peptide_protein,triosephosphate isomerase,0.9691,5,0.3117,False,False
peptide_protein,trypsin,0.9869,6,0.4079,False,False
peptide_protein,trypsin inhibitor,0.9532,6,0.5306,False,False
peptide_protein,trypsinogen,0.9816,8,0.3164,False,False
peptide_protein,tubulin,0.9981,1,0.9628,False,False
peptide_protein,ubiquitin,0.9762,5,0.331,False,False
peptide_protein,xylanase,0.9957,1,0.8891,False,False
peptide_protein,α-chymotrypsinogen a (type ii),0.9802,6,0.3712,False,False
phosphate_metabolite,fructose-6-phosphate,0.67,1,1.0,False,False
phosphate_metabolite,phosphate,0.559,1,1.0,False,False
phosphate_metabolite,phosphoenolpyruvate,0.4907,1,1.0,True,False
phospholipid_sphingolipid,ceramide,0.91,1,1.0,False,False
phospholipid_sphingolipid,phosphatidylinositol,0.9981,1,1.0,False,False
phospholipid_sphingolipid,sphingomyelin,0.9434,1,1.0,False,False
phospholipid_sphingolipid,α-phosphatidylcholine,0.9374,2,0.8811,False,False
phospholipid_sphingolipid,α-phosphatidylethanolamine,0.9136,2,0.8612,False,False
polysaccharide,amylopectin,0.9638,1,1.0,False,False
polysaccharide,amylose,0.9823,2,0.9211,False,False
polysaccharide,cellulose,0.8812,1,1.0,False,False
polysaccharide,chitin,0.8688,2,0.9106,False,False
polysaccharide,glycogen,0.9032,2,0.7522,False,False
purine,adenine,0.582,2,0.8896,False,False
purine,guanine,0.7679,1,1.0,False,False
purine,hypoxanthine,0.7646,2,0.8479,False,False
purine,urate,0.4949,1,1.0,True,False
purine,xanthine,0.7464,2,0.8736,False,False
pyrimidine,cytosine,0.7525,1,1.0,False,False
pyrimidine,thymine,0.1303,1,1.0,True,True
pyrimidine,uracil,0.7371,1,1.0,False,False
small_nitrogenous,creatinine,0.9107,1,1.0,False,False
small_nitrogenous,urea,0.1231,1,1.0,True,True
sterol_steroid,cholesterol,0.8591,3,0.7187,False,False
sterol_steroid,cholesteryl linoleate,0.8417,1,0.9392,False,False
sterol_steroid,cholesteryl oleate,0.9494,2,0.9118,False,False
sterol_steroid,cholesteryl palmitate,0.9517,1,0.9993,False,False
sterol_steroid,cholesteryl stearate,0.9151,1,1.0,False,False
sterol_steroid,diethylstilbestrol,0.9377,1,1.0,False,False
sterol_steroid,estradiol,0.9534,2,0.6022,False,False
sterol_steroid,estriol,0.9531,2,0.6022,False,False
sterol_steroid,estrone,0.8392,1,1.0,False,False
sterol_steroid,ethinylestradiol,0.8156,2,0.8925,False,False
sulfur_thiol_cofactor,acetyl-coa,0.9264,1,1.0,False,False
sulfur_thiol_cofactor,coenzyme a,0.9445,2,0.9411,False,False
sulfur_thiol_cofactor,ergothioneine,0.9983,1,1.0,False,False
sulfur_thiol_cofactor,glutathione,0.6168,2,0.8697,False,False
