embedding,trustworthiness,continuity,knn_preservation,procrustes_disparity
umap,0.9543809523809523,0.960952380952381,0.76,0.4497551264683033
diffusion_map,0.9339999999999999,0.9581904761904761,0.5480000000000002,
spectral_embedding,0.9358095238095239,0.9562857142857143,0.56,
pca,0.7817142857142857,0.7960952380952381,0.36,
