spectrum_id,analyte,source,excitation_nm,snr_estimate,snr_score,grid_coverage,n_nan_bins,contrast,n_peaks,peak_density,quality_score,qc_pass,q_version,canonical_id,weight_quality,weight_uniform
ramanbiolib::31,alanine,RamanBioLib,785.0,381.453,0.9159,1.0,0,0.975,19,0.6333,0.867206,True,v7_q_v2,alanine,0.20400963675385084,0.2
ramanbiolib::32,arginine,RamanBioLib,785.0,268.654,0.807,1.0,0,0.9378,25,0.8333,0.891154,True,v7_q_v2,arginine,0.20235922342002016,0.2
ramanbiolib::33,glutamate,RamanBioLib,785.0,237.875,0.7692,1.0,0,0.931,33,1.0,0.919915,True,v7_q_v2,glutamate,0.1815380456018345,0.16666666666666666
ramanbiolib::34,histidine,RamanBioLib,785.0,203.39,0.7206,1.0,0,0.9544,28,0.9333,0.895072,True,v7_q_v2,histidine,0.2002561730432127,0.2
ramanbiolib::35,phenylalanine,RamanBioLib,785.0,179.758,0.6822,1.0,0,0.9528,22,0.7333,0.830915,True,v7_q_v2,phenylalanine,0.18740060944131087,0.2
ramanbiolib::36,proline,RamanBioLib,785.0,173.369,0.6709,1.0,0,0.9072,31,1.0,0.883275,True,v7_q_v2,proline,0.20596679347286215,0.2
ramanbiolib::37,serine,RamanBioLib,785.0,427.907,0.9516,1.0,0,0.9701,18,0.6,0.862708,True,v7_q_v2,serine,0.20583347708379116,0.2
ramanbiolib::38,tryptophan,RamanBioLib,785.0,249.355,0.7839,1.0,0,0.951,34,1.0,0.929189,True,v7_q_v2,tryptophan,0.20515535093748408,0.2
ramanbiolib::39,tyrosine,RamanBioLib,785.0,227.217,0.755,1.0,0,0.9525,26,0.8667,0.888522,True,v7_q_v2,tyrosine,0.24970673885172032,0.25
ramanbiolib::40,valine,RamanBioLib,785.0,230.047,0.7588,1.0,0,0.9493,27,0.9,0.897318,True,v7_q_v2,valine,0.20739670011727515,0.2
ramanbiolib::41,lactose,RamanBioLib,785.0,237.676,0.769,1.0,0,0.938,28,0.9333,0.905801,True,v7_q_v2,(+)-lactose,0.5129511819156877,0.5
ramanbiolib::42,lauric acid,RamanBioLib,785.0,536.301,1.0,1.0,0,0.9739,20,0.6667,0.897649,True,v7_q_v2,lauric acid,1.0,1.0
ramanbiolib::43,malic acid,RamanBioLib,785.0,342.141,0.8821,1.0,0,0.962,19,0.6333,0.856229,True,v7_q_v2,malic acid,0.5159619182141887,0.5
ramanbiolib::44,myristic acid,RamanBioLib,785.0,640.967,1.0,1.0,0,0.9774,18,0.6,0.875102,True,v7_q_v2,myristic acid,0.5249514851396058,0.5
ramanbiolib::45,n-acetyl- d-glucosamine,RamanBioLib,785.0,213.114,0.7351,1.0,0,0.9095,27,0.9,0.88074,True,v7_q_v2,n-acetylglucosamine,0.2625469504560901,0.25
ramanbiolib::46,oleate,RamanBioLib,785.0,490.692,0.9942,1.0,0,0.9599,17,0.5667,0.857543,True,v7_q_v2,oleate,0.20785101792204003,0.2
ramanbiolib::47,palmitic acid,RamanBioLib,785.0,587.142,1.0,1.0,0,0.976,20,0.6667,0.898134,True,v7_q_v2,palmitic acid,0.5318414780381648,0.5
ramanbiolib::48,phosphoenolpyruvate,RamanBioLib,785.0,307.208,0.8487,1.0,0,0.964,23,0.7667,0.889932,True,v7_q_v2,phosphoenolpyruvate,0.2536970619920504,0.25
ramanbiolib::49,pyruvate,RamanBioLib,785.0,496.71,0.9979,1.0,0,0.9767,12,0.4,0.790197,True,v7_q_v2,pyruvate,0.24096646765968893,0.25
ramanbiolib::50,riboﬂavin,RamanBioLib,785.0,253.576,0.7891,1.0,0,0.9422,28,0.9333,0.912692,True,v7_q_v2,riboflavin,0.24932021606666663,0.25
ramanbiolib::51,stearate,RamanBioLib,785.0,320.825,0.8622,1.0,0,0.9623,21,0.7,0.872969,True,v7_q_v2,stearate,0.1954429503485635,0.2
ramanbiolib::52,succinic acid,RamanBioLib,785.0,348.142,0.8875,1.0,0,0.9727,10,0.3333,0.732423,True,v7_q_v2,succinic acid,1.0,1.0
ramanbiolib::53,thymine,RamanBioLib,785.0,495.171,0.997,1.0,0,0.9763,18,0.6,0.874179,True,v7_q_v2,thymine,0.25248738688050726,0.25
ramanbiolib::54,trilinolein,RamanBioLib,785.0,545.872,1.0,1.0,0,0.964,14,0.4667,0.818985,True,v7_q_v2,trilinolein,0.4996263409783461,0.5
ramanbiolib::55,trilinolenin,RamanBioLib,785.0,560.592,1.0,1.0,0,0.9634,14,0.4667,0.81884,True,v7_q_v2,trilinolenin,0.49496206664978193,0.5
ramanbiolib::56,triolein,RamanBioLib,785.0,502.756,1.0,1.0,0,0.9482,16,0.5333,0.843294,True,v7_q_v2,triolein,0.20420792888389513,0.2
ramanbiolib::57,uracil,RamanBioLib,785.0,388.163,0.9213,1.0,0,0.9769,15,0.5,0.819042,True,v7_q_v2,uracil,0.24897504449554744,0.25
ramanbiolib::58,vaccenic acid,RamanBioLib,785.0,512.956,1.0,1.0,0,0.9592,15,0.5,0.83218,True,v7_q_v2,vaccenic acid,1.0,1.0
ramanbiolib::59,β-carotene,RamanBioLib,785.0,665.848,1.0,1.0,0,0.9783,10,0.3333,0.755689,True,v7_q_v2,β-carotene,1.0,1.0
ramanbiolib::60,β-d-glucose,RamanBioLib,785.0,337.595,0.878,1.0,0,0.9584,21,0.7,0.876062,True,v7_q_v2,β-d-glucose,1.0,1.0
ramanbiolib::61,arachidonic acid,RamanBioLib,532.0,2345.791,1.0,1.0,0,0.9763,8,0.2667,0.714304,True,v7_q_v2,arachidonic acid,1.0,1.0
ramanbiolib::62,α-linolenic acid,RamanBioLib,532.0,1832.773,1.0,1.0,0,0.9764,9,0.3,0.735683,True,v7_q_v2,α-linolenic acid,1.0,1.0
ramanbiolib::63,arachidic acid,RamanBioLib,532.0,1890.86,1.0,1.0,0,0.9778,13,0.4333,0.806806,True,v7_q_v2,arachidic acid,1.0,1.0
ramanbiolib::64,cholesterol,RamanBioLib,532.0,369.095,0.9057,1.0,0,0.9288,25,0.8333,0.915022,True,v7_q_v2,cholesterol,0.27950313784366226,0.25
ramanbiolib::65,cholesteryl linoleate,RamanBioLib,532.0,452.972,0.9693,1.0,0,0.9243,25,0.8333,0.929545,True,v7_q_v2,cholesteryl linoleate,1.0,1.0
ramanbiolib::66,cholesteryl oleate,RamanBioLib,532.0,438.384,0.9591,1.0,0,0.9321,25,0.8333,0.929052,True,v7_q_v2,cholesteryl oleate,1.0,1.0
ramanbiolib::67,cholesteryl palmitate,RamanBioLib,532.0,496.008,0.9975,1.0,0,0.9374,24,0.8,0.930004,True,v7_q_v2,cholesteryl palmitate,1.0,1.0
ramanbiolib::68,cholesteryl stearate,RamanBioLib,532.0,557.381,1.0,1.0,0,0.9484,23,0.7667,0.923429,True,v7_q_v2,cholesteryl stearate,1.0,1.0
ramanbiolib::69,elaidic acid,RamanBioLib,532.0,1336.361,1.0,1.0,0,0.9767,13,0.4333,0.806587,True,v7_q_v2,elaidic acid,1.0,1.0
ramanbiolib::70,linoleic acid,RamanBioLib,532.0,1800.802,1.0,1.0,0,0.9743,10,0.3333,0.754908,True,v7_q_v2,linoleic acid,1.0,1.0
ramanbiolib::71,myristic acid,RamanBioLib,532.0,2209.061,1.0,1.0,0,0.9832,12,0.4,0.791913,True,v7_q_v2,myristic acid,0.4750485148603941,0.5
ramanbiolib::72,oleate,RamanBioLib,532.0,1319.516,1.0,1.0,0,0.97,12,0.4,0.789236,True,v7_q_v2,oleate,0.19129478752752826,0.2
ramanbiolib::73,palmitic acid,RamanBioLib,532.0,2297.924,1.0,1.0,0,0.9767,12,0.4,0.790591,True,v7_q_v2,palmitic acid,0.4681585219618351,0.5
ramanbiolib::74,α-phosphatidylcholine,RamanBioLib,532.0,1168.031,1.0,1.0,0,0.9589,14,0.4667,0.817899,True,v7_q_v2,α-phosphatidylcholine,1.0,1.0
ramanbiolib::75,α-phosphatidylethanolamine,RamanBioLib,532.0,872.793,1.0,1.0,0,0.9599,10,0.3333,0.752102,True,v7_q_v2,α-phosphatidylethanolamine,1.0,1.0
ramanbiolib::76,palmitoleic acid,RamanBioLib,532.0,1180.488,1.0,1.0,0,0.9684,14,0.4667,0.819898,True,v7_q_v2,palmitoleic acid,1.0,1.0
ramanbiolib::77,stearate,RamanBioLib,532.0,2017.779,1.0,1.0,0,0.974,13,0.4333,0.806022,True,v7_q_v2,stearate,0.18045465271487285,0.2
ramanbiolib::78,sphingomyelin,RamanBioLib,532.0,1475.597,1.0,1.0,0,0.9624,13,0.4333,0.803618,True,v7_q_v2,sphingomyelin,1.0,1.0
ramanbiolib::79,triarachidin,RamanBioLib,1064.0,953.289,1.0,1.0,0,0.9743,15,0.5,0.835449,True,v7_q_v2,triarachidin,1.0,1.0
ramanbiolib::80,tribehenin,RamanBioLib,1064.0,694.101,1.0,1.0,0,0.9724,19,0.6333,0.885861,True,v7_q_v2,tribehenin,1.0,1.0
ramanbiolib::81,tricaproin,RamanBioLib,1064.0,641.376,1.0,1.0,0,0.9495,23,0.7667,0.923696,True,v7_q_v2,tricaproin,1.0,1.0
ramanbiolib::82,tricaprin,RamanBioLib,1064.0,613.891,1.0,1.0,0,0.9641,24,0.8,0.937145,True,v7_q_v2,tricaprin,1.0,1.0
ramanbiolib::83,tricaprylin,RamanBioLib,1064.0,641.837,1.0,1.0,0,0.9541,21,0.7,0.904018,True,v7_q_v2,tricaprylin,1.0,1.0
ramanbiolib::84,trielaidin,RamanBioLib,1064.0,656.577,1.0,1.0,0,0.9641,20,0.6667,0.895382,True,v7_q_v2,trielaidin,1.0,1.0
ramanbiolib::85,tri-11-eicosenoin,RamanBioLib,1064.0,452.253,0.9688,1.0,0,0.9454,28,0.9333,0.961564,True,v7_q_v2,tri-11-eicosenoin,1.0,1.0
ramanbiolib::86,trierucin,RamanBioLib,1064.0,612.119,1.0,1.0,0,0.964,20,0.6667,0.895365,True,v7_q_v2,trierucin,1.0,1.0
ramanbiolib::87,trilinolein,RamanBioLib,1064.0,1012.907,1.0,1.0,0,0.9698,14,0.4667,0.82021,True,v7_q_v2,trilinolein,0.500373659021654,0.5
ramanbiolib::88,trilinolenin,RamanBioLib,1064.0,1160.181,1.0,1.0,0,0.9746,15,0.5,0.835509,True,v7_q_v2,trilinolenin,0.5050379333502182,0.5
ramanbiolib::89,trilaurin,RamanBioLib,1064.0,688.94,1.0,1.0,0,0.9688,22,0.7333,0.918086,True,v7_q_v2,trilaurin,1.0,1.0
ramanbiolib::90,trimyristin,RamanBioLib,1064.0,735.743,1.0,1.0,0,0.9704,19,0.6333,0.885412,True,v7_q_v2,trimyristin,1.0,1.0
ramanbiolib::91,triolein,RamanBioLib,1064.0,944.44,1.0,1.0,0,0.9687,16,0.5333,0.84781,True,v7_q_v2,triolein,0.20530150124043942,0.2
ramanbiolib::92,tripalmitin,RamanBioLib,1064.0,625.496,1.0,1.0,0,0.9649,23,0.7667,0.927399,True,v7_q_v2,tripalmitin,1.0,1.0
ramanbiolib::93,tripetroselinin,RamanBioLib,1064.0,709.084,1.0,1.0,0,0.9673,16,0.5333,0.847501,True,v7_q_v2,tripetroselinin,1.0,1.0
ramanbiolib::94,tripalmitolein,RamanBioLib,1064.0,907.298,1.0,1.0,0,0.9682,14,0.4667,0.819874,True,v7_q_v2,tripalmitolein,1.0,1.0
ramanbiolib::95,tristearin,RamanBioLib,1064.0,662.73,1.0,1.0,0,0.9676,18,0.6,0.8729,True,v7_q_v2,tristearin,1.0,1.0
ramanbiolib::96,lactalbumin,RamanBioLib,488.0,217.172,0.7409,1.0,0,0.8347,29,0.9667,0.879314,True,v7_q_v2,lactalbumin,0.328960851176859,0.3333333333333333
