perturbation,level,model,top1,top5,mrr
gaussian_noise,0.01,A_raw_spectrum,0.9653333333333334,1.0,0.9802222222222222
gaussian_noise,0.01,B_csm,0.896,0.9973333333333333,0.9420717948717949
gaussian_noise,0.01,C_chemistry_rerank,0.896,0.9973333333333333,0.9420717948717949
gaussian_noise,0.02,A_raw_spectrum,0.9653333333333334,1.0,0.9802222222222222
gaussian_noise,0.02,B_csm,0.8933333333333333,0.9973333333333333,0.940294017094017
gaussian_noise,0.02,C_chemistry_rerank,0.8933333333333333,0.9973333333333333,0.940294017094017
gaussian_noise,0.05,A_raw_spectrum,0.9653333333333334,1.0,0.9802222222222222
gaussian_noise,0.05,B_csm,0.88,0.9946666666666667,0.932871794871795
gaussian_noise,0.05,C_chemistry_rerank,0.88,0.9946666666666667,0.932871794871795
gaussian_noise,0.1,A_raw_spectrum,0.9546666666666667,1.0,0.9742222222222223
gaussian_noise,0.1,B_csm,0.8533333333333334,0.9893333333333333,0.9139460317460317
gaussian_noise,0.1,C_chemistry_rerank,0.8533333333333334,0.9893333333333333,0.9139460317460317
gaussian_noise,0.2,A_raw_spectrum,0.92,0.9946666666666667,0.9528971916971917
gaussian_noise,0.2,B_csm,0.8026666666666666,0.9866666666666667,0.8784793650793651
gaussian_noise,0.2,C_chemistry_rerank,0.8026666666666666,0.9866666666666667,0.8784793650793651
shot_noise,0.01,A_raw_spectrum,0.9653333333333334,1.0,0.9802222222222222
shot_noise,0.01,B_csm,0.8986666666666666,0.9973333333333333,0.9434051282051282
shot_noise,0.01,C_chemistry_rerank,0.8986666666666666,0.9973333333333333,0.9434051282051282
shot_noise,0.02,A_raw_spectrum,0.9653333333333334,1.0,0.9802222222222222
shot_noise,0.02,B_csm,0.8986666666666666,0.9973333333333333,0.9434051282051282
shot_noise,0.02,C_chemistry_rerank,0.8986666666666666,0.9973333333333333,0.9434051282051282
shot_noise,0.05,A_raw_spectrum,0.9626666666666667,1.0,0.9788888888888888
shot_noise,0.05,B_csm,0.896,0.9973333333333333,0.9416273504273504
shot_noise,0.05,C_chemistry_rerank,0.896,0.9973333333333333,0.9416273504273504
shot_noise,0.1,A_raw_spectrum,0.96,1.0,0.9772
shot_noise,0.1,B_csm,0.896,0.9946666666666667,0.940888888888889
shot_noise,0.1,C_chemistry_rerank,0.896,0.9946666666666667,0.940888888888889
shot_noise,0.2,A_raw_spectrum,0.9626666666666667,1.0,0.9785333333333333
shot_noise,0.2,B_csm,0.8666666666666667,0.9946666666666667,0.9234646464646463
shot_noise,0.2,C_chemistry_rerank,0.8666666666666667,0.9946666666666667,0.9234646464646463
baseline_drift,0.05,A_raw_spectrum,0.9626666666666667,1.0,0.9784444444444443
baseline_drift,0.05,B_csm,0.8773333333333333,0.9973333333333333,0.9312888888888889
baseline_drift,0.05,C_chemistry_rerank,0.8773333333333333,0.9973333333333333,0.9312888888888889
baseline_drift,0.1,A_raw_spectrum,0.9546666666666667,1.0,0.9745333333333335
baseline_drift,0.1,B_csm,0.84,0.9973333333333333,0.9104
baseline_drift,0.1,C_chemistry_rerank,0.84,0.9973333333333333,0.9104
baseline_drift,0.2,A_raw_spectrum,0.9306666666666666,0.9946666666666667,0.9613111111111111
baseline_drift,0.2,B_csm,0.792,0.992,0.8792444444444445
baseline_drift,0.2,C_chemistry_rerank,0.792,0.992,0.8792444444444445
baseline_drift,0.4,A_raw_spectrum,0.872,0.976,0.9166635497959481
baseline_drift,0.4,B_csm,0.7386666666666667,0.96,0.8352730158730158
