threshold,coverage,accuracy,risk,model
0.3000183450950719,1.0,0.6053333333333333,0.3946666666666667,B_csm
0.31811957302783883,0.9653333333333334,0.6187845303867403,0.3812154696132597,B_csm
0.32968499138149404,0.9333333333333333,0.6371428571428571,0.3628571428571429,B_csm
0.34536359801087424,0.9013333333333333,0.6331360946745562,0.3668639053254438,B_csm
0.3508720660049028,0.8666666666666667,0.6338461538461538,0.36615384615384616,B_csm
0.36134432543302514,0.8346666666666667,0.6389776357827476,0.3610223642172524,B_csm
0.3911121437642957,0.8026666666666666,0.6411960132890365,0.3588039867109635,B_csm
0.40557653770102015,0.7706666666666667,0.6539792387543253,0.3460207612456747,B_csm
0.4239553519669609,0.736,0.6739130434782609,0.32608695652173914,B_csm
0.4322385679713581,0.704,0.6742424242424242,0.3257575757575758,B_csm
0.4353130852111431,0.672,0.6865079365079365,0.3134920634920635,B_csm
0.43975609170286195,0.64,0.7083333333333334,0.29166666666666663,B_csm
0.4471644855833928,0.6053333333333333,0.7312775330396476,0.2687224669603524,B_csm
0.4661532072736606,0.5733333333333334,0.7488372093023256,0.25116279069767444,B_csm
0.4826822055017984,0.5413333333333333,0.7783251231527094,0.2216748768472906,B_csm
0.4969575490365033,0.5093333333333333,0.7905759162303665,0.2094240837696335,B_csm
0.5029674893191678,0.4746666666666667,0.7808988764044944,0.2191011235955056,B_csm
0.5135162682600614,0.44266666666666665,0.7771084337349398,0.22289156626506024,B_csm
0.5345840513387986,0.4106666666666667,0.7792207792207793,0.22077922077922074,B_csm
0.5468539800919915,0.37866666666666665,0.7816901408450704,0.21830985915492962,B_csm
0.5758789732429744,0.344,0.7984496124031008,0.20155038759689925,B_csm
0.6100095858333617,0.312,0.7948717948717948,0.20512820512820518,B_csm
0.6751624678789935,0.28,0.8,0.19999999999999996,B_csm
0.7095928452538288,0.248,0.7849462365591398,0.21505376344086025,B_csm
0.7244682368346242,0.21333333333333335,0.7625,0.23750000000000004,B_csm
0.7817354176601509,0.18133333333333335,0.7794117647058824,0.22058823529411764,B_csm
0.8490919075958325,0.14933333333333335,0.75,0.25,B_csm
0.9156024372960367,0.11733333333333333,0.75,0.25,B_csm
0.9591411244721821,0.08266666666666667,0.7741935483870968,0.22580645161290325,B_csm
0.9802358373934816,0.050666666666666665,0.8421052631578947,0.1578947368421053,B_csm
0.30893269056210093,1.0,0.6053333333333333,0.3946666666666667,C_chemistry_rerank
0.3263933543900174,0.9653333333333334,0.6187845303867403,0.3812154696132597,C_chemistry_rerank
0.3375233004353631,0.9333333333333333,0.6371428571428571,0.3628571428571429,C_chemistry_rerank
0.352582386090381,0.9013333333333333,0.6331360946745562,0.3668639053254438,C_chemistry_rerank
0.35786578596228563,0.8666666666666667,0.6338461538461538,0.36615384615384616,C_chemistry_rerank
0.3679003435765919,0.8346666666666667,0.6389776357827476,0.3610223642172524,C_chemistry_rerank
0.39636220298885894,0.8026666666666666,0.6411960132890365,0.3588039867109635,C_chemistry_rerank
0.40603305947765195,0.7706666666666667,0.6539792387543253,0.3460207612456747,C_chemistry_rerank
0.42707324312942435,0.736,0.6739130434782609,0.32608695652173914,C_chemistry_rerank
0.43820019388148795,0.704,0.6742424242424242,0.3257575757575758,C_chemistry_rerank
0.4528169634636167,0.672,0.6825396825396826,0.31746031746031744,C_chemistry_rerank
0.45483952531968336,0.64,0.7,0.30000000000000004,C_chemistry_rerank
0.4608050016044151,0.6053333333333333,0.7224669603524229,0.27753303964757714,C_chemistry_rerank
0.4716165827261397,0.5733333333333334,0.7534883720930232,0.24651162790697678,C_chemistry_rerank
0.4835420644469215,0.5413333333333333,0.7783251231527094,0.2216748768472906,C_chemistry_rerank
0.49787495242463403,0.5093333333333333,0.7905759162303665,0.2094240837696335,C_chemistry_rerank
0.5025226036180309,0.4746666666666667,0.7808988764044944,0.2191011235955056,C_chemistry_rerank
0.5120053945612267,0.44266666666666665,0.7771084337349398,0.22289156626506024,C_chemistry_rerank
0.5304959104657112,0.4106666666666667,0.7857142857142857,0.2142857142857143,C_chemistry_rerank
0.5479548257275465,0.37866666666666665,0.7816901408450704,0.21830985915492962,C_chemistry_rerank
0.5611619263728638,0.344,0.7984496124031008,0.20155038759689925,C_chemistry_rerank
0.6047088159568161,0.312,0.7948717948717948,0.20512820512820518,C_chemistry_rerank
0.655170249437717,0.28,0.7904761904761904,0.20952380952380956,C_chemistry_rerank
0.6946729550843761,0.248,0.7741935483870968,0.22580645161290325,C_chemistry_rerank
0.7074406112252952,0.21333333333333335,0.775,0.22499999999999998,C_chemistry_rerank
0.7761589260074195,0.18133333333333335,0.7794117647058824,0.22058823529411764,C_chemistry_rerank
0.8377609930467188,0.14933333333333335,0.75,0.25,C_chemistry_rerank
0.901575013201552,0.11733333333333333,0.75,0.25,C_chemistry_rerank
0.9574418886811706,0.08266666666666667,0.7419354838709677,0.25806451612903225,C_chemistry_rerank
0.9769959398225391,0.050666666666666665,0.8421052631578947,0.1578947368421053,C_chemistry_rerank
