model,top1,top3,top5,top10,mrr,ndcg5,mean_reciprocal_rank,median_rank,mean_rank,unretrievable
A_raw_spectrum,0.6346666666666667,0.7333333333333333,0.7653333333333333,0.792,0.6919241276188146,0.7055768374090706,0.6919241276188146,1.0,29.445333333333334,0
B_csm,0.6053333333333333,0.7626666666666667,0.7946666666666666,0.8106666666666666,0.6870030418103813,0.7111646175586396,0.6870030418103813,1.0,29.018666666666668,0
C_chemistry_rerank,0.6053333333333333,0.7626666666666667,0.7946666666666666,0.8106666666666666,0.6870030418103813,0.7111646175586396,0.6870030418103813,1.0,29.018666666666668,0
D_probabilistic,0.4026666666666667,0.56,0.6186666666666667,0.7146666666666667,0.5135610496093544,0.524869259243411,0.5135610496093544,2.0,31.450666666666667,0
E_bayesian_fusion,0.616,0.7493333333333333,0.792,0.8106666666666666,0.6910810973658194,0.7130285834733269,0.6910810973658194,1.0,28.856,0
